id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Il1r2	0	1.73908218088627	0.817	0.085	0
Cxcr2	0	2.27667368600007	0.862	0.067	0
G0s2	0	3.29908814464835	0.898	0.192	0
Il1f9	0	1.22118439049522	0.366	0.017	0
Hdc	0	2.07485175947466	0.827	0.123	0
Slc7a11	0	1.57346878103476	0.682	0.091	0
S100a8	0	5.37110837143846	0.891	0.163	0
S100a9	0	5.49891127049564	0.874	0.164	0
Acod1	0	2.02252890508947	0.703	0.086	0
Slfn4	0	1.30496055365898	0.615	0.054	0
Wfdc21	0	1.59324528463779	0.418	0.026	0
Mirt2	0	0.558728277436344	0.359	0.015	0
Trem1	0	1.53145379643043	0.803	0.094	0
Lrg1	0	1.8121974060896	0.708	0.104	0
Clec4d	1.02262468454744e-302	1.43693842773967	0.698	0.102	2.17450912922168e-298
Csf3r	7.60820825639023e-290	1.73298827438706	0.893	0.211	1.61780940363882e-285
Retnlg	5.84275557001237e-289	2.44207988531367	0.306	0.016	1.24240354440743e-284
Mmp9	1.38986978696285e-281	1.3859929318596	0.791	0.135	2.9554191149978e-277
Arg2	1.32105191751217e-275	0.841527423474074	0.561	0.068	2.80908479739787e-271
Hcar2	8.85695019872798e-271	1.33180699128759	0.625	0.09	1.88334189025752e-266
Cxcl3	2.1276787308571e-257	1.84330110474108	0.534	0.066	4.52429605329453e-253
Rab44	2.24365411934802e-252	0.475147970726443	0.406	0.037	4.77090611938162e-248
Il1rn	2.12595403323228e-238	2.08503875318229	0.931	0.272	4.52062865626511e-234
Upp1	4.1690718445943e-237	1.17506829623164	0.618	0.099	8.86511437034532e-233
Gm5483	3.40755768244435e-235	1.35947512456657	0.169	0.004	7.24583065594968e-231
Ptgs2	4.81467016431835e-234	1.87115736189131	0.843	0.2	1.02379146374065e-229
H2-Q10	1.05704253031027e-226	1.0198890019704	0.589	0.096	2.24769523645175e-222
Gm37691	7.3561391714931e-224	0.269028563141146	0.188	0.007	1.56420943342629e-219
Slfn1	4.83226660575534e-223	1.51706757833534	0.91	0.258	1.02753317104781e-218
Cd300lf	2.61600866588438e-211	1.60659050236534	0.922	0.317	5.56268082713656e-207
Clec4e	8.76539817318002e-210	1.89391516127314	0.734	0.156	1.863874267545e-205
Amer2	1.3388891514466e-201	0.285978173081283	0.207	0.01	2.84701389163606e-197
Tnfaip2	2.54913121779862e-199	2.07522511650101	0.969	0.397	5.42047262152698e-195
Stfa2l1	2.8100868666539e-199	1.18413203253234	0.223	0.013	5.97536871325286e-195
Cd177	1.94312145224478e-195	0.63183223897506	0.411	0.05	4.1318534560533e-191
E230032D23Rik	2.10075946860771e-194	0.40395932500679	0.342	0.034	4.46705493404744e-190
Trem3	1.09490325401488e-191	0.469213980576989	0.361	0.039	2.32820227933724e-187
Mirt1	1.28846115881683e-191	0.630070244096746	0.444	0.062	2.73978380810811e-187
Ankrd33b	3.24685445493113e-190	0.486351947903684	0.297	0.026	6.90411131296555e-186
Il1b	8.48236639977034e-189	2.23137751565869	0.993	0.513	1.80369039124716e-184
4833407H14Rik	3.93961593298981e-183	0.500983423689221	0.349	0.038	8.37719931990954e-179
Mrgpra2b	3.25100387877236e-174	0.383206641136122	0.152	0.006	6.91293464782155e-170
Cxcl2	4.6880827217825e-173	2.35844774024129	0.962	0.387	9.96873909959832e-169
Mxd1	4.05593634461154e-171	1.72304316444637	0.912	0.37	8.62454304318198e-167
Trim30b	4.00066970360691e-165	0.563930792783237	0.378	0.05	8.50702405774973e-161
Fpr2	1.03632388042441e-160	0.680276751293708	0.454	0.073	2.20363909933446e-156
Ffar2	9.44353780090587e-159	1.02548823256307	0.61	0.134	2.00807387798462e-154
Srgn	1.13015920193853e-155	1.85076626734898	1	0.728	2.40317052700209e-151
Cd24a	4.73540661236675e-155	1.01290648771097	0.71	0.187	1.00693686205367e-150
Asprv1	6.67395689584026e-153	0.767591175264346	0.185	0.012	1.41915019433147e-148
Cass4	1.56924830078408e-150	0.687331457402052	0.496	0.095	3.33684958678728e-146
Smox	7.69721424610743e-149	0.890383175672243	0.675	0.181	1.63673563729228e-144
Il1a	1.41339734888463e-148	0.905568497564628	0.461	0.081	3.00544812266828e-144
Emilin2	3.13973488696123e-147	1.18955058022751	0.957	0.473	6.67633226363436e-143
Csf2rb	6.07273440878672e-147	1.23146610564642	0.95	0.43	1.29130624468441e-142
B430306N03Rik	2.22716597756289e-146	0.630109027860536	0.627	0.151	4.73584573468974e-142
Tarm1	8.05423321400017e-146	1.00667583323674	0.786	0.242	1.712652150625e-141
Sirpb1b	3.62260079949622e-145	0.594283463191984	0.518	0.105	7.70309834004875e-141
Car4	5.63240940903295e-145	0.784246989167459	0.337	0.045	1.19767553673677e-140
Plaur	2.45473574781458e-143	1.12833002758531	0.765	0.255	5.21975009415292e-139
Ccr1	2.97645688375097e-143	1.40410270449849	0.981	0.483	6.32913791760807e-139
Slc16a3	3.30990017668714e-143	1.01454678112164	0.815	0.266	7.03817173570754e-139
Pim1	4.07377982239517e-142	1.39213586936219	1	0.786	8.6624854143411e-138
Clec5a	3.41285682035977e-141	0.865995159434624	0.577	0.136	7.25709874281301e-137
Osm	6.57487641774899e-141	1.33125467643004	0.907	0.357	1.39808172147014e-136
Cyp4f18	5.41247068729826e-139	0.831518164592808	0.641	0.164	1.1509077669471e-134
Nlrp3	7.66955286135561e-133	0.99480886969343	0.753	0.239	1.63085372043866e-128
Treml2	1.48898505728337e-131	0.695258290640962	0.66	0.18	3.16617782580736e-127
Plek	1.82651103664223e-131	1.55680390731121	0.993	0.587	3.88389306831604e-127
Ifitm1	3.77075109678595e-129	1.83391528301163	0.815	0.315	8.01812513220564e-125
Gm19951	1.20869381951171e-128	0.688498296400246	0.406	0.072	2.57016653780971e-124
Msrb1	2.57278354035167e-125	1.36462676657374	0.945	0.554	5.4707669202038e-121
Lilra6	8.74133788543942e-125	0.441372326934845	0.361	0.059	1.85875808795984e-120
Fgr	2.10650515736431e-123	0.864608889152322	0.815	0.289	4.47927256661947e-119
Wfdc17	7.87282776887047e-123	1.68487712007934	0.931	0.48	1.67407809677262e-118
Mefv	9.28637062074465e-123	0.707247797319368	0.622	0.166	1.97465384879514e-118
Il1rap	1.99778160351204e-121	0.836145544110498	0.575	0.153	4.248082801708e-117
Hp	2.37150815215485e-116	0.83846824639659	0.732	0.232	5.04277493474207e-112
Pilra	2.64419777826497e-116	0.838344175716206	0.722	0.236	5.62262215570264e-112
Ltb4r1	1.05876936449606e-115	0.883286469657911	0.798	0.275	2.25136717666441e-111
Gm5150	4.73105778014168e-114	0.632048848949452	0.599	0.163	1.00601212636933e-109
Sell	1.86269976069195e-113	0.798606581680537	0.672	0.196	3.96084477113537e-109
Cd44	3.79109140179374e-113	1.31116359236944	0.962	0.55	8.0613767567742e-109
Il18rap	1.13404933501509e-112	0.477494700540924	0.458	0.1	2.41144250597609e-108
AA467197	1.64553809167005e-112	1.02995127615471	0.767	0.262	3.4990721981272e-108
Ppp1r3b	1.95761793022289e-112	0.796678081593992	0.615	0.182	4.16267876682596e-108
Lilr4b	3.56231382787283e-112	1.19954859044925	0.976	0.546	7.57490412358878e-108
Btg1	1.6548108400183e-108	1.1347276234797	1	0.873	3.5187897702149e-104
Samsn1	2.92394446365263e-108	1.00391515748769	0.846	0.351	6.21747550751096e-104
Egln3	2.15511414013463e-107	0.479055129159641	0.418	0.089	4.58263470758229e-103
Lmnb1	8.52849610905037e-107	0.887560494299467	0.76	0.296	1.81349941262847e-102
Sorl1	5.57742031430146e-106	0.919632188242024	0.741	0.279	1.18598265563306e-101
Cebpb	7.22469492799237e-106	1.14054286703899	0.998	0.823	1.5362591294883e-101
Plk3	8.64821476124192e-106	0.701642241170684	0.572	0.167	1.83895638683048e-101
Siglece	5.67886093534964e-105	0.612674327720601	0.632	0.184	1.20755298929275e-100
Slc2a1	1.51882608910057e-104	0.744570781165083	0.71	0.25	3.22963179586345e-100
Sirpb1c	3.06481185003173e-104	0.505277184850476	0.615	0.176	6.51701591790747e-100
Cd274	7.88330300973256e-104	0.996786949878415	0.765	0.295	1.67630555198953e-99
Litaf	3.83556329342982e-103	0.940481628068367	0.967	0.727	8.15594178714916e-99
Fcgr4	4.0851518542776e-103	0.955751358303642	0.848	0.373	8.68666690293588e-99
Cd80	1.0555022817306e-102	0.46055167843092	0.444	0.102	2.24442005187194e-98
Trib1	1.93102796441175e-102	0.987451390138134	0.886	0.434	4.10613786352514e-98
Tpd52	6.35238866127752e-102	1.01400431971322	0.957	0.643	1.35077192493405e-97
Adam8	2.26859481325077e-99	0.826465404350655	0.658	0.225	4.82394001089643e-95
Grina	1.61882283489681e-97	1.09377471078687	0.948	0.622	3.44226487612458e-93
Snx20	2.90539415603077e-96	0.911495939400348	0.86	0.424	6.17803013338382e-92
Cpeb2	1.96383770143723e-95	0.641438635455097	0.537	0.157	4.17590448833613e-91
Pygl	3.52980844014334e-95	0.855174285228793	0.679	0.249	7.5057846671208e-91
Fpr1	1.40774606684115e-94	0.512775785406484	0.245	0.035	2.99343123653103e-90
Cxcr4	2.03380501157851e-94	0.7527358082194	0.591	0.176	4.32468297662054e-90
Cd300ld	3.16106466028444e-94	0.730414786061945	0.686	0.232	6.72168789362884e-90
Samhd1	3.20913395136997e-94	1.04511636098273	0.969	0.714	6.82390243419311e-90
Gpr35	7.24875784034104e-94	0.634637108486578	0.72	0.255	1.54137586717012e-89
Il4ra	9.16433371662751e-94	1.00824287261133	0.917	0.557	1.94870392150367e-89
Themis2	1.37308964097822e-93	0.692773669772949	0.739	0.276	2.91973781257609e-89
Oas3	1.43369510097815e-92	0.455727948107659	0.409	0.094	3.04860926271995e-88
Clec4n	1.94446897270462e-92	0.920001347110457	0.77	0.307	4.13471882355909e-88
Cd33	9.43982823436251e-92	0.808422086095478	0.708	0.25	2.00728507575484e-87
Cd84	1.03866852572166e-91	0.844773512686074	0.884	0.421	2.20862475309453e-87
Pde4b	7.32133786685278e-91	0.948410770627512	0.867	0.456	1.55680928400757e-86
Gcnt2	1.13568721739705e-90	0.822161721464998	0.755	0.311	2.41492529907308e-86
Lst1	1.23775974108895e-90	1.04556621858769	0.962	0.553	2.63197231345154e-86
Mcemp1	5.60524557444735e-90	0.67729492107529	0.432	0.107	1.19189941895048e-85
Ppp1r3d	7.19122654189126e-90	0.285629031867521	0.28	0.048	1.52914241186776e-85
Rnf149	1.00335058595539e-89	0.677864400145125	0.729	0.291	2.13352468597554e-85
Lcp2	2.52858127200494e-89	0.801083538128479	0.884	0.426	5.37677521679131e-85
Basp1	7.57995421072783e-89	1.1778000357227	0.957	0.653	1.61180146336917e-84
Tfec	7.82421338289327e-89	0.698261537504091	0.679	0.242	1.66374073373842e-84
Tgm2	1.37218418439873e-88	1.37906101737784	0.929	0.558	2.91781244970545e-84
Mcl1	1.38748662017133e-88	0.901379695708297	1	0.909	2.95035154913231e-84
Arg1	3.89631936121886e-88	1.27814850065621	0.831	0.376	8.28513348969579e-84
Rdh12	7.30559238808397e-88	0.28798762982438	0.181	0.021	1.55346116540218e-83
Chd7	7.90981756515682e-88	0.795107469870125	0.805	0.367	1.68194360705495e-83
Sdcbp	1.26730093384255e-87	0.772781883013295	0.99	0.866	2.6947887057228e-83
Syk	3.23503525068332e-87	0.763702228134217	0.862	0.435	6.87897895705301e-83
Neat1	3.5407488567996e-87	1.17992382918711	0.99	0.707	7.52904836909868e-83
Entpd1	2.06576949255333e-86	0.785269310161206	0.791	0.338	4.39265224896539e-82
Ncf1	2.25463839607172e-86	0.961898079080385	0.841	0.396	4.79426308540691e-82
N4bp1	8.7284888127111e-86	0.892864824209579	0.874	0.502	1.85602586113489e-81
Ccl6	5.04369657203124e-85	1.05522506589519	0.945	0.566	1.07249163907672e-80
Pkm	3.59201031783914e-83	0.753208392343788	0.99	0.853	7.63805073985314e-79
Atp6v0c	5.23210311823386e-83	0.785679773594558	1	0.941	1.11255440706125e-78
Gda	5.70671890915874e-83	0.899193439435787	0.929	0.551	1.21347670884351e-78
2310001H17Rik	1.54556018732342e-82	0.621406356931069	0.534	0.171	3.28647918232452e-78
Itgam	7.01626955138335e-82	0.868854710329974	0.879	0.433	1.49193955740615e-77
Isg15	1.06696118651027e-81	1.18083545964017	0.819	0.441	2.26878626699543e-77
Hk3	2.501781882887e-81	0.524988025392267	0.627	0.215	5.31978899577092e-77
Gsr	8.08029832510455e-81	0.822026506296067	0.789	0.386	1.71819463585023e-76
Ccrl2	1.5047504148145e-80	1.24522912801855	0.819	0.395	3.19970128206154e-76
Csrnp1	3.14425423865262e-80	0.763177073472612	0.808	0.376	6.68594221307094e-76
Tyrobp	1.24420692043717e-79	0.954774970121513	1	0.682	2.64568159561759e-75
Nrg1	1.42647975611818e-79	0.657761799415359	0.549	0.175	3.0332665534097e-75
Fcgr3	1.42663802960147e-79	0.881095305676035	0.979	0.613	3.03360310614457e-75
Rnf19b	2.41643767638939e-79	0.951242021338529	0.857	0.446	5.1383130750744e-75
Ell2	2.6562593532992e-79	0.537469110048634	0.601	0.211	5.64826988885542e-75
Ets2	4.5632874950691e-78	0.81450268140355	0.893	0.499	9.70337452951494e-74
Nfam1	6.21274981313806e-78	0.702197477245993	0.753	0.322	1.32107912026568e-73
