0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	10.9447341285664	LOPEZ_EPITHELIOID_MESOTHELIOMA	1.87077569078448	DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	114.40050839446	MIKKELSEN_IPS_LCP_WITH_H3K27ME3	1.41620765249987	BENPORATH_SUZ12_TARGETS	4.50543901414708	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	22.5965903075802	REACTOME_DIGESTION_AND_ABSORPTION	16.5044139084006	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	192.274092663987	SMID_BREAST_CANCER_NORMAL_LIKE_UP	30.3377837120275
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	9.44500510454076	HOLLERN_EMT_BREAST_TUMOR_DN	1.06549104397155	PUJANA_BRCA1_PCC_NETWORK	72.8476619957623	MEISSNER_BRAIN_HCP_WITH_H3K4ME2	1.41286018296404	BENPORATH_PRC2_TARGETS	3.81673681352707	BENPORATH_ES_WITH_H3K27ME3	12.2229602219961	FEVR_CTNNB1_TARGETS_UP	15.7833058820254	FISCHER_DREAM_TARGETS	181.962754289633	JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	27.6901323769513
LIM_MAMMARY_STEM_CELL_UP	8.5892662433779	AIGNER_ZEB1_TARGETS	1.05960406161129	HSIAO_HOUSEKEEPING_GENES	64.7547896963056	MARTINELLI_IMMATURE_NEUTROPHIL_UP	1.33060126837612	BENPORATH_ES_WITH_H3K27ME3	3.75845392296289	LEE_NEURAL_CREST_STEM_CELL_UP	11.5076377520927	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	15.0873924752548	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	145.457993773462	LEE_DIFFERENTIATING_T_LYMPHOCYTE	24.6526906519698
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	8.32644618592411	REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	1.00168825890613	REACTOME_METABOLISM_OF_RNA	62.9349651398853	ZHOU_PANCREATIC_BETA_CELL	1.33060126837612	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	3.73272731220553	LIM_MAMMARY_STEM_CELL_UP	10.7924052650094	REACTOME_DIGESTION	13.204705110571	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	139.728344088106	VILIMAS_NOTCH1_TARGETS_UP	23.7365058818973
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	7.99212864227762	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.901489296208022	BLALOCK_ALZHEIMERS_DISEASE_DN	58.9643059317105	REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS	1.21606810752938	KEGG_TYPE_II_DIABETES_MELLITUS	2.8492887576567	NABA_MATRISOME	10.1122521994336	SERVITJA_ISLET_HNF1A_TARGETS_DN	11.3603310548243	MARSON_BOUND_BY_E2F4_UNSTIMULATED	123.439256425331	BOYLAN_MULTIPLE_MYELOMA_C_D_DN	23.1692483044296
BRUINS_UVC_RESPONSE_LATE	7.35988635967349	REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	0.884763171822268	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	54.9537038555113	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	1.0523672809699	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2.54875896118701	BENPORATH_EED_TARGETS	9.19724381330329	YOSHIMURA_MAPK8_TARGETS_UP	10.3775282652957	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	116.637082839098	SMID_BREAST_CANCER_LUMINAL_B_DN	22.1749402362905
ONDER_CDH1_TARGETS_2_UP	7.10397159844744	REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	0.762649650621718	PUJANA_ATM_PCC_NETWORK	54.6528693762226	LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	1.0419855269075	WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	2.48895688151085	BENPORATH_SUZ12_TARGETS	8.18231515343714	OHGUCHI_LIVER_HNF4A_TARGETS_DN	10.2267316980839	KOBAYASHI_EGFR_SIGNALING_24HR_DN	115.336382665284	KUMAR_TARGETS_OF_MLL_AF9_FUSION	20.7511745510457
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	6.92323274949342	REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.656141267102922	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	54.0125834094038	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1.0419855269075	BENPORATH_EED_TARGETS	2.4388028831867	VERHAAK_GLIOBLASTOMA_PRONEURAL	7.80804979377793	SABATES_COLORECTAL_ADENOMA_DN	9.85169132528334	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	112.304036283676	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	20.350191244521
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	6.59534938410463	REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS	0.603168864416337	KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP	53.3159070718671	MIKKELSEN_ES_LCP_WITH_H3K4ME3_AND_H3K27ME3	1.016056224029	WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE	2.35976692015505	NABA_CORE_MATRISOME	7.63896298179746	HOLLERN_EMT_BREAST_TUMOR_DN	9.60341515308237	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	102.161988865433	ZHENG_BOUND_BY_FOXP3	19.9528608038402
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING	6.36394350854481	MIKKELSEN_IPS_LCP_WITH_H3K27ME3	0.570646675434796	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	51.1381854315945	REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	1.016056224029	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	2.3395555527348	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	7.61546946851967	COLDREN_GEFITINIB_RESISTANCE_DN	8.93681321749899	KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	99.0053872147277	BOSCO_TH1_CYTOTOXIC_MODULE	19.0649137831202
