genes	geneCluster
Sox17	0
4732440D04Rik	0
Rrs1	0
Adhfe1	0
2610203C22Rik	0
Mybl1	0
Snhg6	0
Prex2	0
Ncoa2	0
Lactb2	0
Terf1	0
Rdh10	0
Stau2	0
Tmem70	0
Ly96	0
Tram2	0
Tmem14a	0
Gsta3	0
Gm4956	0
Fam135a	0
Prim2	0
Rab23	0
Bag2	0
Dst	0
Gm38157	0
Hs6st1	0
Kansl3	0
Lman2l	0
Cnnm4	0
Cnnm3	0
Ankrd39	0
Sema4c	0
D430040D24Rik	0
Actr1b	0
Gm38115	0
Inpp4a	0
Tsga10	0
Rev1	0
Aff3	0
Tbc1d8	0
Cnot11	0
Il1r2	0
Il1r1	0
Il1rl2	0
Il18rap	0
Tgfbrap1	0
AI597479	0
Fhl2	0
Nck2	0
Uxs1	0
Tex30	0
Kdelc1	0
Bivm	0
Ercc5	0
Gm37626	0
Col3a1	0
Col5a2	0
Gm38211	0
Wdr75	0
Slc39a10	0
Cavin2	0
Myo1b	0
Nemp2	0
Mfsd6	0
Inpp1	0
Hibch	0
1700019D03Rik	0
Pms1	0
Ormdl1	0
Osgepl1	0
Asnsd1	0
Hecw2	0
Gtf3c3	0
Pgap1	0
Rftn2	0
Gm10561	0
Mars2	0
Plcl1	0
1700066M21Rik	0
Tyw5	0
Maip1	0
Spats2l	0
Kctd18	0
Aox1	0
Aox3	0
Ppil3	0
Nif3l1	0
Orc2	0
Fam126b	0
Trak2	0
Stradb	0
Tmem237	0
Als2	0
Fzd7	0
Wdr12	0
Carf	0
Cyp20a1	0
6030460B20Rik	0
Pard3b	0
Gm38012	0
Nrp2	0
Gm37121	0
Ino80dos	0
Gm20342	0
Fastkd2	0
Mettl21a	0
Fzd5	0
Plekhm3	0
Pikfyve	0
Rpe	0
Kansl1l	0
Lancl1	0
D230017M19Rik	0
Pecr	0
Xrcc5	0
Smarcal1	0
Igfbp5	0
Tns1	0
Cxcr2	0
Catip	0
Usp37	0
Cnot9	0
Zfp142	0
Bcs1l	0
Rnf25	0
Ttll4	0
Cyp27a1	0
Nhej1	0
Zfand2b	0
Atg9a	0
Ankzf1	0
Glb1l	0
Tuba4a	0
Dnajb2	0
Speg	0
Gmppa	0
Chpf	0
Obsl1	0
Stk11ip	0
Slc4a3	0
