geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Sox17	Gm19938	Mrpl15	Gm37629	Gm8326	Xkr4	Kcnb2	Mcm3	Zap70
4732440D04Rik	Gm6085	Lypla1	Gm5525	Gm11599	Fam178b	Vil1	A130048G24Rik	Il1rl1
Rrs1	Gm37108	Tcea1	4930403P22Rik	Gpbar1	Creg2	Ptprn	Sgo2a	Stat4
Adhfe1	Gm26983	Atp6v1h	Gm3617	Des	Gulp1	Tm4sf20	2810408I11Rik	Cd28
2610203C22Rik	Gm38372	Rb1cc1	Gm5526	Sgpp2	Adam23	Alpi	Bard1	Ctla4
Mybl1	Gm26901	Pcmtd1	Gm37393	Sctr	Map2	Lct	Gm38062	Icos
Snhg6	Sntg1	Vcpip1	Gm31812	Gm37283	Wnt6	Pigr	Pask	Ikzf2
Prex2	1700034P13Rik	Sgk3	4930558J18Rik	Nfasc	Col4a4	Elf3	Zranb3	Ap1s3
Ncoa2	Mcmdc2	Cops5	Gm8805	Gm36527	Efhd1	Lad1	Mcm6	Pdcd1
Lactb2	Tcf24	Cspp1	Rpl31-ps14	Cacna1e	Mlph	Gpa33	Kif14	Il10
Terf1	Gm37569	Arfgef1	Gm5528	Angptl1	Klhl30	Tstd1	Aspm	Lax1
Rdh10	Sulf1	Tram1	Mogat1	Gm37212	Cdh19	Slc30a10	BC055324	Kif21b
Stau2	Gm38376	Rpl7	Gm28884	Atp1b1	Gm38255	Ccdc3	Nuf2	Rgs1
Tmem70	Gm37409	Ube2w	Nmur1	Mgst3	Gm36944	Tmem236	Exo1	Gm37529
Ly96	Gm38223	Eloc	Akp3	Pcp4l1	Lrrn2	Gm13373	Cenpf	Fasl
Tram2	Gm37702	Ogfrl1	Gm15368	Grem2	Gpr37l1	Gm13657	Dtl	Xcl1
Tmem14a	Gm38120	Smap1	Gm15376	2700078F05Rik	Shisa4	Ehf	Nek2	Cd247
Gsta3	Gm38380	Sdhaf4	Glrp1	Gm37018	Inava	Phgr1	Suv39h2	Slamf7
Gm4956	Gm38319	Lmbrd1	Gm38130	Syt14	Brinp2	Ppp1r14d	Mcm10	Slamf1
Fam135a	Gm5523	Phf3	Gm37036	Prkcq	Astn1	Hnf4a	Mastl	Traf3ip3
Prim2	Eya1	Zfp451	Ano7	Gm37006	Fam78b	Pck1	Sapcd2	Gata3
Rab23	Msc	Ccdc115	Tdpx-ps1	Ajm1	Rxrg	Glod5	Phf19	Il2ra
Bag2	Rpl5-ps1	Imp4	Gm29668	Gm13443	Kcnj10	2010106E10Rik	Spc25	Traf1
Dst	Gm38116	Ptpn18	Gm4793	Lypd6	Cadm3	Pof1b	Cdca7	Neb
Gm38157	Gm5828	Fam168b	Platr22	Gm13502	1700047M11Rik	S100g	Selenoh	Cst7
Hs6st1	Jph1	Plekhb2	A230059L01Rik	Gm13620	Itih5	Hnf4g	Bub1b	Sla2
Kansl3	Gm15795	Uggt1	Rbm3-ps	Gm13594	Nebl	Slc2a2	Knstrn	Foxp3
Lman2l	Paqr8	Neurl3	Gm19503	Gm13743	Entpd2	Tm4sf4	Knl1	Pim2
Cnnm4	Efhc1	Arid5a	Gm15428	Tspan18	Olfml2a	Mme	Rad51	Sept6
Cnnm3	Khdc1a	Cox5b	2810442N19Rik	Gm14057	Tnfaip6	Sis	Oip5	Sh2d1a
Ankrd39	Kcnq5	Tmem131	Gm37864	Gfra4	Fign	Pdzk1	Nusap1	Mbnl3
Sema4c	Gm7658	Coa5	Gm16418	Syndig1	Grb14	Eps8l3	Dut	Xlr4a
D430040D24Rik	Rims1	Unc50	Apoa2	6820408C15Rik	Scn7a	Pitx2	Ncaph	Xlr4b
Actr1b	B3gat2	Mgat4a	Gm37785	4930405A21Rik	Frzb	Adh6a	Bub1	Cxcr3
Gm38115	Gm7846	Mitd1	Gm38037	Edn3	Lrrc4c	Clca4b	Ckap2l	P2ry10
Inpp4a	Gm37522	Mrpl30	Rd3	Gm14373	Cd59a	Cdh17	Gins1	Gpr174
Tsga10	Gm37906	Txndc9	Gm38118	Gm16412	Tyro3	Aldob	Tpx2	Pde7a
Rev1	Ptp4a1	Eif5b	Gm13196	Nap1l2	Shc4	Ambp	Dsn1	Sh2d2a
Aff3	Ptp4a1.1	Pdcl3	Gm38386	Tmem35a	Mal	Sh3gl2	Fam83d	Fam189b
Tbc1d8	Gm19680	Rpl31	Gm13312	Spin2c	Fbln7	Cdkn2b	Mybl2	Rorc
Cnot11	Gm29228	Rnf149	Gm13450	Car2	D630003M21Rik	Dab1	Ube2c	Cd160
Il1r2	Gm37618	Map4k4	Rpl15-ps4	4933429H19Rik	Matn4	Guca2b	Aurka	Cd2
Il1r1	Bend6	Mrps9	Gm13592	Kcnmb2	Dbndd2	Tmem54	Kif4	Ptpn22
Il1rl2	Gm37354	Tpp2	Rpl35-ps1	Slc25a31	Pmepa1	Gm28874	Ercc6l	Gm15472
Il18rap	Gm3052	Slc40a1	Klhl41	Smad9	Cdh4	Kdf1	Cenpi	Gm43065
Tgfbrap1	Gm37233	Nabp1	Rpl9-ps7	Gm37776	Col9a3	Cnksr1	Ect2	Ppm1j
AI597479	Gm28417	Stat1	2600014E21Rik	Gm9790	Col20a1	Rnf186	Ccna2	Dennd2d
Fhl2	4930568A12Rik	Gls	Olfr1238	4930537H20Rik	2010204K13Rik	Tmem82	Plk4	Lef1
Nck2	Arhgef4	Nab1	Them7	Ankrd34a	Syp	Gm42685	Trim59	Tox
Uxs1	1110002O04Rik	Stk17b	Gm13935	Dkk2	Pcsk1n	Slc5a1	4930579G24Rik	Galnt12
Tex30	Gm37909	Ankrd44	4930417H01Rik	Npnt	Slitrk2	9130230L23Rik	Iqgap3	Tnfsf8
Kdelc1	F830112A20Rik	Sf3b1	Gm14048	Cxxc4	Plxnb3	Lrrc66	Cks1b	Hook1
Bivm	Rpl12-ps1	Coq10b	Gm14036	Unc5c	L1cam	Ugt2b34	Hist2h2aa1	Faah
Ercc5	4930594C11Rik	Hspd1	Gm11687	Slc44a5	Rab39b	Sult1b1	Hist2h2bb	Cited4
