0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4.89632584203499	HALLMARK_KRAS_SIGNALING_DN	1.44024972260546	HALLMARK_MYC_TARGETS_V1	29.6125362866335	HALLMARK_PANCREAS_BETA_CELLS	0.552602596901456	HALLMARK_KRAS_SIGNALING_UP	0.787259139385724	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	5.48404691753999	HALLMARK_XENOBIOTIC_METABOLISM	2.2324559474137	HALLMARK_E2F_TARGETS	67.8314923839857	HALLMARK_ALLOGRAFT_REJECTION	27.1429392367078
HALLMARK_UV_RESPONSE_DN	3.69432810698673	HALLMARK_PANCREAS_BETA_CELLS	0.280792369652204	HALLMARK_OXIDATIVE_PHOSPHORYLATION	28.01545821357	HALLMARK_COAGULATION	0.274589097202468	HALLMARK_MYOGENESIS	0.427407087855105	HALLMARK_ESTROGEN_RESPONSE_EARLY	3.57888379662523	HALLMARK_KRAS_SIGNALING_DN	1.26841116231499	HALLMARK_G2M_CHECKPOINT	64.7494836093186	HALLMARK_IL2_STAT5_SIGNALING	10.9290198145584
HALLMARK_MYOGENESIS	2.44511613620875	HALLMARK_SPERMATOGENESIS	0.159413884505299	HALLMARK_INTERFERON_GAMMA_RESPONSE	20.12555638103	HALLMARK_KRAS_SIGNALING_DN	0.228780399895207	HALLMARK_PANCREAS_BETA_CELLS	0.304547097647849	HALLMARK_MYOGENESIS	3.41681519946662	HALLMARK_GLYCOLYSIS	1.18530476422039	HALLMARK_MITOTIC_SPINDLE	20.8357823464296	HALLMARK_INFLAMMATORY_RESPONSE	4.75868997267177
HALLMARK_GLYCOLYSIS	2.02315191284117	HALLMARK_HEDGEHOG_SIGNALING	0.0335269798090902	HALLMARK_MTORC1_SIGNALING	17.0303853986065	HALLMARK_SPERMATOGENESIS	0.0327789794008535	HALLMARK_HEDGEHOG_SIGNALING	0.257931156214246	HALLMARK_BILE_ACID_METABOLISM	3.21599445657096	HALLMARK_PANCREAS_BETA_CELLS	1.1319407708488	HALLMARK_SPERMATOGENESIS	8.74366441880504	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.31651913356181
HALLMARK_HEME_METABOLISM	1.63802503917973	HALLMARK_BILE_ACID_METABOLISM	0.00345563301005029	HALLMARK_TNFA_SIGNALING_VIA_NFKB	15.8412847351316	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0233653556923989	HALLMARK_HEME_METABOLISM	0.245957833574441	HALLMARK_ESTROGEN_RESPONSE_LATE	2.66519607033053	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.79142884025411	HALLMARK_MYC_TARGETS_V1	5.69242152428414	HALLMARK_APICAL_SURFACE	3.22344028977996
HALLMARK_FATTY_ACID_METABOLISM	1.59442573071782	HALLMARK_ANGIOGENESIS	0.00238163062674738	HALLMARK_PROTEIN_SECRETION	12.6398552305284	HALLMARK_XENOBIOTIC_METABOLISM	0.0188261796234903	HALLMARK_APICAL_SURFACE	0.227249226371346	HALLMARK_APICAL_JUNCTION	2.16982152133574	HALLMARK_COAGULATION	0.635331688294956	HALLMARK_MTORC1_SIGNALING	2.81619359701003	HALLMARK_APOPTOSIS	2.44149644367593
HALLMARK_DNA_REPAIR	1.50674883190367	HALLMARK_ESTROGEN_RESPONSE_LATE	0.00170924870260556	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	10.9784169918889	HALLMARK_BILE_ACID_METABOLISM	0.00723840862851387	HALLMARK_KRAS_SIGNALING_DN	0.215985108309375	HALLMARK_KRAS_SIGNALING_UP	1.63017366584115	HALLMARK_KRAS_SIGNALING_UP	0.503338443828439	HALLMARK_MYC_TARGETS_V2	2.38333285729555	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.9479425503156
HALLMARK_APICAL_JUNCTION	1.40782106725693	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.00101650123184558	HALLMARK_ADIPOGENESIS	10.7577776516952	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0055588551048545	HALLMARK_APICAL_JUNCTION	0.20985649302618	HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.43343544973934	HALLMARK_BILE_ACID_METABOLISM	0.359037721179128	HALLMARK_ESTROGEN_RESPONSE_LATE	2.33379414661314	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.86688383446342
HALLMARK_MYC_TARGETS_V2	1.34562043802091	HALLMARK_APICAL_SURFACE	0.000789126072683835	HALLMARK_ALLOGRAFT_REJECTION	10.637548933505	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00360403100090141	HALLMARK_FATTY_ACID_METABOLISM	0.192158418757478	HALLMARK_KRAS_SIGNALING_DN	1.43045359767476	HALLMARK_MYOGENESIS	0.328907403919532	HALLMARK_GLYCOLYSIS	1.7226574002266	HALLMARK_COMPLEMENT	1.56401643420221
HALLMARK_BILE_ACID_METABOLISM	1.30821858549072	HALLMARK_NOTCH_SIGNALING	0.000663697117406568	HALLMARK_APOPTOSIS	10.250645731386	HALLMARK_PEROXISOME	0.00134121614715787	HALLMARK_PEROXISOME	0.18471180830551	HALLMARK_UV_RESPONSE_DN	1.31836246551397	HALLMARK_COMPLEMENT	0.30824976777384	HALLMARK_DNA_REPAIR	1.64246598790495	HALLMARK_IL6_JAK_STAT3_SIGNALING	1.39502195997454
