id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C10968	1.58483292142317e-79	1.60980849295648	0.39	0.095	1.79307996729817e-75
C10392	1.33561268111939e-71	2.18031518234249	0.365	0.092	1.51111218741848e-67
C2609	1.84162743505636e-63	1.85949432558681	0.32	0.08	2.08361728002277e-59
C8246	2.11815722919665e-62	1.82440788959165	0.451	0.153	2.39648308911309e-58
C11283	2.9564564601581e-61	1.53420235308877	0.451	0.151	3.34493483902287e-57
C11010	3.37152821274715e-61	2.08841801217999	0.384	0.115	3.81454701990213e-57
C10586	8.18957218986743e-54	1.58731219919437	0.384	0.123	9.26568197561602e-50
C3181	4.25171834544219e-53	1.77642834267206	0.421	0.153	4.8103941360333e-49
C10838	1.23823695691966e-52	1.71318460133349	0.323	0.092	1.4009412930589e-48
C6688	3.68072664839524e-52	1.76222941614076	0.435	0.162	4.16437412999438e-48
C3585	2.39096696374361e-51	1.37976492717949	0.479	0.195	2.70514002277952e-47
C6682	1.56553824352687e-48	1.5520208472159	0.323	0.099	1.7712499687263e-44
C11240	2.18239728678445e-48	1.13813216539577	0.538	0.243	2.46916429026792e-44
C2874	8.28286354745471e-48	2.02910854350078	0.521	0.253	9.37123181759026e-44
C2479	6.36996836821881e-47	1.6549652187818	0.415	0.159	7.20698221180276e-43
C3127	6.8187869017553e-47	2.06896207286589	0.504	0.242	7.71477550064595e-43
C2403	1.99458063041872e-46	1.92935150205389	0.435	0.175	2.25666852525574e-42
C10979	1.26605134879186e-43	1.7255474454323	0.357	0.122	1.43241049602312e-39
C6889	4.02088254789496e-43	1.8220071600073	0.359	0.127	4.54922651468835e-39
C10930	1.02282329972519e-42	1.55693681533639	0.329	0.109	1.15722228130908e-38
C2444	2.5648010034476e-40	1.7800759975487	0.526	0.287	2.90181585530061e-36
C7290	7.02338875538606e-40	1.50272405985636	0.34	0.12	7.94626203784379e-36
C6705	3.27267863122156e-38	1.05796222210789	0.387	0.154	3.70270860336407e-34
C19	6.51565399854808e-34	1.93852203585298	0.373	0.159	7.3718109339573e-30
C3567	7.79330355249172e-34	1.34293648385511	0.376	0.154	8.81734363928913e-30
C7335	2.66368536511799e-33	1.04521432362488	0.504	0.263	3.0136936220945e-29
C7455	9.45318698612628e-33	1.49694209301383	0.532	0.313	1.06953357561033e-28
C10830	5.72019924056521e-30	1.08738480441814	0.501	0.277	6.47183342077548e-26
C10583	2.99423140394329e-28	1.61019171124377	0.281	0.105	3.38767341042144e-24
C10627	4.19538808628809e-27	1.59533053697604	0.248	0.088	4.74666208082635e-23
C6900	2.42307194637789e-26	1.12753008471888	0.432	0.223	2.74146360013194e-22
C7805	1.33532032040068e-24	0.80072632186879	0.279	0.111	1.51078141050133e-20
C11080	8.91119593034818e-24	1.53368010933198	0.242	0.091	1.00821270755959e-19
C10897	5.22940883407729e-21	0.495241529514263	0.234	0.09	5.91655315487505e-17
C10624	9.49161229617781e-21	1.50358349898236	0.298	0.135	1.07388101518956e-16
C10641	7.49179866024734e-20	1.47379904497041	0.27	0.117	8.47622100420384e-16
C7250	2.31606332839333e-19	0.897412594349708	0.298	0.141	2.62039404974421e-15
C7299	3.27256378408477e-18	0.888645969889047	0.292	0.14	3.70257866531351e-14
C11134	4.16673527362766e-18	1.08877826297062	0.22	0.09	4.71424428858233e-14
C10170	1.1462445141852e-17	1.85847911950904	0.29	0.14	1.29686104334913e-13
C2910	1.11405256242244e-16	1.31223552390588	0.309	0.16	1.26043906912475e-12
C10922	3.05917727882794e-16	0.30683457502009	0.209	0.086	3.46115317326594e-12
C7320	1.15015088614993e-15	1.87588694081114	0.22	0.097	1.30128071259003e-11
C3657	3.29219679150357e-15	1.18181356371253	0.373	0.223	3.72479144990714e-11
C10559	9.5010041598988e-15	1.72678624784883	0.167	0.066	1.07494361065095e-10
C10588	1.02336239896714e-14	0.402804225696194	0.27	0.133	1.15783221819143e-10
C10887	1.11528346288836e-14	1.94583653625316	0.312	0.168	1.26183170991189e-10
C10909	1.38699821163749e-14	1.20949141318066	0.212	0.094	1.56924977664665e-10
C10597	1.52591815321224e-14	0.394410914819643	0.37	0.215	1.72642379854433e-10
C2570	6.98656401782018e-14	2.39375760433583	0.181	0.078	7.90459852976175e-10
C2887	1.08303269965342e-13	2.50144456421636	0.226	0.111	1.22534319638787e-09
C2426	5.06329074264104e-13	2.05207638602607	0.309	0.18	5.72860714622408e-09
C10915	1.57094241721328e-12	1.06890157343538	0.242	0.122	1.7773642508351e-08
C10869	5.72515570071086e-12	0.345828246876384	0.37	0.232	6.47744115978427e-08
C11292	8.7081770229079e-12	1.18854206019364	0.181	0.083	9.85243148371799e-08
C10945	4.46720521048999e-11	0.346046589491668	0.253	0.136	5.05419597514837e-07
C3425	9.96823103710631e-11	2.20672788047672	0.276	0.166	1.12780565953821e-06
C11093	4.32357820601594e-08	1.92066457576061	0.323	0.222	0.000489169638228643
C7099	1.12210429205527e-07	2.19396063190916	0.153	0.08	0.00126954879603133
C11278	1.22887777340639e-07	0.263387808696773	0.192	0.106	0.001390352312832
C1757	1.34314834821804e-06	1.77961801568226	0.15	0.083	0.0151963804117389
