0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	9.61998214007933	DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_UP	85.1921009827994	LOPEZ_EPITHELIOID_MESOTHELIOMA	4.17901769877276	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	37.8057524693574	HSIAO_HOUSEKEEPING_GENES	164.898708684578	BENPORATH_SUZ12_TARGETS	4.57949543345047	BOQUEST_STEM_CELL_DN	55.6351023963907	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	22.9514741021733	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN	14.113267674066	MEISSNER_BRAIN_HCP_WITH_H3K4ME2	1.43308526756842	GERHOLD_RESPONSE_TO_TZD_UP	2.48364879690062
WP_CILIOPATHIES	6.4751803364024	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	59.1620495194312	REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	2.10464757554723	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	36.7065969643309	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	83.5268960634612	BENPORATH_ES_WITH_H3K27ME3	3.81804821828848	CUI_TCF21_TARGETS_2_DN	27.4226706458019	BENPORATH_ES_WITH_H3K27ME3	12.0328273117979	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	11.7927820814647	MIKKELSEN_IPS_LCP_WITH_H3K27ME3	1.43261192249735	REACTOME_MET_RECEPTOR_ACTIVATION	2.48364879690062
REACTOME_TRNA_PROCESSING	4.96082527529677	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	56.4463539970469	HOLLERN_EMT_BREAST_TUMOR_DN	1.82427028258582	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	31.5360614658678	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	82.5474884438035	BENPORATH_PRC2_TARGETS	3.65356815555597	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	25.7439425910309	LIM_MAMMARY_STEM_CELL_UP	11.9220214069422	HOLLERN_EMT_BREAST_TUMOR_DN	11.685483593162	MARTINELLI_IMMATURE_NEUTROPHIL_UP	1.34672809192712	MIKKELSEN_MEF_ICP_WITH_H3K27ME3	2.39154938171713
REACTOME_CILIUM_ASSEMBLY	4.767776220911	PUJANA_BRCA1_PCC_NETWORK	37.7563223521757	REACTOME_RETINOID_CYCLE_DISEASE_EVENTS	1.64006946063696	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	29.6487059808714	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	82.2495151789193	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	3.61009000386401	SWEET_LUNG_CANCER_KRAS_DN	15.6451229242449	LEE_NEURAL_CREST_STEM_CELL_UP	11.4245172725072	SERVITJA_ISLET_HNF1A_TARGETS_DN	10.6456923567651	ZHOU_PANCREATIC_BETA_CELL	1.34672809192712	PASTURAL_RIZ1_TARGETS_UP	2.28772126443865
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	4.49911934901201	BLALOCK_ALZHEIMERS_DISEASE_UP	36.914174682898	WP_MAMMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT	1.43207054658295	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	28.9530780956393	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	80.0156922058596	LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	3.3238182226651	LIM_MAMMARY_STEM_CELL_UP	11.9578409550266	NABA_MATRISOME	9.95025187778727	REACTOME_DIGESTION_AND_ABSORPTION	10.6041184211397	REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS	1.22763653503606	MEISSNER_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	2.1533897455867
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	4.33000748109683	SHEN_SMARCA2_TARGETS_UP	34.2943064889689	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1.37831476986626	KOBAYASHI_EGFR_SIGNALING_24HR_DN	27.6470613322888	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	79.0085778455925	KEGG_TYPE_II_DIABETES_MELLITUS	2.80312784248413	VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	11.8665180983274	BENPORATH_EED_TARGETS	9.04279978126166	OHGUCHI_LIVER_HNF4A_TARGETS_DN	10.2898618299463	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	1.08688624483131	REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	2.1533897455867
WP_JOUBERT_SYNDROME	3.64152962853836	BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	34.0075052435267	AIGNER_ZEB1_TARGETS	1.3601537811826	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	25.6508858172925	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	77.9550831770937	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	2.49856241168358	BAELDE_DIABETIC_NEPHROPATHY_UP	10.5158156552687	LEIN_OLIGODENDROCYTE_MARKERS	8.1317681891914	YOSHIMURA_MAPK8_TARGETS_UP	9.61522907767006	LIAN_NEUTROPHIL_GRANULE_CONSTITUENTS	1.06021350529713	MEISSNER_NPC_ICP_WITH_H3_UNMETHYLATED	1.98770053133899
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	3.60208170582038	MILI_PSEUDOPODIA_HAPTOTAXIS_UP	33.2658442548644	MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	1.26537145729978	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	24.1017837656108	REACTOME_INFECTIOUS_DISEASE	77.1224629049098	WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY	2.43912048722436	PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	10.4714170383916	BENPORATH_SUZ12_TARGETS	8.04065116415564	SABATES_COLORECTAL_ADENOMA_DN	8.93663089279027	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1.06021350529713	WP_TRIACYLGLYCERIDE_SYNTHESIS	1.89921805937281
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	3.49468151125232	SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	33.0246142119202	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION	1.25450689361259	KONG_E2F3_TARGETS	20.6103395071682	KEGG_RIBOSOME	76.5444087474807	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	2.40546851526562	SANA_TNF_SIGNALING_DN	9.89949483061317	VECCHI_GASTRIC_CANCER_EARLY_DN	8.02877707720407	COLDREN_GEFITINIB_RESISTANCE_DN	8.89360224228162	MIKKELSEN_ES_LCP_WITH_H3K4ME3_AND_H3K27ME3	1.02712944292829	WEIGEL_OXIDATIVE_STRESS_BY_TBH_AND_H2O2	1.77510459552874
KAUFFMANN_DNA_REPAIR_GENES	3.33566992403637	SCHLOSSER_SERUM_RESPONSE_DN	30.8135647238265	REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	1.14134907823726	LEE_EARLY_T_LYMPHOCYTE_UP	20.4681695600905	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	73.9823130314607	WP_DIFFERENTIATION_OF_WHITE_AND_BROWN_ADIPOCYTE	2.32759685146037	ONDER_CDH1_TARGETS_2_DN	9.88243926718061	VERHAAK_GLIOBLASTOMA_PRONEURAL	7.74087741679797	FEVR_CTNNB1_TARGETS_UP	8.29304786657052	REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	1.02712944292829	REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	1.77510459552874
