geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8	geneCluster_9	geneCluster_10
4732440D04Rik	Mrpl15	Gm19938	Gm26983	Rpl7	Gm8326	Sox17	Xkr4	Kcnb2	Gm37629	Mogat1
Gm37108	Lypla1	Gm6085	Gm5523	Ptpn18	Gm11599	Paqr8	Fam178b	Vil1	Gm5525	Gm38118
Rrs1	Tcea1	Gm38372	Rpl5-ps1	Cox5b	Gpbar1	Cavin2	Creg2	Ptprn	4930403P22Rik	Gm15599
Mybl1	Atp6v1h	Gm26901	Gm5828	Eif5b	Des	Myo1b	Gulp1	Tm4sf20	Gm3617	Kcnj9
Gm37569	Rb1cc1	Sntg1	Mcm3	Rpl31	Epha4	Hecw2	Adam23	Alpi	Gm5526	Zcchc12
Gm38376	Pcmtd1	Adhfe1	Khdc1a	Sf3b1	Sgpp2	Ccnyl1	Map2	Lct	Gm37393	Gpr165
Gm38223	2610203C22Rik	1700034P13Rik	4930568A12Rik	Hspe1	Sctr	Igfbp5	Wnt6	Pigr	Gm31812	1600017P15Rik
Gm38120	Vcpip1	Mcmdc2	Gm37909	Bzw1	Gm37283	Htr2b	Serpine2	Il19	4930558J18Rik	Hgfac
Gm38380	Sgk3	Tcf24	Zap70	Eef1b2	Nfasc	Ackr3	Col4a4	Elf3	Gm8805	Gm7785
Terf1	Snhg6	Sulf1	F830112A20Rik	Fn1	Gm36527	Sned1	Efhd1	Lad1	Rpl31-ps14	Hemgn
Rdh10	Cops5	Gm37409	Rpl12-ps1	Rpl37a	Cacna1e	Bok	Mlph	Gpa33	Gm5528	
Stau2	Cspp1	Gm37702	Chst10	Arpc2	Angptl1	Rnf152	Klhl30	Tstd1	Gm28884	
Tram2	Arfgef1	Gm38319	Gm15832	Ncl	Gm37212	Phlpp1	Cdh19	Slc30a10	Nmur1	
Tmem14a	Prex2	Eya1	Gm5100	Ptma	Atp1b1	Inhbb	Gm38255	Ccdc3	Akp3	
Gsta3	Ncoa2	Msc	Gm16894	Cops9	Mgst3	Slc45a3	Gm36944	Tmem236	Gm15368	
Gm7658	Tram1	Gm38116	Il1rl1	Dbi	Pcp4l1	Pik3c2b	Lrrn2	Entpd8	Gm15376	
B3gat2	Lactb2	Jph1	Slc9a4	Actr3	Grem2	Sox13	Gpr37l1	Gm13373	Glrp1	
Fam135a	Ube2w	Gm15795	Txn-ps1	Snrpe	2700078F05Rik	Rgs16	Shisa4	Gm13657	Gm38130	
Gm37522	Eloc	Efhc1	Gm8337	Btg2	Gm37018	Rasal2	Inava	Ehf	Gm37036	
Gm37906	Tmem70	Kcnq5	4933411E06Rik	Ptprc	Syt14	Gm37788	Brinp2	Phgr1	Ano7	
Ptp4a1	Ly96	Rims1	Gm17767	Tpr	Prkcq	2810025M15Rik	Astn1	Ppp1r14d	Tdpx-ps1	
Ptp4a1.1	Gm4956	Gm7846	Stat4	Arpc5	Gm37006	Fmo1	Fam78b	Hnf4a	Gm29668	
Prim2	Ogfrl1	Gm19680	A130048G24Rik	Ier5	Ajm1	F11r	Rxrg	Pck1	Gm4793	
Rab23	Smap1	Gm29228	Gm6822	Prrc2c	Gm13443	Ifi203-ps	Kcnj10	Glod5	Platr22	
Bag2	Sdhaf4	Gm37618	Sgo2a	Fcgr2b	Lypd6	C130074G19Rik	Cadm3	2010106E10Rik	A230059L01Rik	
Bend6	Lmbrd1	Gm37354	Ica1l	Fcgr3	Gm13502	Ptpn14	1700047M11Rik	Pof1b	Rbm3-ps	
Gm38157	Phf3	Gm3052	Cd28	Fcer1g	Gm13620	Prox1	Itih5	Hnf4g	Gm19503	
Gm37233	Zfp451	Arhgef4	Ctla4	Tagln2	Gm13594	Plxna2	Nebl	Slc2a2	Gm15428	
Gm28417	Dst	1110002O04Rik	Icos	Hnrnpu	Gm13743	Fam171a1	Entpd2	Tm4sf4	2810442N19Rik	
Lman2l	Ccdc115	4930594C11Rik	Gm37039	H3f3a	Tspan18	Bend7	Olfml2a	Mme	Gm37864	
Cnnm4	Imp4	2010300C02Rik	Rpl17-ps1	Srp9	Gm13889	Proser2	Rnd3	Sis	Gm16418	
Cnnm3	Fam168b	Lipt1	2810408I11Rik	Atf3	Gm14057	St8sia6	Tnfaip6	Pdzk1	Apoa2	
Ankrd39	Plekhb2	Gm16152	D630023F18Rik	Celf2	Gfra4	Etl4	Fign	Eps8l3	Gm37785	
Sema4c	Hs6st1	Gm37309	Ikzf2	Atp5c1	Syndig1	Nrarp	Grb14	Pitx2	Gm38037	
D430040D24Rik	Uggt1	Npas2	Gm28112	Vim	6820408C15Rik	Egfl7	Scn7a	Adh6a	Rd3	
Gm38115	Neurl3	Gm38070	Bard1	Mrc1	4930405A21Rik	Pkn3	Frzb	Clca4b	Gm13196	
Gm43213	Arid5a	Il18r1	Apol7d	Edf1	Edn3	Ier5l	Lrrc4c	Cdh17	Gm38386	
Tsga10	Kansl3	Mfsd9	4933417E11Rik	Rpl7a	Gm14373	Lcn2	Cd59a	Aldob	Gm13312	
Rev1	Actr1b	Gpr45	Gm4319	Set	Gm16412	Sh2d3c	Tyro3	Ambp	Gm13450	
Aff3	Tmem131	1500015O10Rik	Mreg	Rpl12	Nap1l2	Mrrf	Shc4	Sh3gl2	Rpl15-ps4	
Cnot11	Inpp4a	Dnah7b	Gm15843	Hspa5	Tmem35a	Tanc1	Mal	Cdkn2b	Gm13592	
Gm23722	Coa5	Gm28151	Rufy4	Rab14	Spin2c	Scn3a	Fbln7	Dab1	Rpl35-ps1	
Gm37347	Unc50	Tmeff2	Cxcr1	Gsn	Car2	Itga6	D630003M21Rik	Guca2b	Klhl41	
Il1r1	Mgat4a	Gm3940	Gm6159	Rpl35	4933429H19Rik	Rapgef4	Matn4	Tmem54	Rpl9-ps7	
Il1rl2	Mitd1	Gm36955	Ap1s3	Zeb2	Kcnmb2	Hoxd3os1	Dbndd2	Gm28874	2600014E21Rik	
AI597479	Mrpl30	Gm37370	Gm37902	Rbms1	Slc25a31	Hoxd8	Pmepa1	Kdf1	Olfr1238	
Fhl2	Txndc9	E330011M16Rik	Gm37262	Ssb	Smad9	Aplnr	Cdh4	Cnksr1	Them7	
Nck2	Pdcl3	Gm8292	Gm38062	Dync1i2	Gm37776	Chst1	Col9a3	Rnf186	Gm13935	
Uxs1	Tbc1d8	Gm38056	Gm7516	Atp5g3	Gm9790	Gchfr	Col20a1	Tmem82	4930417H01Rik	
Tex30	Rnf149	Gm37382	Slc16a14	Hnrnpa3	4930537H20Rik	Gm14207	2010204K13Rik	Gm42685	Gm14048	
Kdelc1	Map4k4	Gm37607	Rpl19-ps1	Spi1	Gm42671	Dll4	Syp	Slc5a1	Gm14036	
Bivm	Il1r2	G730003C15Rik	Gm16094	Cd44	Ankrd34a	Duox2	Pcsk1n	9130230L23Rik	Gm11687	
Ercc5	Il18rap	Cdk15	Gpr55	Srp14	Elovl6	Mall	Slitrk2	Lrrc66	Gm11759	
Gm37626	Mrps9	Gm38125	Gm37914	Pdia3	Dkk2	Hspa12b	Plxnb3	Ugt2b34	Gm14123	
Gm38211	Tgfbrap1	Gm15464	Ugt1a7c	Serf2	Npnt	Plcb4	L1cam	Sult1b1	Gm14494	
Wdr75	Tpp2	Eif4a-ps4	Ugt1a5	B2m	Cxxc4	Cd93	Rab39b	Sult1d1	Myh7b	
Gm8420	Col3a1	Gm37205	Gm29336	Gatm	Unc5c	Tcf15	Dmd	Cldn3	Gm14277	
Nemp2	Col5a2	Gm38012	Gm28499	Il1b	Slc44a5	Trib3	Il1rapl1	Stx1a	Slc32a1	
Inpp1	Slc40a1	Gm38351	Gm26720	Snrpb	Lrriq3	Id1	Nlgn3	Muc3	Gm11448	
Hibch	Slc39a10	Gpr1	Otos	Dstn	Negr1	Ccm2l	Tceal3	Gm3054	Gm14302	
1700019D03Rik	Nabp1	Zdbf2	Pask	Rrbp1	Klhl32	Procr	Plp1	Muc3a	Tnnc2	
Pms1	Stat1	Gm26649	Gm17415	Snx5	Rragd	Lbp	Rragb	Tmem184a	Gm14379	
Ormdl1	Gls	Gm37570	Pdcd1	Cst3	Aldh1b1	Plcg1	Cnksr2	Cyp3a11	Flicr	
