gene	cluster
Xkr4	14
Gm19938	12
Sox17	10
Gm6085	8
Mrpl15	3
Lypla1	0
Tcea1	3
Atp6v1h	0
Rb1cc1	3
4732440D04Rik	4
Gm37108	5
Pcmtd1	3
Gm38372	5
Gm26901	12
Sntg1	2
Rrs1	0
Adhfe1	2
2610203C22Rik	2
Mybl1	16
Vcpip1	0
Sgk3	7
Mcmdc2	5
Snhg6	0
Tcf24	2
Cops5	3
Cspp1	0
Arfgef1	3
Gm37569	5
Prex2	10
Sulf1	17
Ncoa2	0
Gm38376	5
Gm37409	5
Gm38223	8
Gm37702	5
Gm38120	5
Gm38380	5
Tram1	3
Lactb2	1
Gm38319	5
Gm5523	5
Eya1	2
Msc	2
Rpl5-ps1	5
Kcnb2	16
Gm38116	16
Terf1	1
Rpl7	11
Rdh10	9
Stau2	4
Ube2w	0
Eloc	3
Tmem70	0
Ly96	1
Jph1	2
Gm15795	8
Mcm3	18
Paqr8	10
Efhc1	8
Tram2	1
Tmem14a	2
Gsta3	9
Gm4956	9
Khdc1a	6
Kcnq5	14
Gm7658	2
Rims1	12
Ogfrl1	7
B3gat2	2
Smap1	3
Sdhaf4	0
Fam135a	4
Lmbrd1	3
Gm7846	5
Phf3	3
Gm37522	5
Gm37906	5
Ptp4a1	15
Ptp4a1.1	5
Prim2	4
Gm29228	5
Gm37618	5
Rab23	4
Bag2	2
Zfp451	0
Bend6	2
Dst	9
Gm37354	5
Gm38157	12
Gm3052	5
Gm37233	6
Ccdc115	7
Imp4	0
Ptpn18	7
Gm28417	2
4930568A12Rik	6
Arhgef4	12
Fam168b	3
Plekhb2	0
1110002O04Rik	16
Hs6st1	1
Uggt1	3
Neurl3	7
Arid5a	7
Kansl3	0
Lman2l	1
Cnnm4	4
Cnnm3	1
Ankrd39	1
Sema4c	1
D430040D24Rik	12
Fam178b	14
Cox5b	11
Actr1b	1
Zap70	20
Tmem131	3
Gm38115	6
F830112A20Rik	5
Inpp4a	1
Coa5	0
Unc50	0
Mgat4a	0
4930594C11Rik	5
Gm43213	15
2010300C02Rik	20
Tsga10	1
Lipt1	2
Mitd1	0
Mrpl30	3
Txndc9	3
Eif5b	11
Rev1	1
Aff3	2
Gm16152	8
Chst10	6
Pdcl3	3
Gm37309	13
Npas2	8
Rpl31	11
Tbc1d8	1
Cnot11	1
Gm15832	6
Rnf149	7
Gm23722	15
Gm5100	8
Creg2	14
Map4k4	3
Il1r2	7
Gm16894	6
Gm37347	5
Il1r1	9
Gm38070	8
Il1rl2	4
Il1rl1	20
Il18r1	17
Il18rap	20
Mfsd9	16
Mrps9	0
Gpr45	8
Tgfbrap1	1
AI597479	4
Fhl2	9
Nck2	14
1500015O10Rik	16
Uxs1	1
Tpp2	3
Tex30	4
Kdelc1	2
Bivm	2
Ercc5	1
Gulp1	14
Gm37626	14
Col3a1	9
Col5a2	9
Gm38211	2
Wdr75	1
Slc40a1	1
Dnah7b	16
Gm8326	5
Slc39a10	0
Gm28151	5
4933411E06Rik	16
Tmeff2	17
Cavin2	10
Nabp1	7
Gm17767	6
