gene	cluster
Xkr4	14
Gm19938	12
Sox17	10
Gm6085	2
Mrpl15	1
Lypla1	4
Tcea1	1
Atp6v1h	1
Rb1cc1	1
4732440D04Rik	0
Gm37108	5
Pcmtd1	1
Gm38372	2
Gm26901	2
Sntg1	14
Rrs1	0
Adhfe1	2
2610203C22Rik	15
Mybl1	3
Vcpip1	1
Sgk3	1
Mcmdc2	2
Snhg6	4
Tcf24	11
Cops5	1
Cspp1	4
Arfgef1	1
Gm37569	2
Prex2	8
Sulf1	11
Ncoa2	4
Gm38376	3
Gm37409	2
Gm38223	3
Gm37702	2
Gm38120	3
Gm38380	3
Tram1	6
Lactb2	4
Gm38319	5
Gm5523	5
Eya1	5
Msc	2
Rpl5-ps1	5
Kcnb2	7
Gm38116	14
Terf1	0
Rpl7	6
Rdh10	8
Stau2	0
Ube2w	4
Eloc	6
Tmem70	0
Ly96	15
Jph1	2
Gm15795	5
Mcm3	16
Paqr8	3
Efhc1	2
Tram2	0
Tmem14a	0
Gsta3	8
Gm4956	8
Khdc1a	13
Kcnq5	5
Gm7658	3
Rims1	7
Ogfrl1	1
B3gat2	3
Smap1	1
Sdhaf4	4
Fam135a	9
Lmbrd1	1
Gm7846	14
Phf3	1
Gm37522	3
Gm37906	3
Ptp4a1	3
Ptp4a1.1	5
Prim2	0
Gm29228	5
Gm37618	2
Rab23	9
Bag2	9
Zfp451	4
Bend6	3
Dst	8
Gm37354	2
Gm38157	12
Gm3052	2
Gm37233	3
Ccdc115	1
Imp4	4
Ptpn18	6
Gm28417	3
4930568A12Rik	5
Arhgef4	2
Fam168b	1
Plekhb2	1
1110002O04Rik	14
Hs6st1	15
Uggt1	1
Neurl3	1
Arid5a	6
Kansl3	4
Lman2l	0
Cnnm4	3
Cnnm3	0
Ankrd39	0
Sema4c	0
D430040D24Rik	2
Fam178b	12
Cox5b	6
Actr1b	4
Zap70	13
Tmem131	1
Gm38115	4
F830112A20Rik	5
Inpp4a	15
Coa5	1
Unc50	1
Mgat4a	1
4930594C11Rik	5
Gm43213	5
2010300C02Rik	11
Tsga10	0
Lipt1	11
Mitd1	6
Mrpl30	6
Txndc9	1
Eif5b	6
Rev1	0
Aff3	3
Gm16152	14
Chst10	5
Pdcl3	1
Gm37309	2
Npas2	2
Rpl31	6
Tbc1d8	15
Cnot11	0
Gm15832	3
Rnf149	1
Gm23722	3
Gm5100	5
Creg2	7
Map4k4	1
Il1r2	4
Gm16894	2
Gm37347	5
Il1r1	9
Gm38070	2
Il1rl2	3
Il1rl1	13
Il18r1	11
Il18rap	4
Mfsd9	2
Mrps9	4
Gpr45	2
Tgfbrap1	0
AI597479	3
Fhl2	8
Nck2	0
1500015O10Rik	11
Uxs1	0
Tpp2	1
Tex30	0
Kdelc1	0
Bivm	3
Ercc5	0
Gulp1	8
Gm37626	12
Col3a1	8
Col5a2	8
Gm38211	9
Wdr75	0
Slc40a1	15
Dnah7b	7
Gm8326	2
Slc39a10	4
Gm28151	2
4933411E06Rik	5
Tmeff2	11
Cavin2	10
Nabp1	6
Gm17767	13
