gene	cluster
Retnla	0
Gzma	12
Fabp4	10
Ccl5	12
Gzmb	12
Spp1	0
Ccl8	6
Hist1h1b	8
Cxcl10	0
Saa3	3
Top2a	8
Rgs5	13
Sparc	3
Col3a1	3
Slpi	3
Ccl11	13
Igfbp7	3
Col4a1	3
Pclaf	8
Cd163	0
Timp1	3
Mki67	8
G0s2	1
Hist1h2ap	8
Sparcl1	3
Ptn	3
Scn7a	4
Fibin	13
Scg2	2
Grem1	2
Ctla2a	12
Pdgfra	13
Dcn	3
Mgp	3
Hist1h2ae	8
Stmn1	3
Ccl7	6
Aqp1	10
Des	2
Nusap1	8
Plvap	10
Hspb1	3
Nkg7	12
Lgals4	5
Col1a1	3
Lcn2	3
Ifitm1	3
Cd209a	0
Sfrp1	4
Lpl	1
Cxcl12	3
Dpt	13
Lgals7	7
Ccl3	1
Ccl4	6
Tagln	13
Prc1	8
Ccl12	6
Tpm1	3
Actg2	2
Ear2	5
Prnp	4
Cxcl2	6
Tnfrsf4	11
Rnase2a	6
Timp3	4
Il4i1	5
Fbn1	13
Cd8a	12
Acta2	13
Lyve1	1
Cnn1	2
Mmp12	1
Myl9	2
Birc5	8
Calml4	1
Serpine1	9
Cald1	3
Serpinh1	3
Bmp2	1
Kcna1	4
Tpm2	13
Cxcl1	2
Trbc1	12
Ptgs2	0
Cd3g	12
Mt2	3
Col6a3	13
Egfl7	10
Spon2	13
Col4a2	3
Edn1	10
Iigp1	0
Thbs2	13
Ccl2	6
Gsn	0
Areg	5
Fn1	6
Gucy1a1	13
Ptprb	10
Ube2c	8
Mgst3	2
Cst3	6
Plp1	4
Myh11	2
Kcnn3	13
Gpihbp1	10
Pf4	6
Rarres2	3
Car2	12
Cenpf	8
Gng11	3
Rsad2	1
Ebf1	10
Cdh5	10
Col5a2	3
Slc7a2	0
Chil1	3
Fbln2	3
Bgn	3
Postn	4
Tm4sf1	3
Inhba	1
Cav1	10
Col6a1	3
Atp1b1	7
Mylk	2
Ly6c1	10
Col6a2	3
Tcrg-C1	5
Tnc	13
Terf2ip	1
Klk1	5
Ms4a4b	12
Dmkn	7
Igf1	0
Kcna2	4
Thbs1	6
Serping1	3
Lum	13
Col1a2	3
Ly6a	0
Cd7	12
Trbc2	12
Zfp202	5
Tnf	1
Arg1	6
Cd3d	12
Hes1	4
C3	3
Il1rl1	5
Hist1h4d	0
Hmgb2	0
Apod	4
Sostdc1	4
Gpr37l1	4
Ccn1	2
Rgs10	0
Igfbp3	7
Lrg1	10
Aspn	13
Apold1	10
Gm13889	2
Il1a	1
Kit	9
Fbln1	13
Col15a1	10
Ednrb	0
Gdf15	1
Smoc2	13
Nfib	3
Itgae	11
Gm12840	3
Pcp4l1	9
Cd3e	12
Pcp4	5
Rgs1	0
Abcc9	2
Nrgn	11
Tnfaip6	2
Map3k12	5
Chodl	2
Tpx2	8
Gata3	11
Pde3a	13
Gm20186	7
Mfap4	13
Slc7a11	1
Siglech	5
Mmp13	1
Trdc	11
Cd79b	1
Hp	0
Prf1	12
Tbc1d4	1
Cd63	6
Ly6c2	0
Fabp5	6
Cytip	0
Cldn5	10
