gene	cluster
Retnla	0
Gzma	5
Fabp4	3
Ccl5	5
Gzmb	5
Spp1	0
Ccl8	6
Hist1h1b	8
Cxcl10	0
Saa3	4
Top2a	8
Rgs5	4
Sparc	4
Col3a1	4
Slpi	4
Ccl11	4
Igfbp7	4
Col4a1	4
Pclaf	8
Cd163	0
Timp1	0
Mki67	8
G0s2	0
Hist1h2ap	8
Sparcl1	4
Ptn	4
Scn7a	9
Fibin	4
Scg2	2
Grem1	2
Ctla2a	5
Pdgfra	4
Dcn	4
Mgp	4
Hist1h2ae	8
Stmn1	8
Ccl7	6
Aqp1	3
Des	1
Nusap1	8
Plvap	3
Hspb1	4
Nkg7	5
Lgals4	7
Col1a1	4
Lcn2	4
Ifitm1	0
Cd209a	0
Sfrp1	4
Lpl	1
Cxcl12	4
Dpt	4
Lgals7	10
Ccl3	0
Ccl4	0
Tagln	4
Prc1	8
Ccl12	6
Tpm1	4
Actg2	1
Ear2	1
Prnp	4
Cxcl2	6
Tnfrsf4	5
Rnase2a	6
Timp3	4
Il4i1	1
Fbn1	4
Cd8a	5
Acta2	4
Lyve1	1
Cnn1	1
Mmp12	1
Myl9	4
Birc5	8
Calml4	1
Serpine1	4
Cald1	4
Serpinh1	4
Bmp2	1
Kcna1	9
Tpm2	4
Cxcl1	2
Trbc1	5
Ptgs2	0
Cd3g	5
Mt2	4
Col6a3	4
Egfl7	3
Spon2	4
Col4a2	4
Edn1	3
Iigp1	0
Thbs2	4
Ccl2	6
Gsn	0
Areg	5
Fn1	6
Gucy1a1	4
Ptprb	3
Ube2c	8
Mgst3	2
Cst3	6
Plp1	9
Myh11	1
Kcnn3	4
Gpihbp1	3
Pf4	6
Rarres2	4
Car2	5
Cenpf	8
Gng11	3
Rsad2	1
Ebf1	3
Cdh5	3
Col5a2	4
Slc7a2	0
Chil1	4
Fbln2	4
Bgn	4
Postn	9
Tm4sf1	4
Inhba	1
Cav1	3
Col6a1	4
Atp1b1	10
Mylk	4
Ly6c1	3
Col6a2	4
Tcrg-C1	5
Tnc	4
Terf2ip	1
Klk1	7
Ms4a4b	5
Dmkn	10
Igf1	0
Kcna2	9
Thbs1	6
Serping1	4
Lum	4
Col1a2	4
Ly6a	0
Cd7	5
Trbc2	5
Zfp202	7
