id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C2143	5.18531880722262e-71	2.5087746020694	0.642	0.087	5.86666969849167e-67
C1785	1.11489212648847e-70	1.84348358630509	0.66	0.092	1.26138895190906e-66
C930	3.59460187368238e-65	1.8806567852902	0.566	0.072	4.06693255988425e-61
C513	3.95299553695467e-63	1.39972368341505	0.708	0.125	4.47241915051052e-59
C1908	5.81915289025223e-63	1.84800329785905	0.604	0.089	6.58378958003138e-59
C675	1.05912909095591e-62	1.56281898970034	0.623	0.093	1.19829865350752e-58
C1626	1.49786118904959e-62	1.84756754276577	0.585	0.082	1.69468014929071e-58
C1548	5.17767194341778e-61	1.49183136263421	0.547	0.072	5.85801803678287e-57
C1587	6.60945649741908e-60	1.11957910075004	0.708	0.135	7.47793908117995e-56
C1816	1.76480722319328e-58	1.39691973497061	0.575	0.084	1.99670289232088e-54
C1462	5.2680445554938e-57	1.14088370739925	0.566	0.083	5.96026561008569e-53
C1593	1.29780392688519e-50	1.86112586587295	0.566	0.097	1.4683353628779e-46
C1965	2.51351538392767e-50	0.95033246368678	0.528	0.083	2.84379130537576e-46
C1603	2.65855559096774e-50	0.902437087693017	0.575	0.097	3.0078897956209e-46
C732	6.34015353451925e-50	2.22828849611395	0.613	0.113	7.17324970895508e-46
C1394	1.22441088079869e-49	1.65906509192495	0.575	0.101	1.38529847053564e-45
C1147	1.40123326285785e-49	2.12161955661767	0.566	0.096	1.58535531359737e-45
C279	1.61149236049768e-48	1.44300948458005	0.528	0.083	1.82324245666708e-44
C1348	2.27979094167371e-48	0.997447397601195	0.613	0.117	2.57935547140964e-44
C2325	2.6030019956124e-48	1.07871142375923	0.575	0.103	2.94503645783587e-44
C863	4.37866648735143e-47	1.89980376659056	0.519	0.084	4.95402326378941e-43
C1887	8.05133354367734e-46	1.79544793733587	0.66	0.149	9.10927877131654e-42
C1006	8.46547199708483e-46	1.45015487633832	0.538	0.094	9.57783501750178e-42
C1672	1.66603224202796e-45	1.0851788553134	0.566	0.108	1.88494887863044e-41
C144	1.95051547108958e-45	1.16247235370954	0.566	0.103	2.20681320399076e-41
C1891	3.32439954509656e-45	1.1873679182417	0.5	0.081	3.76122564532225e-41
C1611	1.39276234320959e-44	1.26452118086882	0.557	0.105	1.57577131510733e-40
C1023	1.49078876326098e-44	1.59613795224283	0.642	0.144	1.68667840675347e-40
C2239	2.06699703460208e-44	1.12691761640546	0.604	0.127	2.33860044494879e-40
C165	4.63887043138919e-44	1.38869783717032	0.509	0.087	5.24841800607372e-40
C1290	8.64461355134856e-44	1.18139098441349	0.792	0.227	9.78051577199576e-40
C858	2.05660094424252e-43	1.09975510052444	0.472	0.076	2.32683830831598e-39
C27	2.4505947441985e-43	1.36784547330193	0.566	0.111	2.77260289358618e-39
C999	4.47983666287821e-43	2.12092245864696	0.462	0.07	5.06848720038041e-39
C690	4.57245448856336e-43	1.83540366655223	0.538	0.098	5.17327500836058e-39
C1670	9.37082244095936e-43	0.85994730096561	0.462	0.072	1.06021485097014e-38
C1238	1.80539577871796e-42	1.96684013567523	0.519	0.095	2.0426247840415e-38
C126	2.3073891885968e-42	1.26130843033562	0.491	0.085	2.61058012797842e-38
C2	4.17404030955714e-42	1.23813441856069	0.557	0.112	4.72250920623295e-38
C693	5.43379367427398e-42	1.35071185859581	0.623	0.136	6.14779416307358e-38
C1118	7.29623078041659e-42	2.29432499220967	0.538	0.102	8.25495550496333e-38
C602	7.95116097449241e-42	1.15962335030721	0.604	0.133	8.99594352654072e-38
C1538	8.54296025612674e-42	0.640906581881586	0.575	0.116	9.66550523378179e-38
C516	9.96698445627786e-42	1.75684006282595	0.491	0.085	1.12766462138328e-37
C1177	1.09627974272977e-41	1.09120419256343	0.509	0.092	1.24033090092446e-37
C977	1.69524088202258e-41	0.911341212758595	0.481	0.08	1.91799553392035e-37
C2142	5.00433255385258e-41	1.54617847786846	0.632	0.15	5.66190185142881e-37
C1260	8.29673553328619e-41	1.13180760658122	0.566	0.119	9.38692658235999e-37
C1341	9.52404586282496e-41	1.31286453632583	0.5	0.087	1.07755054892002e-36
C339	2.72097871004547e-40	1.73130980264042	0.575	0.126	3.07851531254545e-36
C597	6.95903705929125e-40	1.33187971483812	0.528	0.1	7.87345452888212e-36
C3330	1.26961543261983e-39	1.33431004043982	0.953	0.659	1.43644290046607e-35
C1449	1.59770573815143e-39	1.42383017758758	0.472	0.081	1.80764427214453e-35
C2257	2.56895113564297e-39	0.795945470425576	0.481	0.086	2.90651131486645e-35
C551	3.69171070192235e-39	1.0354070109654	0.491	0.089	4.17680148815495e-35
C1123	4.00945110453186e-39	1.43792845400112	0.642	0.155	4.53629297966735e-35
C5237	8.53908896889379e-39	1.35260601168353	0.953	0.685	9.66112525940644e-35
C963	1.03403799238669e-38	1.22623400096547	0.5	0.095	1.16991058458631e-34
C771	4.21298001541829e-38	1.35247562628241	0.717	0.2	4.76656558944425e-34
C1665	4.24947303896597e-38	1.26685376021191	0.736	0.216	4.8078537962861e-34
C441	7.82644607131849e-38	1.31642112668046	0.491	0.092	8.85484108508974e-34
C254	1.07441313148139e-37	0.919685506288042	0.443	0.076	1.21559101695804e-33
C9367	1.63171730662358e-37	1.38829944838822	0.962	0.59	1.84612496071391e-33
C189	2.68586654225079e-37	1.18222537711125	0.528	0.112	3.03878940590254e-33
C4133	9.50528295966829e-37	1.38709186201518	1	0.775	1.07542771405687e-32
C2082	1.0421055627982e-36	1.02560211112522	0.519	0.106	1.17903823374988e-32
C1967	1.48775545040372e-36	1.81699652420356	0.5	0.101	1.68324651658677e-32
C8767	1.59347219305355e-36	1.28801646787288	0.943	0.688	1.80285443922079e-32
C1844	2.08550151222122e-36	1.34846239314673	0.472	0.088	2.35953641092709e-32
C342	2.8347718845667e-36	1.00102190035652	0.491	0.098	3.20726091019877e-32
C738	5.26930283613673e-36	1.34764539292239	0.679	0.19	5.96168922880509e-32
C786	8.36173702625784e-36	1.40636823874604	0.575	0.136	9.46046927150812e-32
C346	1.12376538335522e-35	0.984550148568686	0.462	0.089	1.2714281547281e-31
C1479	1.15264250040129e-35	0.771505908858563	0.481	0.095	1.30409972495402e-31
C1347	2.10900462487382e-35	1.11458768202172	0.566	0.131	2.38612783258223e-31
C1250	2.11528587553759e-35	1.38240939222351	0.613	0.157	2.39323443958323e-31
C9978	3.08823250517187e-35	1.12635092986463	0.962	0.604	3.49402625635145e-31
C702	8.10776455765978e-35	0.97898571185098	0.443	0.082	9.17312482053627e-31
C216	8.24860356590654e-35	0.805724959975626	0.481	0.092	9.33247007446666e-31
C1288	9.25388995083312e-35	1.46606440337079	0.443	0.08	1.04698510903726e-30
C1886	1.21423889809105e-34	1.52776688437629	0.5	0.107	1.37378988930022e-30
C2125	1.98057299893143e-34	0.681976390088073	0.453	0.086	2.24082029099102e-30
C7104	3.37125113239317e-34	1.07215843561032	0.953	0.503	3.81423353118964e-30
C2130	5.19532046930108e-34	0.973726172304574	0.613	0.161	5.87798557896725e-30
C629	5.94683340286777e-34	1.20716680007945	0.481	0.104	6.72824731200459e-30
C1821	6.04642808144133e-34	1.25063693889346	0.472	0.095	6.84092873134272e-30
C6835	6.04698886554714e-34	1.12058494411827	0.925	0.617	6.84156320248004e-30
C2246	8.68203216298351e-34	1.25460758033502	0.434	0.084	9.82285118919954e-30
C3078	9.22305856284765e-34	1.19107858657756	0.925	0.663	1.04349684580058e-29
C499	1.34094554699721e-33	1.63918968659924	0.472	0.097	1.51714579187264e-29
C966	1.57397477767741e-33	1.25224142587189	0.528	0.119	1.78079506346423e-29
C6822	3.30999507845023e-33	1.20128245046454	0.943	0.524	3.74492843175859e-29
C8412	3.50203516286585e-33	0.565426095534411	0.981	0.716	3.96220258326642e-29
C6174	3.6896992924715e-33	1.26354044728118	0.906	0.694	4.17452577950225e-29
C132	3.85687176902361e-33	1.22472163923148	0.453	0.088	4.36366471947332e-29
C3590	4.05300859048319e-33	1.23206330465542	0.925	0.683	4.58557391927268e-29
C2006	4.85361412961244e-33	0.859422739225299	0.453	0.089	5.49137902624351e-29
C75	5.05377984961454e-33	1.14455463608369	0.594	0.156	5.7178465218539e-29
C877	5.39716292755524e-33	0.947000980130677	0.632	0.168	6.106350136236e-29
C4228	6.92171936282159e-33	1.55243194451352	0.925	0.705	7.83123328709634e-29
