0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	26.3367686117082	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	59.34091840073	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	13.7152178851165	KANNAN_TP53_TARGETS_DN	4.58370529137771	BOQUEST_STEM_CELL_DN	12.5426611270277	BOQUEST_STEM_CELL_UP	12.8528580610212	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	18.1204471551309	BOQUEST_STEM_CELL_DN	47.4654033700977	WINTER_HYPOXIA_METAGENE	19.5174743910649	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	113.678735543548	ONDER_CDH1_TARGETS_2_DN	8.32829810401917	SMID_BREAST_CANCER_NORMAL_LIKE_UP	33.5733762395209
CHEN_METABOLIC_SYNDROM_NETWORK	24.2774497465841	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	58.1660020885178	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	13.5476036667898	DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP	4.47895911877085	CUI_TCF21_TARGETS_2_DN	11.5597373742071	LIU_PROSTATE_CANCER_DN	11.1030087889414	LIM_MAMMARY_STEM_CELL_UP	12.5072797131075	SWEET_LUNG_CANCER_KRAS_DN	25.1502274159893	SWEET_LUNG_CANCER_KRAS_UP	17.8409659665691	FISCHER_DREAM_TARGETS	98.3987581766966	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	7.69798815894496	BOYLAN_MULTIPLE_MYELOMA_C_D_DN	27.0175610047041
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	22.8613111732724	CHICAS_RB1_TARGETS_CONFLUENT	44.1147295636093	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	11.2063223987623	LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	4.17771746438393	LIM_MAMMARY_STEM_CELL_UP	9.95111513788054	NABA_MATRISOME	11.0064229139785	WONG_ADULT_TISSUE_STEM_MODULE	11.6373611107737	CUI_TCF21_TARGETS_2_DN	20.6962369669068	NADLER_OBESITY_UP	17.6421971645268	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	89.6452977412242	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	7.08902701549656	VILIMAS_NOTCH1_TARGETS_UP	22.4299518585173
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	21.4594682140137	LIU_PROSTATE_CANCER_DN	41.5425701296169	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	10.4198307467796	FUJII_YBX1_TARGETS_DN	4.16485756566935	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	7.29628627256872	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	10.6837050721995	SMID_BREAST_CANCER_LUMINAL_B_DN	10.8522061037442	BAELDE_DIABETIC_NEPHROPATHY_UP	14.0604715821045	DELYS_THYROID_CANCER_UP	17.5165588492735	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	85.4529142587997	HOLLERN_EMT_BREAST_TUMOR_DN	6.43320490863199	JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	21.8915990979585
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	21.4476545779196	WONG_ADULT_TISSUE_STEM_MODULE	40.6009399638998	CHEN_METABOLIC_SYNDROM_NETWORK	10.3908247793536	FISCHER_G1_S_CELL_CYCLE	4.07602392822283	HAN_SATB1_TARGETS_DN	7.1450974637217	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	9.8399438822223	DELYS_THYROID_CANCER_DN	10.561226502528	VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	12.128210206069	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	16.8745136290368	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	83.0381001659082	LIM_MAMMARY_STEM_CELL_DN	5.63239235079314	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	21.4712304941471
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	20.8455832637287	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	39.7563327913112	LENAOUR_DENDRITIC_CELL_MATURATION_UP	9.5664264441754	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	4.05696292391384	SWEET_LUNG_CANCER_KRAS_DN	6.690769865627	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	8.61501563099509	SMID_BREAST_CANCER_BASAL_UP	9.87168490298811	SANA_TNF_SIGNALING_DN	10.0686317455762	VERHAAK_AML_WITH_NPM1_MUTATED_UP	16.4855860543607	KOBAYASHI_EGFR_SIGNALING_24HR_DN	82.4617767139246	LEE_BMP2_TARGETS_UP	5.51260458307846	WALLACE_PROSTATE_CANCER_RACE_UP	19.5423605706308
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	20.1457775022823	SWEET_LUNG_CANCER_KRAS_DN	38.9491053142459	MCLACHLAN_DENTAL_CARIES_UP	9.19169567309259	MARZEC_IL2_SIGNALING_UP	3.77147254525446	PHONG_TNF_RESPONSE_NOT_VIA_P38	6.18769915055983	WONG_ADULT_TISSUE_STEM_MODULE	7.5049771333863	VECCHI_GASTRIC_CANCER_EARLY_DN	9.49445990450704	SMID_BREAST_CANCER_NORMAL_LIKE_UP	9.76414900313712	REACTOME_INNATE_IMMUNE_SYSTEM	14.3630122882656	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	80.4480119367061	GAVIN_FOXP3_TARGETS_CLUSTER_P3	5.48925279862544	SMID_BREAST_CANCER_LUMINAL_B_DN	18.8092835028478
MCLACHLAN_DENTAL_CARIES_UP	20.0951413592817	LIM_MAMMARY_STEM_CELL_UP	38.0902308469305	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	8.99133438496439	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	3.46065625560288	ONDER_CDH1_TARGETS_2_UP	5.77570337469903	LINDGREN_BLADDER_CANCER_CLUSTER_2B	7.47098505552461	ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	9.21550131065962	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	9.63627660055298	HSIAO_HOUSEKEEPING_GENES	14.2188362881125	MARSON_BOUND_BY_E2F4_UNSTIMULATED	77.306636018859	RUAN_RESPONSE_TO_TNF_DN	5.27252679588345	KUMAR_TARGETS_OF_MLL_AF9_FUSION	18.1588874207383
MARKEY_RB1_ACUTE_LOF_DN	20.0360813095996	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	37.3608213038328	KEGG_HEMATOPOIETIC_CELL_LINEAGE	8.87651806326522	SMID_BREAST_CANCER_LUMINAL_A_UP	3.44926374723669	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	5.76584646538548	MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	7.30408136657352	NABA_MATRISOME	9.16961786729126	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	9.26838323870598	CHEN_METABOLIC_SYNDROM_NETWORK	13.9376491816283	HORIUCHI_WTAP_TARGETS_DN	68.1037919801196	CHEBOTAEV_GR_TARGETS_DN	5.21600548370616	PID_CD8_TCR_DOWNSTREAM_PATHWAY	17.674558205763
LI_INDUCED_T_TO_NATURAL_KILLER_UP	19.5730917810566	BERENJENO_TRANSFORMED_BY_RHOA_DN	37.0336444663906	BROWN_MYELOID_CELL_DEVELOPMENT_UP	8.57240412963734	BOSCO_ALLERGEN_INDUCED_TH2_ASSOCIATED_MODULE	3.18025569583656	MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_UP	5.66716059394729	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	7.18614062378074	LU_AGING_BRAIN_UP	8.88317999381219	LIM_MAMMARY_STEM_CELL_UP	8.92514084684125	GOLDRATH_ANTIGEN_RESPONSE	13.926673417284	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	66.4264323078777	PASINI_SUZ12_TARGETS_DN	5.10876748270308	WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY	17.368262236744
