0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	4.97207636025813	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	15.1633219503156	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	3.47378479132449	KANNAN_TP53_TARGETS_DN	2.19930930645889	CUI_TCF21_TARGETS_2_DN	3.3604395736297	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	3.72928869575968	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	7.54878733079992	BOQUEST_STEM_CELL_DN	20.9469194978195	HSIAO_HOUSEKEEPING_GENES	9.78775610797357	FISCHER_DREAM_TARGETS	70.5001582320226	HOLLERN_EMT_BREAST_TUMOR_DN	4.49334644716707	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	10.8596039901852
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	4.86614214474242	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	12.7654131393516	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	3.2602585717925	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	2.13821961295612	PEREZ_TP53_TARGETS	3.1390339346195	BOQUEST_STEM_CELL_UP	2.92651807784337	ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	5.84916695533164	CUI_TCF21_TARGETS_2_DN	7.51630670378766	REACTOME_INNATE_IMMUNE_SYSTEM	8.97549067111519	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	62.5248966543533	LIM_MAMMARY_STEM_CELL_DN	4.38911783610468	LEE_DIFFERENTIATING_T_LYMPHOCYTE	10.0693350096295
KRIGE_RESPONSE_TO_TOSEDOSTAT_24HR_UP	4.83964671870099	BERENJENO_TRANSFORMED_BY_RHOA_DN	11.3878384475203	GHANDHI_DIRECT_IRRADIATION_UP	2.99556986393894	WP_ENERGY_METABOLISM	2.07058386472012	BOQUEST_STEM_CELL_DN	3.12688897404268	KONDO_EZH2_TARGETS	2.54289901204269	VECCHI_GASTRIC_CANCER_EARLY_DN	4.08607618677921	BAELDE_DIABETIC_NEPHROPATHY_UP	6.81261546394872	NADLER_OBESITY_UP	8.08495742148685	MARSON_BOUND_BY_E2F4_UNSTIMULATED	55.5996578129102	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	3.50228062688103	BOYLAN_MULTIPLE_MYELOMA_C_D_DN	9.9942500068566
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	4.83153106270497	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	10.822070579809	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	2.74814433799079	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	1.88817725852965	IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	2.70810923996093	LIU_PROSTATE_CANCER_DN	2.54028989160124	LEIN_OLIGODENDROCYTE_MARKERS	3.92170387917481	SWEET_LUNG_CANCER_KRAS_DN	6.75649146393858	SWEET_LUNG_CANCER_KRAS_UP	7.62689774059595	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	48.3871547953222	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	2.98539521571942	PID_CD8_TCR_DOWNSTREAM_PATHWAY	9.76637323202263
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	4.61749741398582	LIU_PROSTATE_CANCER_DN	10.5212077628374	KLEIN_TARGETS_OF_BCR_ABL1_FUSION	2.57983316149099	FISCHER_G1_S_CELL_CYCLE	1.83665460911521	ZWANG_EGF_INTERVAL_DN	2.58247310785425	BENPORATH_ES_WITH_H3K27ME3	2.4513327509386	COLIN_PILOCYTIC_ASTROCYTOMA_VS_GLIOBLASTOMA_UP	3.69401537090265	VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	3.98780742502375	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	7.52591997698442	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	47.1411882280554	RAY_TUMORIGENESIS_BY_ERBB2_CDC25A_DN	2.97948329160225	SMID_BREAST_CANCER_NORMAL_LIKE_UP	9.11222823049014
MARKEY_RB1_ACUTE_LOF_DN	4.61544445071577	CHICAS_RB1_TARGETS_CONFLUENT	10.2823658135499	WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	2.52325866045635	REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	1.82749573484611	BENPORATH_EED_TARGETS	2.21450020197601	SEKI_INFLAMMATORY_RESPONSE_LPS_DN	2.31601975205806	SABATES_COLORECTAL_ADENOMA_DN	3.08988866276746	WIERENGA_STAT5A_TARGETS_DN	3.95636519007209	WINTER_HYPOXIA_METAGENE	7.33453085438816	KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_UP	45.7316324783428	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	2.6223572511694	WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY	8.60727749447191
KRIGE_RESPONSE_TO_TOSEDOSTAT_6HR_UP	4.60006370802205	NABA_CORE_MATRISOME	10.0689057438564	BROWN_MYELOID_CELL_DEVELOPMENT_UP	2.27155999085539	REACTOME_NEURONAL_SYSTEM	1.73627866742316	MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_UP	2.10814506846805	RICKMAN_HEAD_AND_NECK_CANCER_F	2.19838013206445	BENPORATH_EED_TARGETS	2.99964816619646	SANA_TNF_SIGNALING_DN	3.71310931172812	REACTOME_NEUTROPHIL_DEGRANULATION	6.92490373073892	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	41.9002892293924	ONDER_CDH1_TARGETS_2_DN	2.21554480323716	VILIMAS_NOTCH1_TARGETS_UP	8.03260016347235
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	4.50015351977219	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	9.20181280085315	SMIRNOV_RESPONSE_TO_IR_2HR_UP	2.26652614045623	NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON	1.60954980829277	MAINA_HYPOXIA_VHL_TARGETS_UP	1.91176384733434	NABA_MATRISOME	2.06665225939428	DELYS_THYROID_CANCER_DN	2.9533460251535	MCDOWELL_ACUTE_LUNG_INJURY_DN	3.62698376064068	WANG_TUMOR_INVASIVENESS_UP	6.69802639972958	KOBAYASHI_EGFR_SIGNALING_24HR_DN	40.4978847141219	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	2.15556642865408	PID_CD8_TCR_PATHWAY	7.89035129755711
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_DN	4.4241415178888	BOQUEST_STEM_CELL_UP	8.56275418996058	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	2.18165692069013	BIOCARTA_PPARG_PATHWAY	1.60954980829277	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_DN	1.85686276587892	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	2.04610482163494	HUPER_BREAST_BASAL_VS_LUMINAL_UP	2.72335151499466	MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN	3.41908135082221	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	6.60300073968861	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	40.3049201907862	COLDREN_GEFITINIB_RESISTANCE_DN	2.12982093181096	JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	7.64725835083246
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	4.2356833388581	IGLESIAS_E2F_TARGETS_UP	7.88184421490128	KEGG_HEMATOPOIETIC_CELL_LINEAGE	2.07859414779965	BIOCARTA_LEPTIN_PATHWAY	1.60954980829277	RICKMAN_METASTASIS_UP	1.79673850023251	MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	1.98917194978835	SMID_BREAST_CANCER_RELAPSE_IN_BONE_DN	2.66747696133643	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	3.41243037914836	ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST	6.06410348495213	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	39.8820674412821	RUAN_RESPONSE_TO_TNF_DN	2.12982093181096	HAHTOLA_SEZARY_SYNDROM_DN	7.11480629245863
