0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value
GOBP_RESPONSE_TO_BIOTIC_STIMULUS	4.01036155405086	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	8.56207718519953	GOBP_CELL_ACTIVATION	3.58814695034891	GOBP_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	2.65554629940038	GOBP_SPROUTING_ANGIOGENESIS	3.57277924895555	GOBP_HEART_PROCESS	3.24510884401521	GOBP_NEUROGENESIS	5.22914529900611	GOBP_BLOOD_VESSEL_MORPHOGENESIS	8.9043115398697	GOBP_EXOCYTOSIS	8.09691959622431	GOBP_CELL_CYCLE	42.4154445093281	GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS	2.86407030813083	GOBP_LYMPHOCYTE_ACTIVATION	12.482876167131
GOBP_DEFENSE_RESPONSE	3.68585420708839	GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	7.16192398323615	GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	3.38926622587214	GOBP_REGULATION_OF_PROTEIN_ACETYLATION	2.51666509736798	GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	2.55455915573816	GOBP_MUSCLE_CONTRACTION	3.1965613760316	GOBP_ENSHEATHMENT_OF_NEURONS	5.1071466093536	GOBP_VASCULATURE_DEVELOPMENT	8.7567795201321	GOBP_LEUKOCYTE_MEDIATED_IMMUNITY	6.87860533741057	GOBP_CELL_CYCLE_PROCESS	38.1215614914789	GOBP_G1_TO_G0_TRANSITION	2.37246418693346	GOBP_T_CELL_ACTIVATION	11.014668843971
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	3.4376207808194	GOBP_COLLAGEN_FIBRIL_ORGANIZATION	7.03323504611535	GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	3.38301001894807	GOBP_PEPTIDYL_LYSINE_ACETYLATION	2.27165052867614	GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	2.34001031835855	GOBP_MUSCLE_SYSTEM_PROCESS	3.16030373709621	GOBP_GLIAL_CELL_DIFFERENTIATION	4.28001260404353	GOBP_ENDOTHELIUM_DEVELOPMENT	8.50749818507554	GOBP_MYELOID_LEUKOCYTE_ACTIVATION	6.62993621955742	GOBP_MITOTIC_CELL_CYCLE	37.4871939846606	GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	2.33551301148887	GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	10.8162604193261
GOBP_INNATE_IMMUNE_RESPONSE	3.33221018289117	GOBP_WOUND_HEALING	4.62812926712684	GOBP_MYELOID_LEUKOCYTE_ACTIVATION	3.33136469772465	GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	2.19930930645889	GOBP_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT	2.31629796908957	GOBP_REGULATION_OF_HEART_CONTRACTION	2.78095841674837	GOBP_GLIOGENESIS	4.06734807200458	GOBP_TUBE_MORPHOGENESIS	7.67337837632971	GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	6.48445914643065	GOBP_CELL_DIVISION	33.4952870942812	GOBP_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	2.18519924923173	GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	10.4997926218295
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	2.83906251744097	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	4.41848276167477	GOBP_ALCOHOL_METABOLIC_PROCESS	2.74850004103551	GOBP_POSITIVE_REGULATION_OF_PROTEIN_ACETYLATION	2.06256541770585	GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	2.19094684044168	GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	2.64576821598777	GOBP_NEURON_DEVELOPMENT	3.95859695963934	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	7.53984579100245	GOBP_RESPONSE_TO_BIOTIC_STIMULUS	6.40921375159815	GOBP_CHROMOSOME_ORGANIZATION	30.5092926251059	GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	1.93059196755114	GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	9.59005794062432
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	2.76477085823906	GOBP_RESPONSE_TO_WOUNDING	3.84535145538389	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	2.63248446805854	GOBP_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	2.06151792085273	GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	2.16441542076389	GOBP_VENTRICULAR_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	2.38450423081644	GOBP_AXON_DEVELOPMENT	3.61371485758935	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	7.53984579100245	GOBP_INNATE_IMMUNE_RESPONSE	5.85160568809142	GOBP_CHROMOSOME_SEGREGATION	26.1397100314783	GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	1.89939902190484	GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	9.55301693234298
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	2.69181958688633	GOBP_SKELETAL_SYSTEM_DEVELOPMENT	3.83086579901395	GOBP_IMMUNE_EFFECTOR_PROCESS	2.56823168762196	GOBP_PROTEIN_ACETYLATION	1.96707647691326	GOBP_TISSUE_MIGRATION	2.02241738905381	GOBP_REGULATION_OF_BLOOD_CIRCULATION	2.22828180823728	GOBP_NEURON_DIFFERENTIATION	3.32759019465589	GOBP_VASCULOGENESIS	6.69585151471291	GOBP_SECRETION	5.71232196991219	GOBP_ORGANELLE_FISSION	23.655230152803	GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1.88779064740616	GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	9.46170717062011
GOBP_RESPONSE_TO_VIRUS	2.52740606442399	GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	3.6615607835164	GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS	2.5665145144225	GOBP_PROTEIN_ACYLATION	1.96707647691326	GOBP_NEGATIVE_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	1.96916674861626	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	2.17686605183879	GOBP_GLIAL_CELL_DEVELOPMENT	2.89692291029805	GOBP_TUBE_DEVELOPMENT	6.20090676429229	GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	5.63258961161929	GOBP_MITOTIC_NUCLEAR_DIVISION	22.3244318414831	GOBP_NEGATIVE_CHEMOTAXIS	1.81813860137229	GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	9.38487080738411
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	2.43079388781715	GOBP_LOCOMOTION	3.28002549351542	GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS	2.55901946681602	GOBP_CELLULAR_GLUCAN_METABOLIC_PROCESS	1.93934227096949	GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	1.96916674861626	GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	2.16163606359025	GOBP_MUSCLE_SYSTEM_PROCESS	2.86583063294965	GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER	5.92692841389371	GOBP_RESPONSE_TO_CYTOKINE	5.41349792044597	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	22.239829647646	GOBP_MAMMARY_GLAND_BRANCHING_INVOLVED_IN_PREGNANCY	1.81429548307273	GOBP_REGULATION_OF_IMMUNE_RESPONSE	9.01115244124558
GOBP_RIBOSOME_BIOGENESIS	2.33826747675795	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	3.22992749821987	GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	2.48486113309212	GOBP_DICARBOXYLIC_ACID_TRANSPORT	1.93934227096949	GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	1.9331292925657	GOBP_REGULATION_OF_SYSTEM_PROCESS	2.15496323680237	GOBP_OLIGODENDROCYTE_DEVELOPMENT	2.85788766150595	GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	5.87570242953312	GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	5.34943448736085	GOBP_SISTER_CHROMATID_SEGREGATION	21.8436345931428	GOBP_DUCTUS_ARTERIOSUS_CLOSURE	1.81429548307273	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	8.58213917533511
