0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.29723312614621	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11.0499443846736	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.69705184825132	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.01518048133322	HALLMARK_UV_RESPONSE_DN	0.855189593997844	HALLMARK_APICAL_JUNCTION	0.935521433579244	HALLMARK_MYOGENESIS	1.60015111634845	HALLMARK_APICAL_JUNCTION	2.04483905235919	HALLMARK_HYPOXIA	6.41742312541068	HALLMARK_E2F_TARGETS	30.0767803510246	HALLMARK_ESTROGEN_RESPONSE_LATE	1.48816401007102	HALLMARK_ALLOGRAFT_REJECTION	9.67544777817367
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.59633967738422	HALLMARK_COAGULATION	3.46664263513742	HALLMARK_P53_PATHWAY	1.18945183190055	HALLMARK_NOTCH_SIGNALING	0.927329017926096	HALLMARK_SPERMATOGENESIS	0.586081753380805	HALLMARK_HEME_METABOLISM	0.83511435741429	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.06655794279744	HALLMARK_ADIPOGENESIS	1.54597125878336	HALLMARK_MTORC1_SIGNALING	3.78554736727238	HALLMARK_G2M_CHECKPOINT	27.9345511714586	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.75167956610478	HALLMARK_IL2_STAT5_SIGNALING	2.1420873551749
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.881064401908	HALLMARK_MYOGENESIS	2.22358420493759	HALLMARK_ALLOGRAFT_REJECTION	1.14979294469113	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.720263733353167	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.539234610041538	HALLMARK_UV_RESPONSE_DN	0.666151910816047	HALLMARK_BILE_ACID_METABOLISM	0.797697523509169	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.43598162561838	HALLMARK_GLYCOLYSIS	3.66729636523171	HALLMARK_MITOTIC_SPINDLE	12.4971355663137	HALLMARK_PANCREAS_BETA_CELLS	0.711216750861298	HALLMARK_APICAL_SURFACE	1.96907035026104
HALLMARK_INFLAMMATORY_RESPONSE	2.36077278813412	HALLMARK_APOPTOSIS	1.93775190316734	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.14266181976767	HALLMARK_ESTROGEN_RESPONSE_LATE	0.708546318964637	HALLMARK_KRAS_SIGNALING_UP	0.502232562494594	HALLMARK_GLYCOLYSIS	0.634029415797084	HALLMARK_KRAS_SIGNALING_DN	0.639458913180082	HALLMARK_KRAS_SIGNALING_UP	1.07789591738458	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.94539208876441	HALLMARK_MYC_TARGETS_V1	4.46607040835556	HALLMARK_APICAL_SURFACE	0.690061181430634	HALLMARK_APOPTOSIS	1.25803991879832
HALLMARK_IL2_STAT5_SIGNALING	2.2405301090051	HALLMARK_UV_RESPONSE_DN	1.56437133304966	HALLMARK_INTERFERON_ALPHA_RESPONSE	1.0038418441267	HALLMARK_IL2_STAT5_SIGNALING	0.388065717869015	HALLMARK_INFLAMMATORY_RESPONSE	0.431981867891004	HALLMARK_MYOGENESIS	0.607307652607354	HALLMARK_APICAL_SURFACE	0.597912081728713	HALLMARK_TGF_BETA_SIGNALING	0.952268160550327	HALLMARK_P53_PATHWAY	2.11146793804639	HALLMARK_SPERMATOGENESIS	4.36909346932734	HALLMARK_HEME_METABOLISM	0.628811650111978	HALLMARK_ESTROGEN_RESPONSE_LATE	1.20265075097795
HALLMARK_UV_RESPONSE_UP	1.96390814405481	HALLMARK_MITOTIC_SPINDLE	1.5099149686871	HALLMARK_INFLAMMATORY_RESPONSE	0.817167562818626	HALLMARK_XENOBIOTIC_METABOLISM	0.36054878325522	HALLMARK_TGF_BETA_SIGNALING	0.390044112148482	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.577612539624138	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.593102759242622	HALLMARK_MYOGENESIS	0.533868314809719	HALLMARK_IL6_JAK_STAT3_SIGNALING	1.95417216636706	HALLMARK_MYC_TARGETS_V2	2.30429654027185	HALLMARK_XENOBIOTIC_METABOLISM	0.573634370217805	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.923533141892568
HALLMARK_ADIPOGENESIS	1.56533274010526	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.2567928957667	HALLMARK_HEME_METABOLISM	0.761595605211149	HALLMARK_FATTY_ACID_METABOLISM	0.339473058747099	HALLMARK_XENOBIOTIC_METABOLISM	0.375866900932059	HALLMARK_HYPOXIA	0.557815038747623	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.583481915664519	HALLMARK_ESTROGEN_RESPONSE_LATE	0.50289259150635	HALLMARK_COMPLEMENT	1.94558831265129	HALLMARK_DNA_REPAIR	1.89043477199701	HALLMARK_FATTY_ACID_METABOLISM	0.511674254906983	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.642510324479361
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.33701068877869	HALLMARK_ANDROGEN_RESPONSE	1.13198369156603	HALLMARK_UV_RESPONSE_UP	0.737511390075157	HALLMARK_E2F_TARGETS	0.338106844341531	HALLMARK_APICAL_JUNCTION	0.345700525254958	HALLMARK_BILE_ACID_METABOLISM	0.394591824164066	HALLMARK_ANDROGEN_RESPONSE	0.565418578308706	HALLMARK_COAGULATION	0.478841491204695	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.53191080676362	HALLMARK_MTORC1_SIGNALING	0.67815593031003	HALLMARK_BILE_ACID_METABOLISM	0.490271273571187	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.508125360036027
HALLMARK_KRAS_SIGNALING_UP	1.27800492522552	HALLMARK_ANGIOGENESIS	1.09626921527177	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.720910675060325	HALLMARK_MYOGENESIS	0.325570314050807	HALLMARK_HEDGEHOG_SIGNALING	0.305595257583247	HALLMARK_HEDGEHOG_SIGNALING	0.322887800645296	HALLMARK_ANGIOGENESIS	0.46314170232045	HALLMARK_NOTCH_SIGNALING	0.445286831148168	HALLMARK_COAGULATION	1.50828926514956	HALLMARK_PEROXISOME	0.189439729768023	HALLMARK_HEDGEHOG_SIGNALING	0.378794815200354	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.488014722530154
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.27136586708388	HALLMARK_TGF_BETA_SIGNALING	1.02466145623431	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.615672269621743	HALLMARK_MYC_TARGETS_V2	0.271298451025224	HALLMARK_P53_PATHWAY	0.236998993031297	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.29386354802348	HALLMARK_UV_RESPONSE_DN	0.461025524023459	HALLMARK_PROTEIN_SECRETION	0.370334063237291	HALLMARK_APOPTOSIS	1.49538698832759	HALLMARK_ESTROGEN_RESPONSE_LATE	0.154313256423671	HALLMARK_UV_RESPONSE_DN	0.371427468717476	HALLMARK_HEDGEHOG_SIGNALING	0.393584227973921
