0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value
HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.29723312614621	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11.0499443846736	HALLMARK_INTERFERON_GAMMA_RESPONSE	1.69705184825132							HALLMARK_MYOGENESIS	1.60015111634845	HALLMARK_APICAL_JUNCTION	2.04483905235919	HALLMARK_HYPOXIA	6.41742312541068	HALLMARK_E2F_TARGETS	30.0767803510246	HALLMARK_ESTROGEN_RESPONSE_LATE	1.48816401007102	HALLMARK_ALLOGRAFT_REJECTION	9.67544777817367
HALLMARK_INTERFERON_ALPHA_RESPONSE	3.59633967738422	HALLMARK_COAGULATION	3.46664263513742											HALLMARK_ADIPOGENESIS	1.54597125878336	HALLMARK_MTORC1_SIGNALING	3.78554736727238	HALLMARK_G2M_CHECKPOINT	27.9345511714586			HALLMARK_IL2_STAT5_SIGNALING	2.1420873551749
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.881064401908	HALLMARK_MYOGENESIS	2.22358420493759											HALLMARK_ESTROGEN_RESPONSE_EARLY	1.43598162561838	HALLMARK_GLYCOLYSIS	3.66729636523171	HALLMARK_MITOTIC_SPINDLE	12.4971355663137			HALLMARK_APICAL_SURFACE	1.96907035026104
HALLMARK_INFLAMMATORY_RESPONSE	2.36077278813412	HALLMARK_APOPTOSIS	1.93775190316734													HALLMARK_INTERFERON_GAMMA_RESPONSE	2.94539208876441	HALLMARK_MYC_TARGETS_V1	4.46607040835556				
HALLMARK_IL2_STAT5_SIGNALING	2.2405301090051	HALLMARK_UV_RESPONSE_DN	1.56437133304966													HALLMARK_P53_PATHWAY	2.11146793804639	HALLMARK_SPERMATOGENESIS	4.36909346932734				
HALLMARK_UV_RESPONSE_UP	1.96390814405481	HALLMARK_MITOTIC_SPINDLE	1.5099149686871													HALLMARK_IL6_JAK_STAT3_SIGNALING	1.95417216636706	HALLMARK_MYC_TARGETS_V2	2.30429654027185				
HALLMARK_ADIPOGENESIS	1.56533274010526															HALLMARK_COMPLEMENT	1.94558831265129	HALLMARK_DNA_REPAIR	1.89043477199701				
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.33701068877869															HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.53191080676362						
																HALLMARK_COAGULATION	1.50828926514956						
																HALLMARK_APOPTOSIS	1.49538698832759						
