id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cd3g	1.6313292090243e-107	3.05000502791714	1	0.517	3.2626584180486e-104
Nkg7	1.59285567182917e-104	3.78852033804379	1	0.589	3.18571134365833e-101
Cd3e	5.2707640085689e-103	2.35707119509995	0.988	0.483	1.05415280171378e-99
Ms4a4b	5.1353993092936e-102	3.14739150824791	1	0.623	1.02707986185872e-98
Trbc2	6.00694210328699e-100	3.09585365317339	0.994	0.56	1.2013884206574e-96
Ctsw	1.72751915328815e-98	2.46869167265881	0.988	0.576	3.4550383065763e-95
Ccl5	2.19154532667947e-98	4.59534841409045	0.994	0.645	4.38309065335894e-95
Ptprcap	5.56540776679627e-98	2.30312736789402	0.994	0.574	1.11308155335925e-94
Klrd1	7.04447332050598e-98	2.82349539336405	0.994	0.641	1.4088946641012e-94
Cd3d	9.781217896621e-98	2.75403888572028	0.976	0.522	1.9562435793242e-94
AW112010	1.351995016354e-95	3.05361086207659	1	0.858	2.703990032708e-92
Cd2	1.00905117750776e-91	1.53890339784578	0.982	0.599	2.01810235501551e-88
Trac	2.43317090071812e-91	2.41175159925353	0.965	0.544	4.86634180143624e-88
Lck	3.20763299519571e-90	1.89057654879095	0.953	0.47	6.41526599039141e-87
Gimap1	1.80934559978578e-89	1.8678825359874	0.982	0.607	3.61869119957156e-86
Hcst	3.19801616254382e-89	2.26732234064813	1	0.781	6.39603232508764e-86
Cd8a	3.21196104336687e-89	2.05088152431616	0.947	0.425	6.42392208673375e-86
Il2rb	1.66219292333603e-88	2.26031412336602	0.976	0.585	3.32438584667206e-85
Sh2d2a	1.74098910191081e-88	1.76255187535627	0.971	0.565	3.48197820382162e-85
Gimap4	2.0800227766489e-87	1.98184368191514	0.971	0.529	4.16004555329781e-84
Sept1	5.68757067222225e-87	1.86847393686684	0.982	0.608	1.13751413444445e-83
Klrk1	1.22197968678499e-86	1.77166910137471	0.982	0.666	2.44395937356998e-83
Gzmb	8.37167865127209e-86	3.61819472435258	0.959	0.524	1.67433573025442e-82
Gimap3	3.58992200895873e-84	1.69799314526622	0.959	0.498	7.17984401791745e-81
Gimap7	5.30235519027457e-81	1.83855950313044	0.947	0.584	1.06047103805491e-77
Thy1	7.27550495927314e-81	1.78848544151113	0.988	0.534	1.45510099185463e-77
Skap1	8.38377658227312e-81	1.57093967715232	0.953	0.581	1.67675531645462e-77
Gzma	4.32476925628656e-80	4.9566966933708	0.941	0.531	8.64953851257312e-77
Ctla2a	1.590242542651e-78	1.61401228982954	0.982	0.641	3.18048508530201e-75
Gimap5	1.77976594705654e-78	1.58015712941098	0.953	0.584	3.55953189411307e-75
Gimap6	2.75815027318503e-78	1.69612397850577	0.953	0.467	5.51630054637007e-75
Gm19585	5.43692667109679e-78	1.24490011584393	0.947	0.578	1.08738533421936e-74
Lat	7.10234339549911e-77	1.373770387608	0.953	0.569	1.42046867909982e-73
