0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value	13	13_value	14	14_value	15	15_value	16	16_value
CHEN_METABOLIC_SYNDROM_NETWORK	22.7784751081879	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	9.20501424002101	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	14.1167708799668	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	38.9830596557532	BOQUEST_STEM_CELL_DN	12.391329495489	BOQUEST_STEM_CELL_UP	14.6928665033097	KANNAN_TP53_TARGETS_DN	4.74422693955711	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	17.243653416358	BOQUEST_STEM_CELL_DN	46.5825028379348	WINTER_HYPOXIA_METAGENE	19.5174743910649	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	115.090023974638	ONDER_CDH1_TARGETS_2_DN	8.32829810401917	PASINI_SUZ12_TARGETS_DN	12.9724287333935	SMID_BREAST_CANCER_NORMAL_LIKE_UP	27.6802631741222	ZHENG_BOUND_BY_FOXP3	11.0290789076888	NABA_CORE_MATRISOME	19.6059046316298	XIE_ST_HSC_S1PR3_OE_UP	15.3889077711173
MCLACHLAN_DENTAL_CARIES_UP	21.3373051362697	CHEN_METABOLIC_SYNDROM_NETWORK	9.14483966471207	FOSTER_TOLERANT_MACROPHAGE_DN	13.7856964107995	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	36.6060411242376	CUI_TCF21_TARGETS_2_DN	11.3278328699705	LIU_PROSTATE_CANCER_DN	11.6099556645509	MARZEC_IL2_SIGNALING_UP	3.99537291961066	LIM_MAMMARY_STEM_CELL_UP	12.5072797131075	SWEET_LUNG_CANCER_KRAS_DN	26.9955276356011	SWEET_LUNG_CANCER_KRAS_UP	17.8409659665691	FISCHER_DREAM_TARGETS	99.6145049640578	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	7.69798815894496	WONG_ADULT_TISSUE_STEM_MODULE	11.0572077411962	BOYLAN_MULTIPLE_MYELOMA_C_D_DN	20.5399855643569	WP_TCELL_ANTIGEN_RECEPTOR_TCR_SIGNALING_PATHWAY	10.0596431229353	NABA_MATRISOME	17.473146192537	BROWNE_INTERFERON_RESPONSIVE_GENES	13.4718459121136
VERHAAK_AML_WITH_NPM1_MUTATED_UP	16.0787066145104	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP	9.10991476663246	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	13.5483776464383	IGLESIAS_E2F_TARGETS_UP	29.3313738316958	LIM_MAMMARY_STEM_CELL_UP	9.78395754965492	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	11.415949792746	LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	3.853160367352	SMID_BREAST_CANCER_LUMINAL_B_DN	10.8522061037442	CUI_TCF21_TARGETS_2_DN	22.0311468407533	NADLER_OBESITY_UP	17.6421971645268	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	89.253344554481	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	7.08902701549656	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	10.2581481436251	DEURIG_T_CELL_PROLYMPHOCYTIC_LEUKEMIA_DN	19.4085068891546	LI_INDUCED_T_TO_NATURAL_KILLER_UP	8.37805330879377	BOQUEST_STEM_CELL_UP	16.771143011102	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	12.6839216787268
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	15.7056633995459	LENAOUR_DENDRITIC_CELL_MATURATION_UP	8.52623964921198	PLASARI_TGFB1_TARGETS_10HR_UP	12.4569198687252	SWEET_LUNG_CANCER_KRAS_DN	28.8047111029246	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	7.72356339541444	NABA_MATRISOME	11.2352068236285	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	3.67848711324102	WONG_ADULT_TISSUE_STEM_MODULE	10.8134395754831	BAELDE_DIABETIC_NEPHROPATHY_UP	15.2517652477697	DELYS_THYROID_CANCER_UP	17.5165588492735	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	87.1915854344396	HOLLERN_EMT_BREAST_TUMOR_DN	6.43320490863199	LIU_PROSTATE_CANCER_DN	10.0311308275356	HAHTOLA_SEZARY_SYNDROM_DN	17.6294760515872	VILIMAS_NOTCH1_TARGETS_UP	8.34138405595287	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	16.4244893787126	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	11.8028233811824
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	12.6200756203839	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	7.81155799774561	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	11.9075964922331	CHICAS_RB1_TARGETS_CONFLUENT	28.795443237701	HAN_SATB1_TARGETS_DN	7.0237250562208	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	10.0379593105899	FISCHER_G1_S_CELL_CYCLE	3.53864533213221	DELYS_THYROID_CANCER_DN	10.561226502528	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	12.7809022100038	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	16.8745136290368	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	84.6900265002175	LIM_MAMMARY_STEM_CELL_DN	5.63239235079314	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	9.43909735284431	JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	17.2364112005424	PID_CD8_TCR_DOWNSTREAM_PATHWAY	7.75615804010866	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	16.3847065142104	REACTOME_INTERFERON_SIGNALING	11.4903216850511
BROWN_MYELOID_CELL_DEVELOPMENT_UP	12.5603716342022	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	7.33541467798153	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	11.715028214806	WONG_ADULT_TISSUE_STEM_MODULE	27.0026670487682	PHONG_TNF_RESPONSE_NOT_VIA_P38	6.89132021751842	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	9.45274018168898	RICKMAN_HEAD_AND_NECK_CANCER_F	3.30057160531208	SMID_BREAST_CANCER_BASAL_UP	9.87168490298811	VART_KSHV_INFECTION_ANGIOGENIC_MARKERS_UP	11.8684775304846	VERHAAK_AML_WITH_NPM1_MUTATED_UP	16.4855860543607	KOBAYASHI_EGFR_SIGNALING_24HR_DN	84.034520860002	LEE_BMP2_TARGETS_UP	5.51260458307846	LIM_MAMMARY_STEM_CELL_UP	9.24541431877599	WALLACE_PROSTATE_CANCER_RACE_UP	16.9741896089977	SMID_BREAST_CANCER_NORMAL_LIKE_UP	7.71282718894465	NABA_ECM_GLYCOPROTEINS	15.2566715736755	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	11.4719050535006
MARKEY_RB1_ACUTE_LOF_DN	12.3266795493595	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP	7.06298033250262	ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	11.3264417660141	BERENJENO_TRANSFORMED_BY_RHOA_DN	24.943876227702	SWEET_LUNG_CANCER_KRAS_DN	6.57132758046008	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	8.05377658755766	DUTERTRE_ESTRADIOL_RESPONSE_6HR_UP	3.20875251204425	VECCHI_GASTRIC_CANCER_EARLY_DN	9.49445990450704	LIM_MAMMARY_STEM_CELL_UP	10.4056620539552	REACTOME_INNATE_IMMUNE_SYSTEM	14.3630122882656	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	81.7697552744992	GAVIN_FOXP3_TARGETS_CLUSTER_P3	5.48925279862544	DAVICIONI_MOLECULAR_ARMS_VS_ERMS_DN	9.07842700694252	SMID_BREAST_CANCER_LUMINAL_B_DN	16.0572508668945	BOYLAN_MULTIPLE_MYELOMA_C_D_DN	7.60039238901122	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	15.2022152764126	HECKER_IFNB1_TARGETS	10.4160727308132
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	12.1335803017814	BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	6.76126474167846	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	11.0996643979651	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	24.6820842566657	PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	6.34500091889174	LINDGREN_BLADDER_CANCER_CLUSTER_2B	7.21376941118531	REACTOME_VLDL_ASSEMBLY	3.11659198469196	ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	9.21550131065962	SMID_BREAST_CANCER_NORMAL_LIKE_UP	10.3464239711501	HSIAO_HOUSEKEEPING_GENES	14.2188362881125	MARSON_BOUND_BY_E2F4_UNSTIMULATED	78.568956744985	RUAN_RESPONSE_TO_TNF_DN	5.27252679588345	CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	8.85832517391649	VILIMAS_NOTCH1_TARGETS_UP	15.0243466117108	FINETTI_BREAST_CANCER_KINOME_GREEN	6.86499064401639	LINDGREN_BLADDER_CANCER_CLUSTER_2B	11.6089351439487	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	9.62187788154278
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	12.1233898162157	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	6.42906606888106	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	11.0421816911982	LIU_PROSTATE_CANCER_DN	24.30745740122	SMID_BREAST_CANCER_LUMINAL_B_DN	6.17232272983912	WONG_ADULT_TISSUE_STEM_MODULE	7.17833450968422	YU_BAP1_TARGETS	3.01101555418837	NABA_MATRISOME	9.16961786729126	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	10.3017818255978	CHEN_METABOLIC_SYNDROM_NETWORK	13.9376491816283	HORIUCHI_WTAP_TARGETS_DN	67.8141101581465	CHEBOTAEV_GR_TARGETS_DN	5.21600548370616	SENESE_HDAC1_TARGETS_DN	8.41232592297784	BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	14.5467929485489	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	6.51996160742125	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	11.5734542282364	ZHANG_INTERFERON_RESPONSE	9.59061705430193
LI_INDUCED_T_TO_NATURAL_KILLER_UP	11.722826155077	WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_DN	6.0947434597809	RUTELLA_RESPONSE_TO_HGF_UP	10.8559785600874	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	23.7694241228448	SMID_BREAST_CANCER_BASAL_UP	6.11673162292214	MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	7.09214334919436	CROSBY_E2F4_TARGETS	2.99339712427264	BOQUEST_STEM_CELL_UP	8.90359264313046	WONG_ADULT_TISSUE_STEM_MODULE	9.92870904955524	GOLDRATH_ANTIGEN_RESPONSE	13.926673417284	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	66.1081354450573	PASINI_SUZ12_TARGETS_DN	5.10876748270308	BERENJENO_TRANSFORMED_BY_RHOA_DN	8.39775099211938	QI_PLASMACYTOMA_UP	13.8576153380989	BIOCARTA_CTLA4_PATHWAY	6.38023813002975	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	11.0283333013528	GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	9.57830985185994
PHONG_TNF_RESPONSE_NOT_VIA_P38	11.0596269587298	WINZEN_DEGRADED_VIA_KHSRP	6.05847130880009	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	9.74640561666728	LIM_MAMMARY_STEM_CELL_UP	21.4544835953743	ONDER_CDH1_TARGETS_2_UP	5.68632485940504	MEBARKI_HCC_PROGENITOR_WNT_UP	6.88857309859339	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	2.91331351211622	LU_AGING_BRAIN_UP	8.88317999381219	SANA_TNF_SIGNALING_DN	9.88343546513642	REACTOME_NEUTROPHIL_DEGRANULATION	13.6748786804612	HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	66.0244481955096	KARLSSON_TGFB1_TARGETS_DN	4.9600170759301	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	8.07692025855065	KUMAR_TARGETS_OF_MLL_AF9_FUSION	13.746015361771	WP_TCELL_ANTIGEN_RECEPTOR_TCR_PATHWAY_DURING_STAPHYLOCOCCUS_AUREUS_INFECTION	6.2584311368426	CHICAS_RB1_TARGETS_CONFLUENT	10.7998664587475	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	9.22514805950256
