genes	geneCluster
Retnla	0
Cd163	0
G0s2	0
Ifitm1	0
Cd209a	0
Ccl4	0
Ptgs2	0
Igf1	0
Hist1h4d	0
Hmgb2	0
Rgs10	0
Hp	0
Cytip	0
Cbr2	0
Gja1	0
Hmox1	0
Ckb	0
Il1rn	0
Fcrls	0
AA467197	0
Cx3cr1	0
AW112010	0
Hist1h1e	0
Folr2	0
Vcan	0
Hilpda	0
Ms4a7	0
Eif1b	0
Clec10a	0
F13a1	0
F10	0
Stab1	0
Gadd45g	0
Naaa	0
Napsa	0
Lsp1	0
Tnfaip2	0
Irf8	0
Gm26917	0
Malt1	0
Plk2	0
Marc2	0
Atp2a2	0
Osm	0
Anxa4	0
Cfh	0
Rnase4	0
Scp2	0
Furin	0
Ccrl2	0
Rnase6	0
Cldnd1	0
Gngt2	0
Tubb4b	0
Slc16a3	0
Cd300lf	0
Hspa1a	0
Pdia4	0
Plbd1	0
Id2	0
Itgb2	0
Klf4	0
Ppa1	0
Samsn1	0
Fgr	0
Fosb	0
Cybb	0
Hspa1b	0
Nrp2	0
Plaur	0
Emilin2	0
Bcl2a1a	0
Marcksl1	0
Hist1h1c	0
Ccr2	0
Clic4	0
Msrb1	0
Mxd1	0
Fgl2	0
Cd300c2	0
Sirpb1c	0
Mef2c	0
Clec4n	0
Rgs2	0
Odc1	0
Pltp	0
C3ar1	0
Fbxl5	0
Ltb4r1	0
Creld2	0
Txnrd1	0
Gadd45b	0
Atf3	0
Pkib	0
Bcl2a1d	0
Cd38	0
Sdf2l1	0
Ciita	0
Icam1	0
Lpp	0
Jaml	0
Socs1	0
Smpdl3a	0
Cd83	0
Tuba1c	0
Ppt1	0
Pid1	0
Myof	0
Msr1	0
Syngr2	0
Prkcd	0
Mdh1	0
Plek	0
Zfhx3	0
Tspan13	0
Itgam	0
Olfm1	0
Klf2	0
Ccnd2	0
Hk2	0
Nfil3	0
Selenoh	0
Nfkbiz	0
Ccdc88a	0
H2-DMb1	0
Cd274	0
Trib1	0
Adam8	0
Cxcl16	0
H2afv	0
Hck	0
Pim3	0
Rnasel	0
Tent5a	0
Creg1	0
Itpkb	0
Nxpe5	0
Hfe	0
Cd44	0
Lmo4	0
Hmgn2	0
Batf3	0
Anxa3	0
Cyc1	0
Esd	0
Resf1	0
Bhlhe40	0
Dok2	0
Pla2g7	0
Rel	0
H1f0	0
Csf2rb	0
Lap3	0
Trem2	0
Sbno2	0
Cyp4f18	0
Gbp7	0
Adam15	0
Abca1	0
Shtn1	0
Rhob	0
Ddt	0
Ptafr	0
Ptgs1	0
Sdf4	0
Clcn5	0
Cemip2	0
Ifi207	0
C5ar1	0
Zfp622	0
Ncf1	0
Grina	0
Itsn1	0
Zfp703	0
Adgre1	0
Metrnl	0
Emb	0
Tcf7l2	0
Hspd1	0
Lipa	0
Fcgr4	0
Polr2l	0
Snx9	0
Filip1l	0
Blvrb	0
Chd7	0
Lair1	0
Ak2	0
Phyh	0
Clec4a2	0
Atp6v0a1	0
Mtch2	0
Tmem37	0
Lilrb4a	0
Nrp1	0
Gtpbp4	0
Nrip1	0
Rnf19b	0
Lrp6	0
Secisbp2l	0
Ap1b1	0
Fam162a	0
Runx1	0
Ddx3y	0
Fh1	0
Fyn	0
Cdk2ap2	0
Pde4b	0
Lpl	1
Lyve1	1
Mmp12	1
Calml4	1
Bmp2	1
Tnf	1
Gdf15	1
Itgae	1
Mmp13	1
Cd79b	1
Tbc1d4	1
Ccl25	1
Cd209d	1
Yae1d1	1
Ifit1	1
Ifit2	1
Il7r	1
Ltc4s	1
Bcl11a	1
Cox7a1	1
Ch25h	1
H2-DMb2	1
Ifit3	1
Ccn3	1
Chka	1
Sept3	1
Atr	1
Nr4a2	1
Asgr2	1
Bpnt1	1
Gm14636	1
Nr4a3	1
Pi16	1
Cd4	1
Hivep3	1
Maoa	1
Etv1	1
Clec9a	1
Gadd45a	1
Anpep	1
Cela1	1
Smim24	1
Car4	1
Gbp2b	1
Wdfy4	1
Timd4	1
Ahi1	1
Aldh1b1	1
P2ry14	1
Srxn1	1
Tnfsf9	1
Enpp2	1
Irf4	1
Gpr84	1
Akr1c13	1
Gk	1
Cmpk2	1
Spon1	1
Slc40a1	1
Gdf3	1
Stap1	1
Chp2	1
Tagap	1
Rrad	1
Calhm6	1
Uap1	1
Cdh1	1
Prtn3	1
Ints6l	1
H2-Oa	1
Vdr	1
Khk	1
Celf4	1
Myc	1
Npl	1
Clec4b1	1
Dnase1l3	1
Atp1a3	1
Slamf9	1
Ccdc152	1
Slfn9	1
Plau	1
3830403N18Rik	1
Oasl1	1
Zmynd15	1
Adrb2	1
Ramp3	1
Gm4951	1
Slc20a1	1
Asb2	1
Gpr34	1
AI504432	1
Tent5c	1
Chpt1	1
Cd40	1
Fam20c	1
Rasgef1b	1
Kmo	1
Hvcn1	1
Fpr1	1
F5	1
Mcm4	1
Trp53inp1	1
Spint1	1
Plxnc1	1
P2ry10b	1
H2-Ob	1
Bank1	1
Gdpd1	1
Prdm1	1
Lilra5	1
Hpgds	1
Herc6	1
Qpct	1
Gm15655	1
Arl5c	1
Lrmp	1
Gpr141	1
Rab11fip1	1
Phf11a	1
Cebpa	1
Xlr	1
Stard8	1
Rfc4	1
Hebp1	1
Tmem8	1
