geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8	geneCluster_9	geneCluster_10	geneCluster_11	geneCluster_12	geneCluster_13	geneCluster_14	geneCluster_15	geneCluster_16
Retnla	Lpl	Spp1	Saa3	Serpine1	Scg2	Lgals4	Scn7a	Fabp4	Ccl8	Hist1h1b	Lgals7	Mgst3	Gzma	Tnfrsf4	Rgs5	Cxcl10
Cd163	Lyve1	Ccl3	Sparc	Terf2ip	Grem1	Ear2	Sfrp1	Ctla2a	Ccl7	Top2a	Atp1b1	Mylk	Ccl5	Nrgn	Ccl11	Iigp1
G0s2	Mmp12	Slc7a2	Col3a1	Kit	Des	Il4i1	Kcna1	Aqp1	Ccl12	Pclaf	Dmkn	Fkbp11	Gzmb	Gata3	Ptn	Rsad2
Ifitm1	Calml4	Inhba	Slpi	Pcp4l1	Actg2	Areg	Plp1	Plvap	Cxcl2	Mki67	Igfbp3	Cpe	Nkg7	Trdc	Fibin	Ly6c2
Cd209a	Bmp2	Il1a	Igfbp7	Ppp1r14a	Cnn1	Tcrg-C1	Postn	Cxcl12	Rnase2a	Hist1h2ap	Gm20186	Meg3	Cd8a	Cd69	Pdgfra	Ifi205
Ccl4	Tnf	Ednrb	Col4a1	Papss2	Cxcl1	Klk1	Kcna2	Egfl7	Ccl2	Hist1h2ae	Cacnb3	Eln	Trbc1	Dapk2	Dpt	Isg15
Ptgs2	Gdf15	Rgs1	Timp1	Smco4	Myh11	Zfp202	Apod	Edn1	Fn1	Nusap1	Prr15	Serpina3n	Cd3g	Trgv2	Tagln	Gbp2
Igf1	Itgae	Slc7a11	Sparcl1	Nos2	Ccn1	Il1rl1	Sostdc1	Ptprb	Cst3	Prc1	Epcam	Gem	Car2	Tnfrsf9	Fbn1	Ifitm6
Hist1h4d	Mmp13	Mrpl27	Dcn	Synm	Gm13889	Pcp4	Gpr37l1	Gpihbp1	Pf4	Birc5	Fmo2	Sulf1	Ms4a4b	Egr3	Acta2	Gbp5
Hmgb2	Cd79b	Csf1	Mgp	Rgs16	Abcc9	Map3k12	Gpm6b	Gng11	Thbs1	Ube2c	Igfbp5	Steap4	Cd7	Ccr9	Myl9	Sell
Rgs10	Tbc1d4	Il6	Stmn1	Sfn	Tnfaip6	Siglech	Ncam1	Ebf1	Arg1	Cenpf	Serpinb6b	Chchd10	Trbc2	Il2ra	Tpm2	Gbp4
Hp	Ccl25	Tnip3	Hspb1	Cdkn1c	Chodl	Lmod1	Ccn2	Cdh5	Fabp5	Tpx2	Serpinb1a	Cystm1	Cd3d	Tnfrsf18	Col6a3	Ms4a4c
Cytip	Cd209d	Hbegf	Col1a1	Stmn2	Ces1d	Vtn	Itih5	Cav1	Mgl2	Rrm2	Hpgd	Creb3l1	Cd3e	Gm45716	Spon2	Oasl2
