0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value	13	13_value	14	14_value	15	15_value	16	16_value
HALLMARK_TNFA_SIGNALING_VIA_NFKB	21.3419539909449	HALLMARK_INTERFERON_GAMMA_RESPONSE	8.16371457929965	HALLMARK_TNFA_SIGNALING_VIA_NFKB	17.1082246088449	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	30.3847240927612	HALLMARK_UV_RESPONSE_DN	5.05114145010433	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	6.08333338116537	HALLMARK_IL2_STAT5_SIGNALING	3.65615250853067	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	8.39849057332038	HALLMARK_APICAL_JUNCTION	4.75520784237807	HALLMARK_HYPOXIA	17.2531524553135	HALLMARK_E2F_TARGETS	56.8047770592945	HALLMARK_ESTROGEN_RESPONSE_LATE	5.00709429642113	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7.64105147792715	HALLMARK_ALLOGRAFT_REJECTION	16.9197832589445	HALLMARK_ALLOGRAFT_REJECTION	6.3151036716876	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	15.3664759829753	HALLMARK_INTERFERON_ALPHA_RESPONSE	12.5100192602937
HALLMARK_IL2_STAT5_SIGNALING	14.7409927437993	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.25567359558699	HALLMARK_INFLAMMATORY_RESPONSE	10.3810813448897	HALLMARK_COAGULATION	15.4569449653003	HALLMARK_INFLAMMATORY_RESPONSE	3.3810793819982	HALLMARK_MYOGENESIS	3.51298122748219	HALLMARK_E2F_TARGETS	2.16235050365804	HALLMARK_MYOGENESIS	5.47025882585652	HALLMARK_KRAS_SIGNALING_UP	4.75520784237807	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.13980784390978	HALLMARK_G2M_CHECKPOINT	51.4108809217815	HALLMARK_KRAS_SIGNALING_UP	2.41680078954028	HALLMARK_UV_RESPONSE_DN	5.29960173568058	HALLMARK_IL2_STAT5_SIGNALING	4.76441539104758	HALLMARK_IL2_STAT5_SIGNALING	5.13516108877937	HALLMARK_APOPTOSIS	2.30055095503732	HALLMARK_INTERFERON_GAMMA_RESPONSE	10.0889152313398
HALLMARK_INFLAMMATORY_RESPONSE	8.71454857332631	HALLMARK_INTERFERON_ALPHA_RESPONSE	5.40744535006876	HALLMARK_HYPOXIA	6.32895058328838	HALLMARK_APOPTOSIS	9.6088557818346	HALLMARK_KRAS_SIGNALING_UP	3.36809498008747	HALLMARK_IL2_STAT5_SIGNALING	3.49967396628213	HALLMARK_ESTROGEN_RESPONSE_LATE	2.13494477942007	HALLMARK_ESTROGEN_RESPONSE_EARLY	2.85728153396466	HALLMARK_ADIPOGENESIS	3.90004219437409	HALLMARK_MTORC1_SIGNALING	8.99214820221977	HALLMARK_MITOTIC_SPINDLE	24.272764692338	HALLMARK_ESTROGEN_RESPONSE_EARLY	2.40757116618482	HALLMARK_ADIPOGENESIS	1.94249670916367	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.72365436395367	HALLMARK_APOPTOSIS	2.20139573703373	HALLMARK_MYOGENESIS	2.05393560794508	HALLMARK_INFLAMMATORY_RESPONSE	3.97765390815324
HALLMARK_KRAS_SIGNALING_UP	7.78591919542227	HALLMARK_ALLOGRAFT_REJECTION	4.62947073739623	HALLMARK_KRAS_SIGNALING_UP	5.54155840644297	HALLMARK_MYOGENESIS	8.5650327088494	HALLMARK_IL2_STAT5_SIGNALING	2.6604599680179	HALLMARK_HYPOXIA	3.39602258461716	HALLMARK_ALLOGRAFT_REJECTION	2.11695942782548	HALLMARK_UV_RESPONSE_DN	2.67701986418689	HALLMARK_ESTROGEN_RESPONSE_EARLY	3.85979570033128	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	7.93044760473666	HALLMARK_SPERMATOGENESIS	5.10120000800408	HALLMARK_UV_RESPONSE_DN	2.12856423681807	HALLMARK_ESTROGEN_RESPONSE_LATE	1.94249670916367	HALLMARK_ESTROGEN_RESPONSE_LATE	3.67181068712786	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.93887225770945	HALLMARK_APICAL_JUNCTION	2.02972439305979	HALLMARK_IL6_JAK_STAT3_SIGNALING	2.30632477379972
HALLMARK_COMPLEMENT	6.33045744496123	HALLMARK_P53_PATHWAY	3.2292909497728	HALLMARK_IL2_STAT5_SIGNALING	4.74218339341268	HALLMARK_COMPLEMENT	7.75069964969369	HALLMARK_P53_PATHWAY	1.97758049527832	HALLMARK_UV_RESPONSE_DN	3.35074937635164	HALLMARK_ESTROGEN_RESPONSE_EARLY	2.10805054562089	HALLMARK_HYPOXIA	2.10015139262982	HALLMARK_TGF_BETA_SIGNALING	3.54366520259523	HALLMARK_GLYCOLYSIS	7.86436642628258	HALLMARK_MYC_TARGETS_V1	5.06301482565324	HALLMARK_IL2_STAT5_SIGNALING	1.72505858835009	HALLMARK_MITOTIC_SPINDLE	1.91292564606193	HALLMARK_APICAL_SURFACE	3.52502465545596	HALLMARK_INFLAMMATORY_RESPONSE	1.93887225770945	HALLMARK_ANDROGEN_RESPONSE	1.70434772715193	HALLMARK_IL2_STAT5_SIGNALING	1.60741476285664
HALLMARK_UV_RESPONSE_UP	6.21828609880384	HALLMARK_IL2_STAT5_SIGNALING	3.2292909497728	HALLMARK_CHOLESTEROL_HOMEOSTASIS	4.64918947598204	HALLMARK_MITOTIC_SPINDLE	5.60325011607749	HALLMARK_HYPOXIA	1.90816777024564	HALLMARK_APICAL_JUNCTION	2.70431561948653	HALLMARK_NOTCH_SIGNALING	1.73664069174425	HALLMARK_CHOLESTEROL_HOMEOSTASIS	1.99359634165732	HALLMARK_MYOGENESIS	3.09413688422459	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6.86371194504736	HALLMARK_MYC_TARGETS_V2	3.57112157813365	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.71779678269966			HALLMARK_APOPTOSIS	3.01805266169343	HALLMARK_ESTROGEN_RESPONSE_EARLY	1.92702140230603	HALLMARK_COAGULATION	1.48319263829138	HALLMARK_ALLOGRAFT_REJECTION	1.59498937990662
HALLMARK_APOPTOSIS	6.19197705388426	HALLMARK_INFLAMMATORY_RESPONSE	2.54777399726376	HALLMARK_INTERFERON_GAMMA_RESPONSE	3.9912866823508	HALLMARK_IL2_STAT5_SIGNALING	4.83055150247489	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.3617074499518	HALLMARK_GLYCOLYSIS	2.00380238115232	HALLMARK_MYOGENESIS	1.50203361338895	HALLMARK_ANGIOGENESIS	1.70213567280041	HALLMARK_UV_RESPONSE_DN	2.83022038084948	HALLMARK_COMPLEMENT	6.04514960961992	HALLMARK_MTORC1_SIGNALING	2.39318629997349	HALLMARK_INFLAMMATORY_RESPONSE	1.71058061633102			HALLMARK_COMPLEMENT	1.82920135154862						
HALLMARK_INTERFERON_GAMMA_RESPONSE	5.41639936277923	HALLMARK_KRAS_SIGNALING_UP	2.53575531152683	HALLMARK_ANDROGEN_RESPONSE	3.96057089361843	HALLMARK_UV_RESPONSE_DN	3.95064510676331	HALLMARK_XENOBIOTIC_METABOLISM	1.35498361769776	HALLMARK_HEME_METABOLISM	1.41530851892585	HALLMARK_HYPOXIA	1.44058242696494	HALLMARK_ANDROGEN_RESPONSE	1.65679666772544	HALLMARK_ESTROGEN_RESPONSE_LATE	2.30780980420842	HALLMARK_P53_PATHWAY	5.89760548360967	HALLMARK_DNA_REPAIR	2.10184519605329	HALLMARK_XENOBIOTIC_METABOLISM	1.71058061633102			HALLMARK_INFLAMMATORY_RESPONSE	1.76900548712396						
HALLMARK_P53_PATHWAY	3.82381850333697	HALLMARK_UV_RESPONSE_UP	2.4098145310852	HALLMARK_P53_PATHWAY	3.93020069434289	HALLMARK_HYPOXIA	3.88869635733256	HALLMARK_APICAL_JUNCTION	1.34830469585993	HALLMARK_XENOBIOTIC_METABOLISM	1.40166818909928			HALLMARK_BILE_ACID_METABOLISM	1.51877018215573	HALLMARK_COAGULATION	2.2080860668372	HALLMARK_INFLAMMATORY_RESPONSE	5.8617587443317			HALLMARK_APICAL_SURFACE	1.6232997562737			HALLMARK_XENOBIOTIC_METABOLISM	1.76900548712396						
HALLMARK_ADIPOGENESIS	3.80752126706124	HALLMARK_TGF_BETA_SIGNALING	1.80814569407245	HALLMARK_ADIPOGENESIS	3.91515853483292	HALLMARK_ANGIOGENESIS	3.80583429974558			HALLMARK_KRAS_SIGNALING_UP	1.39491569255917			HALLMARK_ESTROGEN_RESPONSE_LATE	1.50895691721546	HALLMARK_COMPLEMENT	1.68600774753408	HALLMARK_APOPTOSIS	5.59637332989347			HALLMARK_FATTY_ACID_METABOLISM	1.33518144707326			HALLMARK_KRAS_SIGNALING_UP	1.7631798808616						
