0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN	2.17538176243204	REACTOME_NEURONAL_SYSTEM	2.21252364308534	REACTOME_O_LINKED_GLYCOSYLATION	2.04417566733603	MARSON_BOUND_BY_E2F4_UNSTIMULATED	4.2447405152949	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	2.45828559618165	WP_TGFBETA_SIGNALING_PATHWAY	4.27138911851259	WP_HUMAN_COMPLEMENT_SYSTEM	4.85013181552107	HOLLERN_EMT_BREAST_TUMOR_DN	5.19910590533139	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	2.44844414271858	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	2.70424368047448	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	4.30127315690473	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	4.51621591766019	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	11.7323738582203
WP_CIRCADIAN_RHYTHM_RELATED_GENES	1.99295903698777	GRYDER_PAX3FOXO1_TOP_ENHANCERS	1.9352060459338	MARTENS_TRETINOIN_RESPONSE_UP	1.9765766253429	FISCHER_DREAM_TARGETS	4.15382987380187	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	2.27112708542847	WONG_ADULT_TISSUE_STEM_MODULE	3.97337866813263	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	3.26187002529815	COLDREN_GEFITINIB_RESISTANCE_DN	4.76425872787744	REACTOME_NEURONAL_SYSTEM	2.38317363298952	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	2.53905962300019	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	3.27404247973529	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	3.40013735076725	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	11.191156301846
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1.93615740385738	NIKOLSKY_MUTATED_AND_AMPLIFIED_IN_BREAST_CANCER	1.89291216102934	LEIN_PONS_MARKERS	1.92381587350803	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	4.1146274461227	KOKKINAKIS_METHIONINE_DEPRIVATION_48HR_DN	2.11480576617518	MULLIGHAN_NPM1_SIGNATURE_3_DN	3.97123485250827	WANG_SMARCE1_TARGETS_UP	2.85436763571237	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	4.15445318534893	SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	2.28772999163946	WP_NEURAL_CREST_CELL_MIGRATION_IN_CANCER	2.52850231772668	LEE_LIVER_CANCER_MYC_E2F1_DN	3.21416451917444	ONDER_CDH1_TARGETS_2_UP	3.25281090006178	KEGG_RIBOSOME	10.4171291256738
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	1.71473429163366	REACTOME_G_PROTEIN_MEDIATED_EVENTS	1.77315961771121	WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1.68450499385809	REACTOME_CELL_CYCLE	3.55831729446197	CADWELL_ATG16L1_TARGETS_UP	2.08536629123543	BLALOCK_ALZHEIMERS_DISEASE_UP	3.78885602363117	INGRAM_SHH_TARGETS_DN	2.83931834952925	AIGNER_ZEB1_TARGETS	3.89692725343808	URS_ADIPOCYTE_DIFFERENTIATION_UP	2.15582773351558	WP_NEURAL_CREST_CELL_MIGRATION_DURING_DEVELOPMENT	2.52850231772668	HSIAO_LIVER_SPECIFIC_GENES	2.96346962202869	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	2.85046965954816	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	10.4171291256738
WP_MONOAMINE_TRANSPORT	1.69804996064646	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1.75626733806261	HAN_SATB1_TARGETS_DN	1.50904873001042	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	3.21851183048156	REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	2.0074177531495	RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN	3.72256207592523	WP_FOCAL_ADHESION	2.63500775534952	BOCHKIS_FOXA2_TARGETS	3.16206507054459	ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	2.03462405571121	WP_FRAGILE_X_SYNDROME	2.4806899973515	CAIRO_LIVER_DEVELOPMENT_DN	2.95204716714003	MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	2.81761231101462	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	10.4171291256738
KUMAR_PATHOGEN_LOAD_BY_MACROPHAGES	1.68367057252631	HAMAI_APOPTOSIS_VIA_TRAIL_UP	1.68287863530423	LEIN_MIDBRAIN_MARKERS	1.46287528749622	CROONQUIST_IL6_DEPRIVATION_DN	3.21851183048156	LIM_MAMMARY_LUMINAL_PROGENITOR_UP	1.97823414856377	CUI_TCF21_TARGETS_2_DN	3.66383603882756	KEGG_FOCAL_ADHESION	2.63500775534952	REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	3.05840064711899	MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	2.0190053202531	REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	2.4806899973515	WP_TRANSSULFURATION_AND_ONE_CARBON_METABOLISM	2.8560051549629	BHAT_ESR1_TARGETS_VIA_AKT1_UP	2.74931293004995	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	10.4171291256738
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.60543701462489	GARY_CD5_TARGETS_UP	1.64391990043669	GALIE_TUMOR_STEMNESS_GENES	1.40231242458043	REACTOME_CELL_CYCLE_MITOTIC	3.04100008502106	REACTOME_DIGESTION_AND_ABSORPTION	1.89703416264811	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	3.62778661533147	LIU_PROSTATE_CANCER_DN	2.62945662288108	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	2.92946402330475	LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_DN	2.01701081340881	STEIN_ESRRA_TARGETS_UP	2.16842009347514	WP_ONE_CARBON_METABOLISM_AND_RELATED_PATHWAYS	2.8560051549629	SMIRNOV_RESPONSE_TO_IR_6HR_DN	2.69792465695465	REACTOME_TRANSLATION	10.4171291256738
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	1.5740977077874	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	1.6283348957236	BIOCARTA_CK1_PATHWAY	1.40231242458043	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	2.92613233644308	DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP	1.84514507705294	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	3.58459124313857	CHANDRAN_METASTASIS_DN	2.56883110250086	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5	2.86096424518281	DACOSTA_UV_RESPONSE_VIA_ERCC3_DN	1.98617519751392	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2	2.10800935386418	WP_METHIONINE_DE_NOVO_AND_SALVAGE_PATHWAY	2.5460425212199	BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	2.58746283328833	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	10.4171291256738
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING	1.5740977077874	REACTOME_REGULATION_OF_INSULIN_SECRETION	1.61486697487513	REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1.37747278198106	PUJANA_BRCA2_PCC_NETWORK	2.81281704573628	LANDIS_ERBB2_BREAST_TUMORS_324_DN	1.82748796001867	WP_VEGFAVEGFR2_SIGNALING_PATHWAY	3.47432347131624	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	2.55995952774372	ZWANG_EGF_INTERVAL_DN	2.82177543094185	VERHAAK_GLIOBLASTOMA_NEURAL	1.91799765845289	VERHAAK_AML_WITH_NPM1_MUTATED_DN	2.04957258609563	NAKAMURA_CANCER_MICROENVIRONMENT_UP	2.5460425212199	RIGGI_EWING_SARCOMA_PROGENITOR_DN	2.55873748606983	REACTOME_RRNA_PROCESSING	10.1461077059051
WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP	1.56611413188535	FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	1.57950507743026	ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	1.37228432462973	WP_GASTRIC_CANCER_NETWORK_1	2.64194672969007	SERVITJA_ISLET_HNF1A_TARGETS_DN	1.71415250273465	QI_PLASMACYTOMA_UP	3.45927335290064	BURTON_ADIPOGENESIS_PEAK_AT_2HR	2.55995952774372	RASHI_RESPONSE_TO_IONIZING_RADIATION_2	2.80417267961499	REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	1.9024971000315	PEDRIOLI_MIR31_TARGETS_DN	2.0102245017812	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	2.5460425212199	RIZKI_TUMOR_INVASIVENESS_2D_UP	2.40966291973413	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	9.8960217109088
REACTOME_GPCR_LIGAND_BINDING	1.49143765284394	IGARASHI_ATF4_TARGETS_DN	1.52078489340293	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	1.36738517812875	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	2.64194672969007	REACTOME_METABOLISM_OF_LIPIDS	1.68509094536442	NAGASHIMA_EGF_SIGNALING_UP	3.31784785504489	WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3	2.44783555649758	ZHOU_PANCREATIC_EXOCRINE_PROGENITOR	2.78946184619189	KIM_ALL_DISORDERS_CALB1_CORR_UP	1.89645448022272	REACTOME_METABOLISM_OF_CARBOHYDRATES	1.98087508260042	REACTOME_TRIGLYCERIDE_CATABOLISM	2.5460425212199	WEINMANN_ADAPTATION_TO_HYPOXIA_DN	2.40966291973413	REACTOME_INFLUENZA_INFECTION	9.66384882174932
GAVIN_FOXP3_TARGETS_CLUSTER_P3	1.4296611492024	GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	1.51137717370399	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_DN	1.36738517812875	REACTOME_G0_AND_EARLY_G1	2.64194672969007	ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	1.62040120343921	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	3.27009412568126	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	2.44783555649758	DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	2.65638155384054	GREGORY_SYNTHETIC_LETHAL_WITH_IMATINIB	1.81448837241826	WANG_LMO4_TARGETS_DN	1.88912403829162	REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION	2.5460425212199	GAVIN_FOXP3_TARGETS_CLUSTER_P7	2.40966291973413	REACTOME_SELENOAMINO_ACID_METABOLISM	9.66384882174932
CHEN_NEUROBLASTOMA_COPY_NUMBER_GAINS	1.37123038143796	DOUGLAS_BMI1_TARGETS_UP	1.50899324813124	BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN	1.36738517812875	KOBAYASHI_EGFR_SIGNALING_24HR_DN	2.53173659065834	KOYAMA_SEMA3B_TARGETS_UP	1.60916634965202	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	3.14059623136071	PLASARI_TGFB1_TARGETS_10HR_UP	2.43973651658184	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	2.51592893768201	GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	1.73362444759214	REACTOME_NEUREXINS_AND_NEUROLIGINS	1.88912403829162	REACTOME_GLUCONEOGENESIS	2.5460425212199	LE_EGR2_TARGETS_DN	2.38563103845813	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	9.66384882174932
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	1.37123038143796	WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM	1.49642078315741	RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	1.31629015362382	TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C	2.44031021898434	REACTOME_TRANSPORT_OF_SMALL_MOLECULES	1.5681547795839	PASINI_SUZ12_TARGETS_DN	3.1342407358568	MARTINEZ_TP53_TARGETS_UP	2.30728715634427	SCHAEFFER_PROSTATE_DEVELOPMENT_6HR_DN	2.4895850810138	REACTOME_PLATELET_HOMEOSTASIS	1.71936549771209	WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALLING_BY_CNV	1.86438417415826	WP_PPAR_SIGNALING_PATHWAY	2.5208944195491	PEREZ_TP53_TARGETS	2.20294855227076	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	9.44718961387547
WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT	1.37123038143796	REACTOME_CIRCADIAN_CLOCK	1.49642078315741	NABA_SECRETED_FACTORS	1.30284925071519	WP_G1_TO_S_CELL_CYCLE_CONTROL	2.41495649915612	LUCAS_HNF4A_TARGETS_UP	1.56704965541721	MITSIADES_RESPONSE_TO_APLIDIN_UP	3.05688852555572	LINDGREN_BLADDER_CANCER_CLUSTER_2B	2.25408802809922	BROWNE_HCMV_INFECTION_48HR_UP	2.47967625940714	SCHLOSSER_SERUM_RESPONSE_DN	1.69323338924094	NUYTTEN_NIPP1_TARGETS_DN	1.85330093522943	LEE_LIVER_CANCER_DENA_DN	2.5208944195491	WP_MAPK_SIGNALING_PATHWAY	2.18017560832114	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	9.1268026588171
REACTOME_MECP2_REGULATES_NEURONAL_RECEPTORS_AND_CHANNELS	1.37123038143796	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	1.49642078315741	REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS	1.20571298889643	WP_RETINOBLASTOMA_GENE_IN_CANCER	2.41495649915612	ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_DN	1.56704965541721	RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP	2.98181847030969	WOOD_EBV_EBNA1_TARGETS_DN	2.24421858944262	REACTOME_CELL_JUNCTION_ORGANIZATION	2.47967625940714	REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	1.67035335190485	MASSARWEH_TAMOXIFEN_RESISTANCE_UP	1.85330093522943	KEGG_PPAR_SIGNALING_PATHWAY	2.5208944195491	KHETCHOUMIAN_TRIM24_TARGETS_UP	2.14069798832462	REACTOME_METABOLISM_OF_RNA	8.70166447948837
ODONNELL_TFRC_TARGETS_UP	1.36635777825979	REACTOME_COMPLEX_I_BIOGENESIS	1.49642078315741	REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	1.20571298889643	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	2.41495649915612	HUANG_GATA2_TARGETS_UP	1.51876465873942	CHICAS_RB1_TARGETS_CONFLUENT	2.94299345979129	RICKMAN_HEAD_AND_NECK_CANCER_F	2.24421858944262	OISHI_CHOLANGIOMA_STEM_CELL_LIKE_UP	2.3837817653325	REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES	1.67035335190485	STEIN_ESRRA_TARGETS	1.83573696302333	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	2.47809094797072	GAVIN_FOXP3_TARGETS_CLUSTER_P4	2.14069798832462	HSIAO_HOUSEKEEPING_GENES	7.9615561730938
