0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value	13	13_value	14	14_value
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	2.61607632017608	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	4.96125783469041	NABA_MATRISOME	7.67396136741304	FEVR_CTNNB1_TARGETS_UP	3.02755673111063	REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION	2.93099151077287	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	4.53574146758577	NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN	2.38925224707634	WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALLING_BY_CNV	3.28209219264788	REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	3.69849466959966	BLALOCK_ALZHEIMERS_DISEASE_DN	5.86079561017202	HOLLERN_EMT_BREAST_TUMOR_DN	3.76015995170773	REACTOME_MUSCLE_CONTRACTION	8.03478644104222	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	8.19984359797974	FISCHER_DREAM_TARGETS	32.2481972498168	HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	3.09843764757292
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	2.34575841588129	REACTOME_NEURONAL_SYSTEM	4.80264459875974	BOQUEST_STEM_CELL_UP	6.29816841199197	CAIRO_LIVER_DEVELOPMENT_DN	2.37365440581443	RUIZ_TNC_TARGETS_UP	2.90614166497416	RUTELLA_RESPONSE_TO_HGF_UP	3.87253242301217	MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	2.1237486026626	REACTOME_LONG_TERM_POTENTIATION	2.31058719515762	NABA_CORE_MATRISOME	3.31897403165105	KIM_ALL_DISORDERS_CALB1_CORR_UP	5.58971192074456	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2.93922919443223	REACTOME_STRIATED_MUSCLE_CONTRACTION	6.74868242175241	ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	5.62751670139787	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	31.5750463431916	KEGG_PURINE_METABOLISM	2.77086263269259
REACTOME_SIGNALING_BY_GPCR	2.20451842145929	BENPORATH_ES_WITH_H3K27ME3	3.50767001423683	NABA_MATRISOME_ASSOCIATED	4.26140258302611	SERVITJA_ISLET_HNF1A_TARGETS_DN	2.32391762856166	RUTELLA_RESPONSE_TO_HGF_DN	2.90614166497416	JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_DN	3.7627630629405	KATSANOU_ELAVL1_TARGETS_DN	2.03013179611503	STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	1.91934441072235	LIM_MAMMARY_STEM_CELL_UP	3.14418349937544	KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP	5.09608120384121	KEGG_TIGHT_JUNCTION	2.91021572688956	WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY	6.56961608263159	BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	5.46931122225977	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	30.0429645658185	REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	2.70681229047855
REACTOME_GPCR_LIGAND_BINDING	2.07175682995247	BENPORATH_PRC2_TARGETS	3.14072331573342	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	4.17456758334726	HSIAO_LIVER_SPECIFIC_GENES	2.24293398731773	WP_VEGFAVEGFR2_SIGNALING_PATHWAY	2.89000131124642	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	3.34772353623568	WP_OXIDATION_BY_CYTOCHROME_P450	1.99479392059205	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1.8285775137027	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	2.99831144347848	KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP	5.01107478855227	WINNEPENNINCKX_MELANOMA_METASTASIS_DN	2.40537157362447	KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	6.23851005472013	AMIT_EGF_RESPONSE_40_HELA	4.82357132625249	MARSON_BOUND_BY_E2F4_UNSTIMULATED	28.0042163635546	REACTOME_NUCLEOBASE_BIOSYNTHESIS	2.70681229047855
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	1.81215989855006	MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	3.07381500374539	ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	4.11860756577344	WP_FOLATE_METABOLISM	2.23720700832667	WP_NEURAL_CREST_DIFFERENTIATION	2.84911482489628	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	3.15940025827303	SATO_SILENCED_BY_DEACETYLATION_IN_PANCREATIC_CANCER	1.87263894787298	MARTIN_VIRAL_GPCR_SIGNALING_DN	1.77244064295799	KEGG_FOCAL_ADHESION	2.89999352541619	MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	4.37910492119021	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	2.1440697715421	YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN	6.12621128565155	AMIT_DELAYED_EARLY_GENES	4.6229053746513	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	27.8194412084687	WP_PURINE_METABOLISM_AND_RELATED_DISORDERS	2.56383895952598
WP_GPCRS_CLASS_A_RHODOPSINLIKE	1.71905981794684	BENPORATH_SUZ12_TARGETS	3.05307152632786	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	4.01540877556967	RICKMAN_HEAD_AND_NECK_CANCER_E	1.7042871920697	DAZARD_RESPONSE_TO_UV_NHEK_UP	2.7713679476843	REACTOME_MELANIN_BIOSYNTHESIS	2.88328269938852	REACTOME_INTERFERON_SIGNALING	1.87263894787298	KEGG_LONG_TERM_POTENTIATION	1.77244064295799	REACTOME_ECM_PROTEOGLYCANS	2.74683975224871	RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	4.15415483484827	VECCHI_GASTRIC_CANCER_EARLY_UP	2.13318904999881	RICKMAN_HEAD_AND_NECK_CANCER_F	4.38029700392646	REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	4.6229053746513	BENPORATH_CYCLING_GENES	27.3531770362907	FONTAINE_PAPILLARY_THYROID_CARCINOMA_DN	2.24229926887142
AMIT_EGF_RESPONSE_240_MCF10A	1.45519203742824	BENPORATH_EED_TARGETS	2.8873862134126	PLASARI_TGFB1_TARGETS_10HR_UP	3.81649590492173	WANG_BARRETTS_ESOPHAGUS_DN	1.6796259612056	RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	2.69649089167237	MARTENS_BOUND_BY_PML_RARA_FUSION	2.78693552899941	PURBEY_TARGETS_OF_CTBP1_AND_SATB1_DN	1.83530443829686	REACTOME_NEUREXINS_AND_NEUROLIGINS	1.70788079587822	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	2.74113974166863	SCHAEFFER_PROSTATE_DEVELOPMENT_12HR_DN	3.73442528180055	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	2.12855283222739	DELASERNA_MYOD_TARGETS_UP	3.62594463861662	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	4.6229053746513	KOBAYASHI_EGFR_SIGNALING_24HR_DN	25.5261531379581	REACTOME_METABOLISM_OF_NUCLEOTIDES	1.78396826866773
OUILLETTE_CLL_13Q14_DELETION_DN	1.45519203742824	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	2.4130336175992	NABA_CORE_MATRISOME	3.74286789594592	REACTOME_DISEASES_OF_IMMUNE_SYSTEM	1.6796259612056	RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	2.6961670316833	WINTER_HYPOXIA_METAGENE	2.66664466269896	BIOCARTA_NUCLEARRS_PATHWAY	1.83530443829686	LEE_LIVER_CANCER_MYC_TGFA_DN	1.66628114452497	ONDER_CDH1_TARGETS_2_UP	2.62429533150228	LEIN_NEURON_MARKERS	3.2430094458661	REACTOME_TIGHT_JUNCTION_INTERACTIONS	2.12855283222739	EBAUER_MYOGENIC_TARGETS_OF_PAX3_FOXO1_FUSION	3.51547918867114	ACEVEDO_LIVER_CANCER_UP	4.557231619778	SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	25.3500452684818	BILD_MYC_ONCOGENIC_SIGNATURE	1.73595063931787
KIM_LIVER_CANCER_POOR_SURVIVAL_DN	1.42584952888959	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	2.2689271310662	DURAND_STROMA_S_UP	3.72429360233569	REACTOME_IRAK4_DEFICIENCY_TLR2_4	1.6796259612056	GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP	2.53724368413117	ONKEN_UVEAL_MELANOMA_UP	2.61598915350165	WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY	1.83530443829686	REACTOME_NEURONAL_SYSTEM	1.61269471002025	HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS	2.52031452438602	COLDREN_GEFITINIB_RESISTANCE_UP	2.8958029180446	CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_DN	2.0419029914475	EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP	3.50005133103043	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	4.42651453665156	FISCHER_G2_M_CELL_CYCLE	25.1071595975259	SMID_BREAST_CANCER_LUMINAL_A_UP	1.73595063931787
MIKKELSEN_ES_LCP_WITH_H3K4ME3	1.35998252438283	REACTOME_CARDIAC_CONDUCTION	2.22938977712117	SMID_BREAST_CANCER_BASAL_DN	3.67254575088246	WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	1.50586061420296	VERHAAK_GLIOBLASTOMA_PRONEURAL	2.52802670643977	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	2.56347457300663	WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3	1.83530443829686	COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	1.60049950244645	PID_AVB3_INTEGRIN_PATHWAY	2.52031452438602	REACTOME_PROTEIN_FOLDING	2.8958029180446	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	2.03324649053409	DAIRKEE_CANCER_PRONE_RESPONSE_BPA	2.67762484545359	WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	4.40808271212185	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	24.2394683998654	GAUSSMANN_MLL_AF4_FUSION_TARGETS_B_UP	1.62744511665576
