0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value
GOBP_SYNAPTIC_SIGNALING	2.78307278449329	GOBP_SYNAPTIC_SIGNALING	3.54985392022614	GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	2.09944218678777	GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	2.03289523293661	GOBP_ORGANIC_ACID_TRANSPORT	2.48671061536752	GOBP_VASCULATURE_DEVELOPMENT	4.84239475049994	GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	3.63278740337143	GOBP_CELL_CELL_JUNCTION_ORGANIZATION	3.60216246764614	GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	4.40686340965105	GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	3.03584916476686	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	4.72623553789158	GOBP_NEGATIVE_REGULATION_OF_SIGNALING	2.74095230576305	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	9.1268026588171
GOBP_CELL_CELL_SIGNALING	2.37004840845634	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	3.06480175102645	GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	1.92381587350803	GOBP_DNA_METABOLIC_PROCESS	1.83892154356661	GOBP_PEPTIDE_CATABOLIC_PROCESS	2.29717864058716	GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	4.55792225776331	GOBP_MUSCLE_CONTRACTION	3.59925451501164	GOBP_EPITHELIAL_CELL_DIFFERENTIATION	2.74735102923797	GOBP_POTASSIUM_ION_TRANSPORT	3.3772409265732	GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	2.68941139572083	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	3.95363370274919	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	2.63785182341079	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	9.1268026588171
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	2.12101808982553	GOBP_CELL_CELL_SIGNALING	2.84934550980633	GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	1.77735106766979	GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	1.81684216105327	GOBP_ACYLGLYCEROL_HOMEOSTASIS	2.29717864058716	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	4.40921742038479	GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	3.09765051408882	GOBP_EPITHELIUM_DEVELOPMENT	2.42732123423429	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	3.20135955474691	GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	2.16842009347514	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	3.70464163211891	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	2.55873748606983	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	8.85908899442499
GOBP_NEUROTRANSMITTER_TRANSPORT	1.90811195461891	GOBP_SYNAPSE_ASSEMBLY	2.64894159412256	GOBP_RESPONSE_TO_CGMP	1.76741402062265	GOBP_DNA_REPAIR	1.77335609334899	GOBP_STEROL_TRANSPORT	2.28510699521923	GOBP_CELL_MIGRATION	3.91644575434782	GOBP_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	3.09685715047006	GOBP_GLAND_MORPHOGENESIS	2.20720117716174	GOBP_SYNAPSE_ORGANIZATION	3.13039402993484	GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	2.15184123900566	GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	3.57826938672817	GOBP_REGULATION_OF_CELL_CELL_ADHESION	2.55037109217547	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	8.85908899442499
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	1.84561687245091	GOBP_NEURON_DEVELOPMENT	2.3705208247095	GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	1.59142378162424	GOBP_DNA_REPLICATION	1.66159035196261	GOBP_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	2.2448054217767	GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	3.91467834596015	GOBP_MUSCLE_SYSTEM_PROCESS	2.75065127796323	GOBP_PANCREAS_DEVELOPMENT	2.13445101368893	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	3.12568863015461	GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	2.06302672790376	GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	3.46566378552545	GOBP_CELL_CELL_SIGNALING_BY_WNT	2.50107327199858	GOBP_TRANSLATIONAL_INITIATION	8.61450040464343
GOBP_NEUROTRANSMITTER_SECRETION	1.82829794785684	GOBP_NEURON_DIFFERENTIATION	2.33798498461955	GOBP_REGULATION_OF_NEUROBLAST_PROLIFERATION	1.59142378162424	GOBP_T_CELL_HOMEOSTASIS	1.66159035196261	GOBP_ANION_TRANSMEMBRANE_TRANSPORT	2.223810415768	GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	3.76385884528436	GOBP_REGULATION_OF_ACTOMYOSIN_STRUCTURE_ORGANIZATION	2.55995952774372	GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	2.11922183712659	GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	3.0968369287746	GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	2.02717468739433	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	3.34636308463866	GOBP_LIPID_MODIFICATION	2.439335483089	GOBP_VIRAL_GENE_EXPRESSION	8.61450040464343
GOBP_RHYTHMIC_PROCESS	1.73134554518522	GOBP_COGNITION	2.31530863530815	GOBP_PHOSPHOLIPID_TRANSPORT	1.56802477476589	GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	1.66159035196261	GOBP_LIPID_HOMEOSTASIS	2.18208735001788	GOBP_BLOOD_VESSEL_MORPHOGENESIS	3.50201160326326	GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	2.5469298758479	GOBP_POSITIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	2.11922183712659	GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	2.97660325040342	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1.99349683312006	GOBP_S_ADENOSYLMETHIONINE_METABOLIC_PROCESS	3.29573114989646	GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	2.37025771161047	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	8.38934163978819
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_PROLIFERATION	1.61061583882331	GOBP_NEUROGENESIS	2.26335466132263	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1.50904873001042	GOBP_LYMPHOCYTE_HOMEOSTASIS	1.51182562670905	GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT	2.18208735001788	GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	3.47539074703512	GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	2.45352110511068	GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	2.11922183712659	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	2.78707553131669	GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1.98656910795422	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	3.22345201710947	GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	2.27264998080798	GOBP_PROTEIN_TARGETING_TO_MEMBRANE	7.98647358645751
GOBP_LIPID_EXPORT_FROM_CELL	1.56611413188535	GOBP_CELL_PART_MORPHOGENESIS	2.22358538274919	GOBP_CARDIAC_CONDUCTION	1.47063513269334	GOBP_DNA_CONFORMATION_CHANGE	1.51182562670905	GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	2.11480576617518	GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	3.45218366990047	GOBP_STRESS_FIBER_ASSEMBLY	2.44783555649758	GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	2.03905642738763	GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	2.62308537402581	GOBP_POSITIVE_REGULATION_OF_PROTEIN_KINASE_ACTIVITY	1.98426027309841	GOBP_PYRUVATE_METABOLIC_PROCESS	3.21416451917444	GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	2.23101209318083	GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	6.95178601277558
GOBP_VESICLE_ORGANIZATION	1.48536551659525	GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	2.1939998213382	GOBP_REGULATION_OF_BEHAVIOR	1.46287528749622	GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	1.51182562670905	GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	2.01153393318313	GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	3.43806732698081	GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	2.43973651658184	GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	1.99978098675863	GOBP_BIOLOGICAL_ADHESION	2.52777774005724	GOBP_REGULATION_OF_CELL_SIZE	1.98087508260042	GOBP_METHYLATION	3.05735981569649	GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	2.05801468147515	GOBP_PROTEIN_TARGETING	6.78275993165667
