0	0_value	1	1_value	2	2_value	3	3_value	4	4_value	5	5_value	6	6_value	7	7_value	8	8_value	9	9_value	10	10_value	11	11_value	12	12_value	13	13_value	14	14_value
GOBP_REGULATION_OF_TUBE_SIZE	3.49076836164753	GOBP_NEURON_DIFFERENTIATION	5.09076400092709	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	5.43101323845217	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	1.7042871920697	GOBP_ENSHEATHMENT_OF_NEURONS	4.16900873043727	GOBP_PIGMENTATION	5.3630823102827	GOBP_MULTI_ORGANISM_PROCESS	2.79868582585376	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	2.88700981324949	GOBP_SKELETAL_SYSTEM_DEVELOPMENT	4.20408279501069	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	4.4851239649095	GOBP_APICAL_JUNCTION_ASSEMBLY	2.40537157362447	GOBP_MUSCLE_SYSTEM_PROCESS	11.2519961169139	GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	5.75263360995567	GOBP_CELL_CYCLE_PROCESS	22.2246103631099	GOBP_IMP_BIOSYNTHETIC_PROCESS	3.09843764757292
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	3.00854736136998	GOBP_NEUROGENESIS	4.16028267649438	GOBP_TUBE_DEVELOPMENT	4.85735952353463	GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION	1.7042871920697	GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	3.2398293733253	GOBP_PIGMENT_BIOSYNTHETIC_PROCESS	4.71863691034	GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	2.73485167682796	GOBP_BICARBONATE_TRANSPORT	2.50789299116357	GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	2.91624029760987	GOBP_MEMBRANE_DOCKING	3.37920542730901	GOBP_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	2.2698128235633	GOBP_MUSCLE_CONTRACTION	10.5200234484821	GOBP_RESPONSE_TO_BIOTIC_STIMULUS	4.58357837452658	GOBP_CELL_DIVISION	22.1741353144385	GOBP_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS	3.09843764757292
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	2.99045479942913	GOBP_SYNAPTIC_SIGNALING	3.22507407601141	GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT	4.73787737869371	GOBP_LIPID_LOCALIZATION	1.64576786053208	GOBP_GLIAL_CELL_DIFFERENTIATION	3.0277505734771	GOBP_DEVELOPMENTAL_PIGMENTATION	4.71863691034	GOBP_VITAMIN_METABOLIC_PROCESS	2.50149281873461	GOBP_REGULATION_OF_GTPASE_ACTIVITY	2.42514824499903	GOBP_NOTOCHORD_DEVELOPMENT	2.59860601301355	GOBP_NEURON_DEVELOPMENT	3.25090115696899	GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	2.12855283222739	GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT	8.53498190550582	GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	3.9869160780443	GOBP_CELL_CYCLE	22.0935941156446	GOBP_IMP_METABOLIC_PROCESS	3.09843764757292
GOBP_VASOCONSTRICTION	2.89383082065762	GOBP_BEHAVIOR	3.11391563053899	GOBP_OSSIFICATION	4.59895704172688	GOBP_VACUOLE_ORGANIZATION	1.57667809501182	GOBP_GLIAL_CELL_DEVELOPMENT	2.99862139819501	GOBP_PIGMENT_METABOLIC_PROCESS	4.34135721316269	GOBP_CYTOKINE_PRODUCTION	2.44939479160904	GOBP_REGULATION_OF_PH	2.36694147726554	GOBP_CELLULAR_RESPONSE_TO_HEAT	2.58791820807108	GOBP_NORADRENERGIC_NEURON_DIFFERENTIATION	3.23893796082155	GOBP_CELL_CELL_JUNCTION_ASSEMBLY	2.03752446213288	GOBP_STRIATED_MUSCLE_CONTRACTION	6.57286502768879	GOBP_REGULATION_OF_CELL_DEATH	3.98551837974786	GOBP_MITOTIC_CELL_CYCLE	20.7455884347231	GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	2.93943428085031
GOBP_SMOOTH_MUSCLE_CONTRACTION	2.39741824184867	GOBP_POTASSIUM_ION_TRANSPORT	2.88986044165896	GOBP_NEGATIVE_REGULATION_OF_SIGNALING	4.50044124901684	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	1.57667809501182	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	2.92178242392157	GOBP_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	3.69176676341568	GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	2.40731457609906	GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	1.91934441072235	GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	2.39290733816202	GOBP_CELL_PROJECTION_ORGANIZATION	2.90936006190013	GOBP_MAINTENANCE_OF_BLOOD_BRAIN_BARRIER	2.00386566190792	GOBP_MUSCLE_CELL_DEVELOPMENT	6.42413229032009	GOBP_OXIDATIVE_PHOSPHORYLATION	3.89706173138982	GOBP_ORGANELLE_FISSION	18.5633793031666	GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS	2.70681229047855
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	2.23869012499688	GOBP_FOREBRAIN_DEVELOPMENT	2.82018786554897	GOBP_ODONTOGENESIS	4.47557355204938	GOBP_PROTEOLYSIS	1.51263875469416	GOBP_GLIOGENESIS	2.69649089167237	GOBP_VESICLE_ORGANIZATION	3.32450288132746	GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	2.30555311371012	GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY	1.91934441072235	GOBP_CARTILAGE_DEVELOPMENT	2.39290733816202	GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS	2.83850619489643	GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	1.98301424865901	GOBP_MYOFIBRIL_ASSEMBLY	6.29496200438942	GOBP_RESPONSE_TO_CYTOKINE	3.61033869444015	GOBP_MITOTIC_NUCLEAR_DIVISION	17.6620645286956	GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	2.70681229047855
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	2.14898477655576	GOBP_LIMBIC_SYSTEM_DEVELOPMENT	2.74165175748029	GOBP_ANIMAL_ORGAN_MORPHOGENESIS	4.4142067916798	GOBP_POSITIVE_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION	1.50586061420296	GOBP_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	2.4845523371273	GOBP_CELLULAR_PIGMENTATION	3.28226209547369	GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	2.29622376837573	GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	1.91934441072235	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	2.39234103943039	GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	2.78619193671776	GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	1.98301424865901	GOBP_MUSCLE_FILAMENT_SLIDING	5.91986002021145	GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	3.57359511136623	GOBP_CHROMOSOME_ORGANIZATION	16.5428429296961	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	2.70681229047855
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL	1.97933018384197	GOBP_NEURON_DEVELOPMENT	2.68593116278967	GOBP_RESPONSE_TO_GROWTH_FACTOR	4.3271411778839	GOBP_HETEROTYPIC_CELL_CELL_ADHESION	1.46252531929905	GOBP_OLIGODENDROCYTE_DEVELOPMENT	2.43312440133621	GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	3.03826043139853	GOBP_RESPONSE_TO_IRON_ION	2.28246644566164	GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	1.91934441072235	GOBP_POSITIVE_REGULATION_OF_STEM_CELL_DIFFERENTIATION	2.37246418693346	GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	2.78619193671776	GOBP_RESPONSE_TO_INTERLEUKIN_18	1.98301424865901	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	5.79810527607989	GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT	3.55869642732058	GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	16.4106295342324	GOBP_NUCLEOBASE_METABOLIC_PROCESS	2.56383895952598
GOBP_REGULATION_OF_BLOOD_PRESSURE	1.96380804399133	GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	2.63153521926894	GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	4.32077366153609	GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	1.35996647728665	GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	2.4085982827531	GOBP_SECONDARY_METABOLIC_PROCESS	3.00337297438798	GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	2.13262437843111	GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	1.91934441072235	GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	2.33551301148887	GOBP_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	2.7507020964993	GOBP_LAMELLIPODIUM_ASSEMBLY	1.7734604366711	GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	5.68930280370624	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	3.51234287706088	GOBP_CHROMOSOME_SEGREGATION	15.9770871512626	GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	2.56383895952598
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_RENIN_ANGIOTENSIN	1.90179673282237	GOBP_CELL_CELL_SIGNALING	2.62575673768192	GOBP_TUBE_MORPHOGENESIS	4.04042104492867	GOBP_NEGATIVE_REGULATION_OF_LIPID_TRANSPORT	1.35996647728665	GOBP_REGULATION_OF_GLIOGENESIS	2.24186396594788	GOBP_PIGMENT_CELL_DIFFERENTIATION	2.88754964961739	GOBP_CELLULAR_IRON_ION_HOMEOSTASIS	2.13046358489048	GOBP_CELLULAR_RESPONSE_TO_CAMP	1.91934441072235	GOBP_REGULATION_OF_STEM_CELL_DIFFERENTIATION	2.31766190280264	GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	2.61915686900712	GOBP_NEGATIVE_REGULATION_OF_TISSUE_REMODELING	1.7734604366711	GOBP_STRIATED_MUSCLE_CELL_DIFFERENTIATION	5.50925506891716	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	3.48422065114957	GOBP_CELL_CYCLE_PHASE_TRANSITION	15.8146058785069	GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	2.56383895952598
