gene	cluster
alk	0
slc5a7a	0
vip	0
th	0
nppc	0
atp1b1b	0
lyve1a	0
zgc:101731	0
si:ch211-198m17.1	0
ptpn18	0
oprm1	0
tafa5b	0
zgc:171844	0
hmcn1	0
cyp26b1	0
ace	0
htr7a	0
BX927333.1	0
mdkb	0
pde5ab	0
alpl	0
gch2	0
dgkzb	0
fgf10a	0
baiap3	0
opcml	0
ephb6	0
ptprdb	0
si:dkey-4p15.3	0
tacr3a	0
nme2b.2	0
npffr1l2	0
pcdh11.1	0
c1ql4a	0
rgs5b	0
ca10a	0
mdka	0
emp3b	0
gem	0
AL954327.1	0
pou6f2	0
chrna6	0
opn4b	0
il11a	0
rln1	0
tnfrsf11b	0
pde9a	0
pde6ga	0
asic1b	0
BX470188.1	0
fras1	0
BX510923.1	0
CABZ01079192.1	0
cyp26a1	0
zgc:171482	0
calb1	0
kiss1ra	0
galn	0
CABZ01073166.1	0
rbp5	0
cahz	0
efna3b	0
CSDC2 (1 of many)	0
atp1a3b	0
trpa1a	0
pcsk2	0
id2a	0
caln1	0
glis1b	0
FO818719.1	0
rgs16	0
BX547928.1	0
BX511073.1	0
s100a10a	0
mctp1a	0
aff3	0
ncam2	0
si:ch211-216b21.2	0
CR786571.3	0
shdb	0
CT027805.1	0
si:ch73-190m4.1	0
mt-nd5	0
cabp1a	0
insm1a	0
htr4	0
pip5k1bb	0
foxo6b	0
itga8	0
tnks1bp1	0
cbln4	0
kl	0
ascl1a	0
CR457444.1	0
crhr1	0
carmil3	0
doc2d	0
trpc5b	0
desma	0
AL929493.1	0
adamts6	0
syt9b	0
nxph3	0
s1pr1	0
si:dkey-27b3.2	0
rspo3	0
CT990561.1	0
FO704607.1	0
LO017951.1	0
zgc:158328	0
dlc	0
pld1b	0
pcp4a	0
si:ch211-147k10.5	0
rxfp2l	0
pcdh11	0
kcnd1	0
si:busm1-57f23.1	0
itga10	0
gpr158b	0
cacna1aa	0
alkal1	0
cadm2b	0
cavin1a	0
gstp1	0
plppr5b	0
si:dkey-259j3.5.1	0
fastkd2	0
BX255912.1	0
CR376783.1	0
pgr	0
zfpm2b	0
mgat4c	0
glula	0
zgc:153704	0
pla2g3	0
barx2	0
slc2a3b	0
rgs3b	0
csf1ra	0
AL954149.1	0
CACNA2D1	0
cdh13	0
kcnh1a	0
sst6	0
clec19a	0
pald1b	0
si:dkey-193b15.8	0
irx4b	0
ptprc	0
grap2a	0
FP236476.1	0
si:dkey-19b23.8	0
gpc3	0
CR762400.1	0
ndst3	0
pls1	0
ppp1r13ba	0
neto1l	0
APCDD1	0
si:ch73-386h18.1	0
CABZ01102170.1	0
col11a1a	0
tg	0
si:dkey-106n21.1	0
plekhg5a	0
fbxo32	0
zgc:122979	0
lrrc4ba	0
gfra4b	0
si:dkey-157l19.2	0
cyp2aa2	0
BX927394.1	0
rorc	0
CT583726.2	0
si:ch211-199i15.5	0
ppp4r4	0
BX119926.1	0
BX511261.1	0
ephb2a	0
isg15	0
tmeff2a	0
BX936447.1	0
phex	0
mgst3b	0
CR847887.1	0
matn3a	0
tprg1	0
gria1b	0
kcnk10a	0
st6galnac5a	0
si:ch211-147a11.3	0
si:dkey-192p21.6	0
eda	0
fgf11b	0
kcnk9	0
sost	0
grm4	0
shisal1a	0
myo1f	0
CABZ01111959.1	0
serpine2	0
c2cd4a	0
pcdh10a	0
si:ch211-23l10.3	0
kctd12.1	0
txnipa	0
osgn1	0
sez6b	0
BX511025.1	0
csrnp1a	0
CU639468.1	0
adora2aa	0
dlgap2b	0
si:ch211-81a5.8	0
tnfaip8l2b	0
stum	0
gabrb3	0
chrna2b	0
gfra4a	0
cotl1	0
slc6a2	0
esr2b	0
bcl11aa	0
runx2a	0
prok1	0
mrc2	0
rapgef5b	0
smu1b	0
anos1a	0
diras1a	0
CABZ01086835.1	0
kcnk3a	0
slc38a3a	0
fth1b	0
kif19	0
igf2bp2b	0
si:dkey-175g6.2	0
BX323453.1	0
tmem163a	0
cyb561	0
slc22a2	0
stxbp1b	0
gchfr	0
prom1b	0
hspbap1	0
lin28b	0
si:dkey-283j8.1	0
crabp1b	0
slc6a1b	0
BX908756.2	0
trhr2	0
pth2r	0
ckmt1	0
slbp	0
dchs1b	0
si:ch211-227m13.1	0
cep76	0
CT997819.2	0
mtnr1ab	0
stxbp4	0
sema3fb	0
prrt2	0
entpd1	0
galr2b	0
grin2bb	0
prkg2	0
col4a6	0
unc5c	0
CR786576.1	0
tmsb	0
CR936977.2	0
egr3	0
pth1rb	0
m1ap	0
si:dkey-40c11.2	0
pnoca	1
pbx1a	1
IGLON5	1
KCNB2	1
myo3b	1
TENM2	1
cacna1g	1
acta2	1
kirrel3a	1
cntn3a.2	1
trpa1b	1
eya1	1
chl1b	1
slc4a4a	1
nrg1	1
CR847968.1	1
tagln	1
thsd7ba	1
shisal1b	1
aacs	1
ntng2a	1
grid1b	1
plekha7a	1
pcdh9	1
LO017726.1	1
slc43a2a	1
mt-nd4	1
pex5la	1
ntrk1	1
zcchc24	1
pde4cb	1
egfra	1
plxna2	1
vil1	1
CR384099.1	1
mt-nd1	1
ntsr1	1
hdac9b	1
npas4a	1
ipmkb	1
kcng1	1
arrb1	1
adgrb1b	1
cpne7	1
znf385d	1
ext1b	1
si:ch211-214p16.2	1
trps1	1
osbpl3b	1
kcnk4a	1
calcrla	1
rbfox3b	1
plk2b	1
npdc1b	1
kcnh3	1
klhdc8b	1
prcp	1
ak5	1
egr4	1
CABZ01045617.1	1
fam13a	1
ptprua	1
foxo1b	1
khdrbs2	1
tpm1	1
RUNDC1	1
dscama	1
il11ra	1
asic1c	1
rgs3a	1
sema6ba	1
parp1	1
nmu	1
efna3a	1
stmn4l	1
nxph1	1
ifi45	1
cpeb3	1
igf2bp2a	1
cadm2a	1
CU984600.2	1
nab1b	1
si:dkeyp-41f9.4	1
prkg1a	1
grid1a	1
pstpip2	1
ngfra	1
grm8a	1
cped1	1
itpr3	1
grin3ba	1
CR848833.1	1
smoc1	1
ptprt.1	1
mt-nd2	1
sox11a	1
spock1	1
hspa5	1
irs2b	1
GRM7	1
GRIK2	1
spon1b	1
znrf2b	1
lzts1	1
fthl27	1
CABZ01075572.1	1
adcy2a	1
smarca2	1
abhd16a	1
adgrd1	1
