geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8	geneCluster_9	geneCluster_10	geneCluster_11	geneCluster_12
alk	pnoca	insl5a	lhx9	gfpt2	nr4a3	myh11a	cftr	pappaa	nts	cela1.5.1	plat	mt-cyb
slc5a7a	pbx1a	chgb	lmo1	anpepb	zeb2a	BX088707.3	pbx3b	NC-002333.4	nrxn3a	ctrl	plpp3	mt-co2
vip	IGLON5	tph1b	c1ql3b	cyp3c3	nfatc2a	ntn1a	BX855618.1	vipb	hs3st2	cel.1	nr4a2b	NC-002333.17
th	KCNB2	gfra2a	ogna	sat1a.1	scn4ab	sele	zgc:193726	BX571942.1	rbfox1	pla2g1b	itpk1a	mt-atp6
nppc	myo3b	ddc	gpr26	BX908782.2	tinagl1	mylkb	nr5a2	ntm	GALNTL6	si:ch211-263k4.2	ebf3a.1	prss1
atp1b1b	TENM2	hpca	c1qb	CABZ01087025.3	cxcl18b	col12a1b	tm4sf4	tac1	robo1	cel.2	esama	mt-co3
lyve1a	cacna1g	bnc2	BX296551.1	zgc:158846	f3b	tnfaip2b	clcn1b	rgs4	si:dkey-28o19.1	c6ast3	TCIM (1 of many)	cela1.6
zgc:101731	acta2	BX571707.1	BX914220.1	plac8.2	pfkfb3	flt1	slc46a2	znf804a	epb41l4b	ela3l	tgfb3	CR318588.4
si:ch211-198m17.1	kirrel3a	myo16	ackr4b	muc13b	hspb8	si:ch211-248e11.2	zgc:113142	sik2b	grip2b	si:dkey-14d8.7	CR847953.1	prss59.1
ptpn18	cntn3a.2	prdm1b	pcdh12	her4.2	hsp90aa1.2	tpm2	aqp8a.1	kcnq5b	ntng1a	cpb1	igf2b	icn
oprm1	trpa1b	crhbp	lmo3	tcnba	tgfbr3	CU138533.1	si:ch211-137i24.10	arpp21	cysltr1	ela2l	lmo7a	mt-co1
tafa5b	eya1	CT573139.1	mcm3	ace2	clic2	zmp:0000000846	pvrl2l	nos1	ano1	cpa5	eif4ebp3l	tuba1c
zgc:171844	chl1b	abcc4	si:ch73-380l10.2	wu:fb59d01	mef2cb	cnn1b	cdh1	kcnq5a	mmp9	ela2	CABZ01064941.1	tmsb4x
hmcn1	slc4a4a	trdn	gemin6	trpm1b	fn1b	crispld2	ccl19a.1	fn1a	CR786577.1	ctrb1	DHRS11 (1 of many)	FO704772.1
cyp26b1	nrg1	slc18a2	gbx1	si:dkeyp-73b11.8	im:7152348	CABZ01027646.1	lgals2b	BX248331.2	id2b	si:dkey-1h24.2	si:ch211-153f2.7	calm2b
ace	CR847968.1	CR384075.1	si:dkey-3d4.3	gpx1b	fosb	CR318588.3	epcam	shank3a	cart2	slc22a16	bcl3	marcksl1b
htr7a	tagln	si:dkey-112m2.1	oxtr	plin2	si:ch73-335l21.4	cxcl8a	arhgap42b	ca2	slc12a5b	zgc:136461	cxcl12a	tubb2b
BX927333.1	thsd7ba	ccbe1	si:ch211-153b23.7	epdl2	atf3	kdrl	CR762483.1	hsd11b2	glsl	bhmt	prkcdb	hand2
mdkb	shisal1b	iqsec2b	CT030153.1	si:ch73-359m17.9	itgb4	si:dkeyp-23e4.3	anxa4	ebf3a	edil3a	zgc:112160	cyp24a1	rpl36a
pde5ab	aacs	satb2	nab1a	col18a1a	krt18a.1	ltbp1	slc4a4b	sez6a	emid1	apobb.1	fstb	tuba1a
alpl	ntng2a	rtn4rl2a	si:dkey-242e21.3	acot19	rab32a	c6	cdh17	unc5da	rnf220b	si:ch211-240l19.7	aste1a	atp1b1a
gch2	grid1b	crabp1a	BX248390.1	cnnm2b	foxp4	tmem88b	spns2	sult6b1	stoml3b	prss59.2	clcn5b	gap43
dgkzb	plekha7a	eys	BX001026.1	ush1c	irf8	apoa1a	enpep	nrg2a	GABRA2	zgc:92590	si:dkey-91m11.5	rpl13a
fgf10a	pcdh9	zgc:114173	zgc:113293	anpepa	gulp1a	krt91	nfkbiaa	tanc1a	syt7b	si:ch211-240l19.6	fa2h	eef1a1l1
baiap3	LO017726.1	si:ch211-145b13.5	mis18bp1	ucp1	tppp3	CT573383.1	BX537310.1	wnk4b	TCERG1L	cela1.2	acad11	rpl24
opcml	slc43a2a	si:dkey-71h2.2	cckb	dpep1	serpinh1b	rspo1	arhgap29a	adgrl1a	bdnf	sycn.1	rgcc	rpl21
ephb6	mt-nd4	grin2ab	scpp1	zanl	her6	si:ch211-204c21.1.1	CR396595.1	camk1gb	BX663515.1	cpa1	has2	RPL37A
ptprdb	pex5la	nkain2	ube2t	CU302253.1	si:ch211-186j3.6	rbpms2a	fgfr2	cadm4	rasgrf2b	cpa4	foxd3	slc25a5
si:dkey-4p15.3	ntrk1	slc6a4b	olfm3b	chia.2	irf1b	f3a	lsp1	si:dkey-1f12.3	si:ch73-127m5.1	c6ast4	itih5	rps11
tacr3a	zcchc24	trpc4b	pvalb6	hnf4b	si:ch211-253b8.5	gcga	cebpb	scube3	si:ch211-212g7.6	pdia2	sox13	atp6v0cb
nme2b.2	pde4cb	itm2cb	kif2c	dgat2	col15a1b	BX323087.1	cldn15a	kif26ab	slco1d1	mat1a	mpz	rpl29
npffr1l2	egfra	tnfaip8l3	lin28a	her4.4	sox6	ifitm1	si:dkey-96g2.1	CT027638.1	LO017843.1	si:ch211-240l19.8	fhl3b	rplp1
pcdh11.1	plxna2	rrad	slc45a2	si:dkey-219e21.2	ugt8	plvapa	cldn7b	drp2	dgkh	fabp1b.1	CR385035.1	ppiab
c1ql4a	vil1	scpp5	slc25a38a	si:ch211-214p16.3	anxa2a	pxna	hpgd	gabrb2a	sema3e	si:ch211-240l19.5	slc12a7a	rps13
rgs5b	CR384099.1	CLSTN2 (1 of many)	zgc:175177	baiap2l2a	creb5a	hbaa1	elf3	cntnap2a	tafa5a	pck1	atf5b	rpl7a
ca10a	mt-nd1	dchs1a	tnfsf14	cd36	fgfr1b	pcdh7a	prox1a	necab2	cpne4a	amy2a	itpkb	
mdka	ntsr1	srrm4	cdkn2d	si:ch211-214j8.1	loxl2a	pdk2b	xirp2a	man2a1	nyap2a	CU914776.1	ucp2	
