gene	cluster
myf5	0
sele	0
pth1a	0
ace2	0
tmem88a	0
si:ch211-152c8.5	0
podxl	0
ftcd	0
si:ch211-248e11.2	0
pou6f2	0
myoz1b	0
cd36	0
clic5b	0
nkx3.3	0
ncf1	0
c3a.1	0
zgc:122979	0
cbln2b	0
crabp1a	0
nnr	0
mmp9	0
CABZ01064941.1	0
pdzk1	0
grap2a	0
myom2a	0
nkx2.3	0
hdr	0
nppb	0
clec14a	0
rdh1	0
si:ch1073-80i24.3	0
agrp	0
si:ch211-153f2.7	0
noxo1a	0
mfap4	0
agt	0
si:dkey-283b1.6	0
aplnrb	0
cyp8b1	0
ptger4c	0
si:dkey-31e10.5	0
zanl	0
cetp	0
ttr	0
tnfrsf9a	0
foxi1	0
slc43a2b	0
sst6	0
il1b	0
pvalb9	0
CABZ01030107.1	0
acp5a	0
prr15la	0
slc5a1	0
slc16a9a	0
bmp8a	0
nefma	0
pdx1	0
si:ch1073-204b8.1	0
si:ch211-251f6.6	0
cxcl8b.1	0
gpr182	0
timp4.1	0
ptprc	0
edn1	0
wnt16	0
ponzr6	0
si:ch73-22a13.3	0
cyb561	0
rln3a	0
si:ch211-81a5.8	0
si:ch211-241e1.3	0
erfl1	0
drd2a	0
hes2.2	0
alx4b	0
creb3l3a	0
haao	0
myhz1.3	0
edn2	0
rgs2	0
tmem86b	0
pdyn	0
mmp23bb	0
si:dkey-32e6.6	0
si:ch73-27e22.6	0
ucmaa	0
nts	0
hs3st2	0
BX855618.1	0
si:ch211-80h18.1	0
epb41l4b	0
prdm1b	0
cysltr1	0
otomp	0
slc46a2	0
dmrt3a	0
zgc:101731	0
gfpt2	0
si:ch211-240l19.7	0
bricd5	0
rtn4rl2a	0
tectb	0
sycn.1	0
tfap2b	0
flt1	0
slc12a5b	0
oprm1	0
c6ast4	0
nkx1.2lb	0
mb	0
zgc:171844	0
ace	0
si:dkey-5n18.1	0
htr7a	0
lepb	0
grin2ab	0
CU138533.1	0
col9a1b	0
si:ch211-270n8.1	0
si:ch211-133n4.6	0
