geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8	geneCluster_9	geneCluster_10	geneCluster_11	geneCluster_12	geneCluster_13	geneCluster_14
myf5	crhbp	ccl25b	tm4sf4	defbl1	tyrp1b	apoda.1	slc4a4b	col2a1a	vipb	elovl7b	ckma	cxcl18b	kpna2	uraha
sele	dbh	si:ch211-251b21.1	si:dkeyp-73b11.8	actc1b	pmela	cart3	cart2	epcam	vip	krt5	gapdh	si:ch73-335l21.4	rrm2.1	zgc:113142
pth1a	acta2	bhmt	fabp1b.1	her4.2.1	icn	CR762483.1	insl5a	si:ch211-153b23.5	tph1b	cd9b	ckmb	serpine1	rrm2	si:dkey-251i10.2
ace2	tac3a	rbfox1	zgc:158846	fabp7a	dct	ccl19a.1	cahz	krt4	ddc	mid1ip1a	tnnc2	atf3	si:ch211-69g19.2	paics
tmem88a	npb	dlx4a	mat1a	ascl1a	pnp4a	cxcl8a	apoa1a	col9a2	adcyap1b	cfl1l	myl1	cebpb	ube2c	pax7b
si:ch211-152c8.5	tnfaip2b	prss35	stoml3b	mylpfa	slc45a2	cldna	pck1	col9a1a	islr2	cyt1l	tnnt3a	her6	nusap1	trim63a
podxl	otpa	cxcl12b	aqp1a.1	mylz3	gch2	nppc	mmel1	rgs5b	tmsb	cldnb	atp2a1	h1fx	cdk1	gpd1b
ftcd	tagln	ucp1	si:ch211-137i24.10	her4.1	tyrp1a	im:7152348	myh11a	her7	sncgb	cyt1	aldoab	serpinh1b	mibp	pax7a
si:ch211-248e11.2	pnoca	rrad	tnfb	her4.2	mt2	wu:fj16a03	unc5da	col9a3	elavl4	cldni	tnnt3b	zgc:162730	pcna	atic
pou6f2	calb2b	aldh1a2	lgals2b	her2	si:ch211-243a20.3	nr2f1b	ush1c	lmo1	sncb	tmsb1	actc1a	dnajb1b	ccnb1	bscl2l
myoz1b	apobb.1	postnb	tfec	her15.1	tspan36	tfa	cftr	aldob	stmn2b	spint2	tpm2	mdka	zgc:110540	runx3
cd36	neurod1	matn4	cldnc	entpd3	mtbl	il11b	tagapa	ebf3a	stmn2a	cldn7b	CABZ01078594.1	hspb1	mki67	lypc
clic5b	ccka	crabp1b	nr5a2	scn4ab	fabp11a	tnfrsf11b	ak5	col11a1a	egr4	icn2	tnni2b.1	jdp2b	cdc20	tmem130
nkx3.3	onecut1	vwde	gpnmb	mbpb	pfn1	mafbb	uncx4.1	stc2a	stmn1b	thy1	cav3	id1	cdca8	lygl1
ncf1	nmu	hpdb	wu:fb59d01	hsp90aa1.1	s100a10b	tac1	si:ch211-71m22.1	mia	stmn4	s100v1	nme2b.2	hsp70.2	plk1	rbp4l
c3a.1	afp4.1	CU468917.1	slco1d1	nfkbiaa	gstp1	sox7	sulf2a	tgm2l	zgc:65894	aep1	acta1a	zgc:158343	kif11	tat
