gene	cluster
and2	0
CABZ01074130.1	0
im:7150988	0
col1a1a	0
si:ch211-106h4.12	0
hgd	0
ccl25b	0
ifitm1	0
prss35	0
ecrg4a	0
ptgs2a	0
ogn	0
rbp4	0
cart3	0
cd81b	0
otos	0
ifitm5	0
c1qtnf5	0
vwde	0
wu:fj16a03	0
tnw	0
col10a1a	0
si:dkey-12l12.1	0
spon2b	0
zgc:195173	0
vcanb	0
thbs4b	0
zgc:153704	0
loxa	0
krt94	0
gsta.1	0
aldh1a2	0
rgs5a	0
col1a1b	0
fmoda	0
si:dkey-22i16.3	0
wnt11r	0
ca6	0
nfkbiaa	0
ACTC1	0
matn4	0
angptl7	0
rrad	0
hspb9	0
lepb	0
nppc	0
acta2	0
cldn11a	0
si:dkey-85k7.7	0
fgfbp2a	0
cxcl8a	0
ptgs2b	0
fstl3	0
cxcl19	0
si:dkey-113d16.9	0
nupr1	0
timp2b	0
hey1	0
myoc	0
CABZ01092746.1	0
slc16a10	0
admb	0
fah	0
klf2a	0
sost	0
krt15	0
aoc2	0
sox7	0
sostdc1a	0
ENSDARG00000009215	0
tpm4b	0
id2b	0
TCIM (1 of many).1	0
cyp1c1	0
il11b	0
sfrp2	0
inhbaa	0
si:ch211-152c2.3	0
srgn	0
cldn5b	0
sepp1a	0
si:ch73-86n18.1	0
hoxb6a	0
crabp2a	0
mafbb	0
si:busm1-57f23.1	0
tppp3	0
bhmt	0
fstb	0
abi3bpb	0
clu	0
nr2f1b	0
mxra8a	0
emx2	0
hpgd	0
ENSDARG00000071567	0
htra1b	0
TCIM (1 of many)	0
sfrp5	0
im:7152348	0
hhla2a.1	0
serpinf1	0
plcg1	0
cyp1a	0
alpl	0
msx1b	0
aspn	0
wfdc2	0
ccl19a.1	0
fam46bb	0
kazald2	0
apela	0
cldn5a	0
nog1	0
ppdpfa	0
cyp27c1	0
msx3	0
gem	0
tgm2b	0
tac1	0
agtr2	0
cebpa	0
il15l	0
slc1a3a	0
foxf2a	0
b2m	0
dusp5	0
gtpbp1	0
scp2a	0
sp8a	0
foxq1a	0
hsd11b2	0
angptl2b	0
pdgfrl	0
tnfaip6	0
dlx4b	0
ponzr1	0
rbfox1	0
unc45b	0
lxn	0
adma	0
fn1b	0
dlx1a	0
pbx3b	0
plk2b	0
ackr3b	0
ptgdsb.2	0
cbr1l	0
zgc:171759	0
si:dkey-57k2.6	0
mxra8b	0
CABZ01056516.1	0
glipr2l	0
isl2a	0
foxl1	0
si:ch211-274j7.1	0
si:ch211-1a19.3	0
osr1	0
ntd5	0
zgc:174904	0
tpmt.1	0
lbx2	0
fam212aa	0
endouc	0
fhl2a	0
fhl3a	0
creg1	0
pcolcea	0
six1b	0
irx1b	0
igfbp5b	0
emid1	0
ENSDARG00000036809	0
si:dkey-23i12.7	0
ociad2	0
ENSDARG00000006901	0
si:ch211-39k3.2	0
twist3	0
foxd1	0
zgc:154164	0
atic	0
CABZ01089828.1	0
dusp2	0
lhx8a	0
twist2	0
inhbb	0
fam69c	0
ramp2	0
thbs3a	0
vmp1	0
bmp16	0
ENSDARG00000103775	0
tnfsf10	0
angptl5	0
ENSDARG00000056704	0
bdnf	0
si:dkey-16l2.20	0
errfi1b	0
fstl1a	0
BX571880.1	0
dcn	0
si:dkey-83k24.5	0
ehd2b	0
col18a1a	0
fam43a	0
snai1b	0
efna1b	0
lmo4b	0
tcf21	0
rerglb	0
eya2	0
tspan18b	0
srpx	0
pax9	0
dusp1	0
col6a1	0
ccdc3b	0
mamdc2b	0
ENSDARG00000007289	0
bmp4	0
col6a3	0
tmeff2a	0
spon1b	0
steap4	0
cdh6	0
rasl11b	0
gchfr	0
bambib	0
eya1	0
tfpia	0
meis3	0
COMP	0
fam213b	0
rspo3	0
hey2	0
mkxa	0
lpl	0
hunk	0
igf2b	0
grn1	0
rbpms2b	0
dlx6a	0
b3gnt5a	0
bambia	0
hoxa2b	0
scinla	0
slc25a25a	0
dub	0
sfrp1a	0
efemp2a	0
cx43	0
plpp3	0
dkk3b	0
esm1	0
foxd2	0
mvp	0
zgc:66479	0
hpdb	1
and1	1
stm	1
ttc36	1
si:dkey-251i10.2	1
cldni	1
LOX	1
tnfb	1
bscl2l	1
fcer1gl	1
dmrt3a	1
si:ch211-80h18.1	1
tnxba	1
tmem130	1
agr2	1
fbxo32	1
ENSDARG00000097208	1
si:ch211-153b23.5	1
cyp26c1	1
spp1	1
MFAP4 (1 of many).3	1
pax7b	1
si:ch211-243g18.2	1
zgc:136930	1
si:dkey-5n18.1	1
npb	1
sgms2	1
si:ch211-56a11.2	1
il34	1
lygl1	1
si:dkey-183i3.5	1
cfd	1
thy1	1
CR762483.1	1
pth1a	1
hmx4	1
sst3	1
otomp	1
rbp4l	1
myf5	1
entpd5a	1
si:ch211-137i24.10	1
cldna	1
zgc:114118	1
vsg1	1
ctss2.1	1
nppb	1
bgna	1
aox5	1
tat	1
tnmd	1
nefmb	1
oacyl	1
irg1l	1
hmox1a	1
si:dkey-27i16.2	1
zgc:113142	1
panx3	1
gpd1b	1
bricd5	1
ENSDARG00000069583	1
arg2	1
isg15	1
si:dkey-250k10.4	1
pitx2	1
lgals1l1	1
BX908782.3	1
stc2a	1
irx7	1
ptgdsb.1	1
ENSDARG00000068784	1
si:ch1073-406l10.2	1
hbbe1.3	1
tnfaip2b	1
cax1	1
hbae3	1
sqrdl	1
csrp1b	1
si:dkey-238o13.4	1
gstm.3	1
nr5a2	1
nkx3.3	1
ccl34b.1	1
BX322618.1	1
cxcr4a	1
zgc:163030	1
FO704661.1	1
CU571328.1	1
trh	1
txnipb	1
irf8	1
il13ra2	1
ENSDARG00000100052	1
rac2	1
zgc:123068	1
gbx2	1
tnfrsf11b	1
hamp	1
si:dkey-73n8.3	1
pcolce2b	1
pltp	1
cygb1	1
f11r.1	1
myh11a	1
shhb	1
crabp1a	1
si:ch211-212k18.7	1
hebp2	1
ca2	1
pnoca	1
cx30.3	1
tagapa	1
sst1.1	1
foxi1	1
cyr61l2	1
si:ch211-256m1.8	1
dpt	1
si:dkey-202e22.2	1
nkx2.3	1
tspan35	1
pax7a	1
fabp7b	1
cyp24a1	1
hlx1	1
tmem88a	1
cpne4a	1
olig1	1
zgc:92113	1
FO704741.1	1
acp5a	1
efemp2b	1
shha	1
lrata	1
si:dkey-184p18.2	1
zgc:113307	1
cald1b	1
desmb	1
nr4a1	1
si:dkey-188i13.9	1
cyb561a3b	1
zgc:152698	1
zmp:0000000930	1
si:ch211-161h7.8	1
irf6	1
asip2b	1
chrna2a	1
fbln7	1
fpr1	1
abhd4	1
gpnmb	1
zgc:162150	1
CABZ01063601.1	1
mespbb	1
lenep	1
lbx1b	1
grem1a	1
ccl44	1
slc7a2	1
fam46c	1
csf1b	1
si:dkey-225n22.4	1
map1lc3c	1
clec19a	1
slc1a3b	1
ENSDARG00000073961	1
eef2l2	1
mmp17b	1
phyhd1	1
s100b	1
cpm	1
syt9b	1
gcshb	1
ednrab	1
itm2bb	1
ch25h	1
tmem176l.2	1
wisp2	1
HTRA3	1
ptger4c	1
p2rx3a	1
frzb	1
gpx3	1
ston2	1
dab2	1
noxo1a	1
aplnra	1
jam2b	1
agmo	1
aplnrb	1
si:ch211-195m9.3	1
COLEC10	1
myo6b	1
slc51a	1
ENSDARG00000056791	1
dhdhl	1
slc2a11b	1
mat2al	1
pvalb9	1
hrsp12	1
hp.1	1
oxr1b	1
mao	1
ptprea	1
fgf24	1
jac9	1
aqp9b	1
SMIM18	1
