geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8	geneCluster_9	geneCluster_10	geneCluster_11	geneCluster_12
and2	hpdb	ucp1	neurod1	vipb	wu:fc46h12	si:dkey-222f2.1	si:dkey-33i11.4	atp1b1b	cxcl18b	mylpfa	pimr174	matn1
CABZ01074130.1	and1	si:ch211-76l23.4	calb2a	otpa	tyrp1b	si:dkey-36i7.3	mbpa	si:ch73-359m17.5	zgc:109934	actc1b	cart2	epcam
im:7150988	stm	rhbg	elovl7b	gadd45gb.1	defbl1	anxa2b	tmsb1	cldnh	dlx4a	ckma	hoxb13a	krt4
col1a1a	ttc36	krt97	dbh	tac3a	apoda.1	cldnc	mbpb	atp1a1a.2.1	hsp90aa1.1	ckmb	rhcgb	f13a1b
si:ch211-106h4.12	si:dkey-251i10.2	agr1	nmu	adcyap1b	pmela	CABZ01021592.2	cldnb	fabp1b.1	mt-atp6	atp2a1	si:ch211-133n4.6	tgm2l
hgd	cldni	CU693494.2	snap25b	vip	icn	ceacam1	ENSDARG00000075629	lgals2b	rdh10a	mylz3	pimr176	col2a1a
ccl25b	LOX	ccka	calb2b	phex	aqp3a	mybpc1	fabp7a	si:dkey-248g15.3	cxcl12b	gapdh	g0s2	her7
ifitm1	tnfb	lye	slc6a1b	crhbp	dct	fhl1a	cd59	s100a10a	mt-co2	tnnt3a	kcnj1a.1	mia
prss35	bscl2l	CABZ01059413.1	neurog1	ascl1a	mt2	itgb1b.2	her4.1	cldn7b	mt-co3	tnni2a.4	nrgnb	lect1
ecrg4a	fcer1gl	ENSDARG00000104722	nkx1.2lb	phox2ba	si:ch211-251b21.1	fgl1	cldnk	si:ch1073-190k2.1	mt-cyb	myl1	th	col9a1a
ptgs2a	dmrt3a	angptl6	ddc	sncgb	gch2	zgc:77748	FO904881.1	rbp2a	kpna2	pvalb2	slc6a2	rgs5b
ogn	si:ch211-80h18.1	laptm5	en1b	prph	pnp4a	CU682777.2	krtt1c19e	plac8.1	si:ch211-131k2.3	tnnc2	si:ch211-250g4.3	si:ch211-105c13.3
rbp4	tnxba	si:ch211-207n23.2	otpb	cyp26a1	gstp1	zgc:193726	si:ch211-193l2.7	si:dkeyp-73b11.8	hspb1	pvalb1	si:ch211-133l5.7	col11a1a
cart3	tmem130	anxa1c	si:ch73-21g5.7	islr2	slc45a2	BX908782.1	krt5	apoc2	postnb	tnnt3b	snx10b	si:dkeyp-12a9.5
cd81b	agr2	ccl35.1	gsx1	crabp1b	pfn1	aldh1a3	fabp2	tfa	col1a2	tpma	hbz	col9a2
otos	fbxo32	mb	tph1b	tfap2b	s100a10b	ca15a	krt17.1	soul2	FTL (1 of many)	acta1b	itgae.1	col9a3
ifitm5	ENSDARG00000097208	mfap4	stmn4	smarca2	ak1	vil1	cfl1l	mid1ip1a	serpine1	tpm2	slc4a1b	col11a2
c1qtnf5	si:ch211-153b23.5	anxa1b	afp4.1	hoxb6b	txn	flnca	her4.2.1	zgc:158846	her6	mylpfb	zgc:113223	epyc
vwde	cyp26c1	s100v1	zgc:153845	cplx2l	uraha	ENSDARG00000079111	si:ch211-195b11.3	cldne	cxcl12a	aldoab	pdx1	ucmab
wu:fj16a03	spp1	spi1b	myl4	elavl4	fabp11a	pimr177	cyt1	apoa4b.1	grem2b	nme2b.2	si:dkey-95h12.1	hspb8
tnw	MFAP4 (1 of many).3	ctsl.1	si:ch211-103n10.5	CU468917.1	ENSDARG00000011076	wu:fb59d01	her15.1.1	ndrg1a	si:ch211-69g19.2	ttn.2	myom3	igfbp1a
col10a1a	pax7b	si:ch211-14k19.8	tal1	egr4	tyrp1a	itih2	si:ch211-193l2.3	krt92	hsp70l	actc1a	ankrd1b	pcolceb
si:dkey-12l12.1	si:ch211-243g18.2	pycard	gsx2	snap25a	mtbl	sult3st3.1	her2	elf3	h1fx	myl13	zgc:112146	cldn7a
spon2b	zgc:136930	podxl	prdm12b	serpine2	si:ch211-243a20.3	zgc:172079.2	cd9b	cldn15la	AL929077.2	myl10	tnnt2a	aldob
zgc:195173	si:dkey-5n18.1	si:cabz01007794.1	slc32a1	scrt1a	CABZ01067314.1	smyhc2	her4.2	FTL (1 of many).1	lepa	myhz1.1	CABZ01093502.1	cthrc1a
vcanb	npb	tnni1b	gata3	dlb	tspan36	cox8b	her15.1	si:ch211-95j8.2	rrm2.1	tnnc1b	sytl3	si:ch211-156j16.1
thbs4b	sgms2	stoml3b	en2b	plcxd3	prdx1	wu:fj05g07	cyt1l	ponzr5	CT027638.1	pvalb4	wnt2	fgfbp2b
zgc:153704	si:ch211-56a11.2	caspb	pax8	vim	ucp3.1	f5	si:ch73-335m24.2	FTL (1 of many).2	id1	tnni4b.2	si:ch211-284o19.8	nkx3.2
loxa	il34	tectb	gad1b	vgf	lgals2a	cyp3c3	lypc	mgst1.2	rrm2	acta1a	col17a1a	fsta
krt94	lygl1	si:ch211-157c3.4	cahz	zgc:65894	pah	irg1	si:ch211-286c4.6	ugt1ab	jdp2b	tnni2b.1	abcb5	ENSDARG00000087402
gsta.1	si:dkey-183i3.5	coro1a	hspb11	hoxb8a	rasd1	cyb5r2	AL929185.2	vmhc	hsp70.2	myhz2	spam1	si:dkey-6n6.1
aldh1a2	cfd	si:dkey-200l5.4	pcp4a	stmn2b	slc22a7a	pklr	aep1	sepw2b	her9	si:ch211-255p10.3	tecta	si:dkey-164f24.2
rgs5a	thy1	zgc:86896	sox3	stmn2a	zgc:175088	si:dkey-32e6.6	icn2	cox6a2	chac1	tnnt2d	zgc:172075	myl9a
col1a1b	CR762483.1	pvalb6	c2cd4a	slc2a3a	atp6v0ca	cfhl2	plp1b	tmem176l.4	HIST1H2BA (1 of many)	ttn.1	olfml2bb	igf2a
fmoda	pth1a	CU326347.1	hoxa9a	tmsb	rhag	apoa1a	aqp1a.1	spint2	hsp70.1	pgam2	vmhcl	zic2a
si:dkey-22i16.3	hmx4	si:ch73-204p21.2	tagln3b	nell2b	oca2	myh7bb	trim63a	si:dkey-193p11.2	dlx3b	tnnt2e	si:dkey-33c12.3	cyp26b1
wnt11r	sst3	gstp2	barhl2	atp2b3a	atp6v0e1	edn1	si:ch211-193l2.4	tm4sf4	ube2c	CABZ01078594.1	nrap	si:dkey-19b23.8
ca6	otomp	ch25hl1.1	cbln1	tspan18a	qdpra	postna	CABZ01059409.1	BX511021.2	gsc	myoz1b	gpr183a	hbegfa
nfkbiaa	rbp4l	akap12a	OTOP1	tmsb2	anxa1a	bin2a	zgc:193505	zgc:153284	si:dkey-16p21.8	casq2	BX649485.2	fhl1b
ACTC1	myf5	spi1a	cbln2b	uchl1	zgc:110339	znf185	her12	pglyrp5	zgc:158343	smyhc1	nmt1b	clic2
matn4	entpd5a	si:dkey-31e10.5	si:ch211-152c8.5	gap43	paics	cdh17	apoeb	si:dkey-247k7.2	cdk1	srl	si:dkey-16l2.17	col8a2
angptl7	si:ch211-137i24.10	zgc:111983	bhlhe22	phox2a	slc3a2a	kcnj1a.6	si:ch211-117m20.5	ENSDARG00000100406	barx1	tnni1c	SYT2	itih1
rrad	cldna	cxcl8b.1	isl2b	adgre10	mitfa	tnni1d	entpd3	aqp8a.2	mt-nd4	cav3	si:ch73-329n5.6	atp1a1b
hspb9	zgc:114118	lcp1	col9a1b	pou3f1	anxa2a	gnrh2	her4.3	fgg	si:ch73-335l21.4	slc25a4	syt10	sepw1
lepb	vsg1	nnr	neurod4	phox2bb	akr1b1	ca4b	apodb	apoa1b	serpinh1b	pkmb	urad	hoxd12a
nppc	ctss2.1	gcga	hbae1.3	sncb	gsto2	myoz2b	olig2	krt17	nusap1	si:ch73-367p23.2	rnf207b	hapln1b
